check	status	detail
script_A001	PASS	scripts/03_AF35_measurement/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/01_freeze.py
environment_A001	PASS	environment/Python_environment.txt
script_A002	PASS	scripts/06_clinical/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/02_clinical_utf8.py
environment_A002	PASS	environment/Python_environment.txt
script_A003	PASS	scripts/03_AF35_measurement/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/common.py
environment_A003	PASS	environment/Python_environment.txt
script_A004	PASS	scripts/06_clinical/AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/00_initialize.py
environment_A004	PASS	environment/Python_environment.txt
script_A005	PASS	scripts/06_clinical/AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/03_join_and_analyze.py
environment_A005	PASS	environment/Python_environment.txt
script_A006	PASS	scripts/06_clinical/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/02_join.py
environment_A006	PASS	environment/Python_environment.txt
script_A007	PASS	scripts/06_clinical/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/03_clinical.py
environment_A007	PASS	environment/Python_environment.txt
script_A008	PASS	scripts/06_clinical/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/common.py
environment_A008	PASS	environment/Python_environment.txt
script_A009	PASS	scripts/06_clinical/AF35_CLONOTYPE_NEUTRALIZED_STATE_OCCUPANCY_v1/scripts/02_clinical.py
environment_A009	PASS	environment/Python_environment.txt
script_A010	PASS	scripts/04_clonotype/AF35_CLONOTYPE_NEUTRALIZED_STATE_OCCUPANCY_v1/scripts/common.py
environment_A010	PASS	environment/Python_environment.txt
script_A011	PASS	scripts/06_clinical/AF35_COMPONENT_ABLATION_ASSOCIATION_ROBUSTNESS_v1/01_freeze.py
environment_A011	PASS	environment/Python_environment.txt
script_A012	PASS	scripts/06_clinical/AF35_COMPONENT_ABLATION_ASSOCIATION_ROBUSTNESS_v1/05_analyze.py
environment_A012	PASS	environment/Python_environment.txt
script_A013	PASS	scripts/03_AF35_measurement/AF35_FUNCTIONAL_ROLE_STATE_ARCHITECTURE_v1/scripts/00_initialize.py
environment_A013	PASS	environment/Python_environment.txt
script_A014	PASS	scripts/03_AF35_measurement/AF35_FUNCTIONAL_ROLE_STATE_ARCHITECTURE_v1/scripts/03_molecular_and_state.py
environment_A014	PASS	environment/Python_environment.txt
script_A015	PASS	scripts/07_perturbation/AF35_FUNCTIONAL_ROLE_STATE_ARCHITECTURE_v1/scripts/04_recover_frozen_perturbation.py
environment_A015	PASS	environment/Python_environment.txt
script_A016	PASS	scripts/04_clonotype/AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/03_phaseA_molecular.py
environment_A016	PASS	environment/Python_environment.txt
script_A017	PASS	scripts/06_clinical/AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/06_phaseB_clinical.py
environment_A017	PASS	environment/Python_environment.txt
script_A018	PASS	scripts/04_clonotype/AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/07_phaseB_verify.R
environment_A018	PASS	environment/R_environment.txt
script_A019	PASS	scripts/04_clonotype/AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/common.py
environment_A019	PASS	environment/Python_environment.txt
script_A020	PASS	scripts/06_clinical/AF35_MATCHED_RANDOM_CLINICAL_NULL_v1/02_freeze_matched_programs.py
