program	gene	score_method	provenance	freeze_status
TCR_activation	CD3D	mean of per-gene z scores within dataset/context	Frozen verbatim from Phase 2 script 07_functional_program_GSE206325.R before Phase 3 response testing	FROZEN_PRETEST
TCR_activation	CD3E	mean of per-gene z scores within dataset/context	Frozen verbatim from Phase 2 script 07_functional_program_GSE206325.R before Phase 3 response testing	FROZEN_PRETEST
TCR_activation	CD3G	mean of per-gene z scores within dataset/context	Frozen verbatim from Phase 2 script 07_functional_program_GSE206325.R before Phase 3 response testing	FROZEN_PRETEST
TCR_activation	CD247	mean of per-gene z scores within dataset/context	Frozen verbatim from Phase 2 script 07_functional_program_GSE206325.R before Phase 3 response testing	FROZEN_PRETEST
TCR_activation	LCK	mean of per-gene z scores within dataset/context	Frozen verbatim from Phase 2 script 07_functional_program_GSE206325.R before Phase 3 response testing	FROZEN_PRETEST
TCR_activation	FYN	mean of per-gene z scores within dataset/context	Frozen verbatim from Phase 2 script 07_functional_program_GSE206325.R before Phase 3 response testing	FROZEN_PRETEST
TCR_activation	ZAP70	mean of per-gene z scores within dataset/context	Frozen verbatim from Phase 2 script 07_functional_program_GSE206325.R before Phase 3 response testing	FROZEN_PRETEST
TCR_activation	LAT	mean of per-gene z scores within dataset/context	Frozen verbatim from Phase 2 script 07_functional_program_GSE206325.R before Phase 3 response testing	FROZEN_PRETEST
TCR_activation	LCP2	mean of per-gene z scores within dataset/context	Frozen verbatim from Phase 2 script 07_functional_program_GSE206325.R before Phase 3 response testing	FROZEN_PRETEST
TCR_activation	TRAT1	mean of per-gene z scores within dataset/context	Frozen verbatim from Phase 2 script 07_functional_program_GSE206325.R before Phase 3 response testing	FROZEN_PRETEST
proliferation	MKI67	mean of per-gene z scores within dataset/context	Frozen verbatim from Phase 2 script 07_functional_program_GSE206325.R before Phase 3 response testing	FROZEN_PRETEST
proliferation	TOP2A	mean of per-gene z scores within dataset/context	Frozen verbatim from Phase 2 script 07_functional_program_GSE206325.R before Phase 3 response testing	FROZEN_PRETEST
proliferation	STMN1	mean of per-gene z scores within dataset/context	Frozen verbatim from Phase 2 script 07_functional_program_GSE206325.R before Phase 3 response testing	FROZEN_PRETEST
proliferation	TUBA1B	mean of per-gene z scores within dataset/context	Frozen verbatim from Phase 2 script 07_functional_program_GSE206325.R before Phase 3 response testing	FROZEN_PRETEST
proliferation	TYMS	mean of per-gene z scores within dataset/context	Frozen verbatim from Phase 2 script 07_functional_program_GSE206325.R before Phase 3 response testing	FROZEN_PRETEST
proliferation	PCNA	mean of per-gene z scores within dataset/context	Frozen verbatim from Phase 2 script 07_functional_program_GSE206325.R before Phase 3 response testing	FROZEN_PRETEST
proliferation	UBE2C	mean of per-gene z scores within dataset/context	Frozen verbatim from Phase 2 script 07_functional_program_GSE206325.R before Phase 3 response testing	FROZEN_PRETEST
