program	gene	score_method	source_program	freeze_status
PTPN22_activation_feedback_35	CD3D	mean of gene-wise z scores from log1p(CP10K), standardized across the prespecified analysis population	PTPN22_associated_activation_feedback	FROZEN_BEFORE_GSE265961_EFFECT_CALCULATION
PTPN22_activation_feedback_35	CD3E	mean of gene-wise z scores from log1p(CP10K), standardized across the prespecified analysis population	PTPN22_associated_activation_feedback	FROZEN_BEFORE_GSE265961_EFFECT_CALCULATION
PTPN22_activation_feedback_35	CD3G	mean of gene-wise z scores from log1p(CP10K), standardized across the prespecified analysis population	PTPN22_associated_activation_feedback	FROZEN_BEFORE_GSE265961_EFFECT_CALCULATION
PTPN22_activation_feedback_35	CD247	mean of gene-wise z scores from log1p(CP10K), standardized across the prespecified analysis population	PTPN22_associated_activation_feedback	FROZEN_BEFORE_GSE265961_EFFECT_CALCULATION
PTPN22_activation_feedback_35	LCK	mean of gene-wise z scores from log1p(CP10K), standardized across the prespecified analysis population	PTPN22_associated_activation_feedback	FROZEN_BEFORE_GSE265961_EFFECT_CALCULATION
PTPN22_activation_feedback_35	FYN	mean of gene-wise z scores from log1p(CP10K), standardized across the prespecified analysis population	PTPN22_associated_activation_feedback	FROZEN_BEFORE_GSE265961_EFFECT_CALCULATION
PTPN22_activation_feedback_35	ZAP70	mean of gene-wise z scores from log1p(CP10K), standardized across the prespecified analysis population	PTPN22_associated_activation_feedback	FROZEN_BEFORE_GSE265961_EFFECT_CALCULATION
PTPN22_activation_feedback_35	LAT	mean of gene-wise z scores from log1p(CP10K), standardized across the prespecified analysis population	PTPN22_associated_activation_feedback	FROZEN_BEFORE_GSE265961_EFFECT_CALCULATION
PTPN22_activation_feedback_35	LCP2	mean of gene-wise z scores from log1p(CP10K), standardized across the prespecified analysis population	PTPN22_associated_activation_feedback	FROZEN_BEFORE_GSE265961_EFFECT_CALCULATION
PTPN22_activation_feedback_35	TRAT1	mean of gene-wise z scores from log1p(CP10K), standardized across the prespecified analysis population	PTPN22_associated_activation_feedback	FROZEN_BEFORE_GSE265961_EFFECT_CALCULATION
PTPN22_activation_feedback_35	NFKB1	mean of gene-wise z scores from log1p(CP10K), standardized across the prespecified analysis population	PTPN22_associated_activation_feedback	FROZEN_BEFORE_GSE265961_EFFECT_CALCULATION
PTPN22_activation_feedback_35	REL	mean of gene-wise z scores from log1p(CP10K), standardized across the prespecified analysis population	PTPN22_associated_activation_feedback	FROZEN_BEFORE_GSE265961_EFFECT_CALCULATION
PTPN22_activation_feedback_35	RELA	mean of gene-wise z scores from log1p(CP10K), standardized across the prespecified analysis population	PTPN22_associated_activation_feedback	FROZEN_BEFORE_GSE265961_EFFECT_CALCULATION
PTPN22_activation_feedback_35	NFKBIA	mean of gene-wise z scores from log1p(CP10K), standardized across the prespecified analysis population	PTPN22_associated_activation_feedback	FROZEN_BEFORE_GSE265961_EFFECT_CALCULATION
PTPN22_activation_feedback_35	TNFAIP3	mean of gene-wise z scores from log1p(CP10K), standardized across the prespecified analysis population	PTPN22_associated_activation_feedback	FROZEN_BEFORE_GSE265961_EFFECT_CALCULATION
PTPN22_activation_feedback_35	STAT1	mean of gene-wise z scores from log1p(CP10K), standardized across the prespecified analysis population	PTPN22_associated_activation_feedback	FROZEN_BEFORE_GSE265961_EFFECT_CALCULATION
PTPN22_activation_feedback_35	IRF1	mean of gene-wise z scores from log1p(CP10K), standardized across the prespecified analysis population	PTPN22_associated_activation_feedback	FROZEN_BEFORE_GSE265961_EFFECT_CALCULATION
PTPN22_activation_feedback_35	IFIT1	mean of gene-wise z scores from log1p(CP10K), standardized across the prespecified analysis population	PTPN22_associated_activation_feedback	FROZEN_BEFORE_GSE265961_EFFECT_CALCULATION
PTPN22_activation_feedback_35	IFIT2	mean of gene-wise z scores from log1p(CP10K), standardized across the prespecified analysis population	PTPN22_associated_activation_feedback	FROZEN_BEFORE_GSE265961_EFFECT_CALCULATION
PTPN22_activation_feedback_35	IFIT3	mean of gene-wise z scores from log1p(CP10K), standardized across the prespecified analysis population	PTPN22_associated_activation_feedback	FROZEN_BEFORE_GSE265961_EFFECT_CALCULATION
PTPN22_activation_feedback_35	ISG15	mean of gene-wise z scores from log1p(CP10K), standardized across the prespecified analysis population	PTPN22_associated_activation_feedback	FROZEN_BEFORE_GSE265961_EFFECT_CALCULATION
PTPN22_activation_feedback_35	MX1	mean of gene-wise z scores from log1p(CP10K), standardized across the prespecified analysis population	PTPN22_associated_activation_feedback	FROZEN_BEFORE_GSE265961_EFFECT_CALCULATION
