dataset_id	accession	study	modality	role_in_manuscript	public_url	redistributed	redistribution_reason	license_or_terms	notes
D01	GSE149614	PMID 35933472	GSE149614_tissue_discovery	DISCOVERY; Fig 1B	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE149614	NO	Obtain original files from source repository; redistribution unnecessary	Source repository and original study terms apply; no redistribution permission inferred	No ICI treatment-response endpoint; None established with other included accessions; endpoint: No ICI response endpoint
D02	GSE326201	GEO GSE326201; publication linkage not recorded	GSE326201_tissue_replication	INTERNAL_CONFIRMATION; Fig 1B	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE326201	NO	Obtain original files from source repository; redistribution unnecessary	Source repository and original study terms apply; no redistribution permission inferred	No ICI response endpoint; author cell-state labels unavailable; None established with other included accessions; endpoint: No ICI response endpoint
D03	GSE206325	PMID 37322116	GSE206325_T_proliferating	TARGET_SELECTION; Fig 1A,C; S1	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE206325	NO	Obtain original files from source repository; redistribution unnecessary	Source repository and original study terms apply; no redistribution permission inferred	Not independent validation; post-treatment and state-specific; None established with other included accessions; endpoint: Pathologic/clinical responder versus nonresponder
D04	GSE202069	PMID 35842234	GSE202069_bulk	EXTERNAL_VALIDATION; Fig 1D; S2	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE202069	NO	Obtain original files from source repository; redistribution unnecessary	Source repository and original study terms apply; no redistribution permission inferred	Sampling time relative to ICI is unknown; None established with other included accessions; endpoint: RECIST responder versus nonresponder
D05	GSE238264	PMID 37723590	GSE238264_spatial	Initial AF35 spatial specification context; Fig 4C-E; S10	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE238264	NO	Obtain original files from source repository; redistribution unnecessary	Source repository and original study terms apply; no redistribution permission inferred	Very small; post-treatment combination; spatial pseudobulk is not bulk RNA-seq; None established with other included accessions; endpoint: Pathologic responder versus nonresponder
D06	GSE215011	PMID 38307859	GSE215011_bulk	EXTERNAL_VALIDATION; Fig 1D; S2	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE215011	NO	Obtain original files from source repository; redistribution unnecessary	Source repository and original study terms apply; no redistribution permission inferred	Small cohort; sample timing not encoded; None established with other included accessions; endpoint: GEO responder versus nonresponder
D07	GSE235863	PMID 39889705	GSE235863_bulk	EXTERNAL_VALIDATION; Fig 1D; S2	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235863	NO	Obtain original files from source repository; redistribution unnecessary	Source repository and original study terms apply; no redistribution permission inferred	Post-treatment combination cohort; only four nonresponders; Bulk, scRNA/scTCR, covariance, decomposition and longitudinal modules are from the same patient cohort, not independent replications; endpoint: CR/PR responder versus SD/PD nonresponder
D08	GSE279750	Xie et al. PMID 39495239; doi:10.1158/0008-5472.CAN-24-0954	GSE279750_bulk	EXTERNAL_VALIDATION; Fig 1D; S2	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE279750	NO	Obtain original files from source repository; redistribution unnecessary	Source repository and original study terms apply; no redistribution permission inferred	Regimen and sample timing incompletely encoded; None established with other included accessions; endpoint: GEO title responder versus nonresponder
D09	GSE235863	PMID 39889705	Exact-linked T cells and distinct 9/7/7 eligible populations	INTERNAL_CONFIRMATION; Fig 1E,F (6 pretreatment tumor patients); Fig 3A-H; S2,S6-S8	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235863	NO	Obtain original files from source repository; redistribution unnecessary	Source repository and original study terms apply; no redistribution permission inferred	Observational; response-nonspecific; incomplete tumor pairs; sampling non-detection; Bulk, scRNA/scTCR, covariance, decomposition and longitudinal modules are from the same patient cohort, not independent replications; endpoint: CR/PR responder versus SD/PD nonresponder
D10	10.5281/zenodo.19123188	Wu et al. doi:10.1101/2025.06.11.656869; Zenodo doi:10.5281/zenodo.19123188	Pretreatment spatial cohort and registered ST-CODEX subset	Independent pretreatment spatial extension; Fig 4A-H; S9-S11	https://doi.org/10.5281/zenodo.19123188	NO	Obtain original files from source repository; redistribution unnecessary	Source repository and original study terms apply; no redistribution permission inferred	Adjacent sections; small cohort; List A/B individual drug crosswalk unresolved; zero-count sensitivity in S9; ST and CODEX are adjacent-section modalities from the same patient cohort; endpoint: Released major pathologic response R versus NR
