gene_i	gene_j	ERP117672	GSE302495
CD3D	CD3E	0.8546218487394959	0.8914542072436809
CD3D	CD3G	0.8904761904761905	0.6888062151220047
CD3D	CD247	0.769747899159664	0.7461429040376409
CD3D	LCK	0.8563025210084034	0.7826895721632563
CD3D	FYN	0.7246498599439777	0.6437246963562753
CD3D	ZAP70	0.7240896358543418	0.834774045300361
CD3D	LAT	0.6274509803921569	0.39533674439661864
CD3D	LCP2	0.8512605042016808	0.7325746799431011
CD3D	TRAT1	0.7363260750601255	0.6135244556297188
CD3D	NFKB1	0.32885154061624655	0.4846263267315899
CD3D	REL	0.2747899159663866	0.5299266878214247
CD3D	RELA	0.1008403361344538	-0.26293905241273663
CD3D	NFKBIA	0.3509803921568628	0.20385162490425648
CD3D	TNFAIP3	0.5840336134453782	0.4572710362184046
CD3D	STAT1	0.8591036414565827	0.6548856548856549
CD3D	IRF1	0.7826330532212885	0.6798336798336799
CD3D	IFIT1	-0.031092436974789917	-0.053069263595579376
CD3D	IFIT2	0.15630252100840336	0.13382208119050223
CD3D	IFIT3	0.2803921568627451	0.2655651603020024
CD3D	ISG15	0.4215686274509804	0.1038406827880512
CD3D	MX1	0.257703081232493	0.33165554218185794
CD3D	OAS1	0.2661064425770308	0.5045409782251887
CD3D	CXCL9	0.8218487394957985	0.738483422693949
CD3D	CXCL10	0.7240896358543418	0.5577196629828208
CD3D	IFNG	0.7562342689674537	0.5519775466327272
CD3D	TNF	0.8392433735519842	0.6634205055257687
CD3D	CCL5	0.8865546218487397	0.7853156800525222
CD3D	NKG7	0.6666666666666667	0.6809278914542072
CD3D	PRF1	0.7481792717086836	0.7616807090491302
CD3D	GZMB	0.7022408963585435	0.8087318087318087
CD3D	PDCD1	0.6316526610644259	0.6603567129882919
CD3D	LAG3	0.47422969187675074	0.6093664514717145
CD3D	TIGIT	0.8910364145658265	0.6905569537148484
CD3D	TOX	0.7319327731092438	0.47587263376737055
CD3E	CD3G	0.8708683473389357	0.7638691322901849
CD3E	CD247	0.8173669467787116	0.7638691322901849
CD3E	LCK	0.8467787114845938	0.8126709705657075
CD3E	FYN	0.6521008403361345	0.5992997045628624
CD3E	ZAP70	0.6638655462184875	0.7673706094758725
CD3E	LAT	0.5977591036414567	0.2243502672082048
CD3E	LCP2	0.8347338935574229	0.6778640989167305
CD3E	TRAT1	0.862245257384465	0.7187876135244556
CD3E	NFKB1	0.40504201680672275	0.4633986212933581
CD3E	REL	0.34397759103641457	0.47652916073968704
CD3E	RELA	-0.04397759103641457	-0.3069263595579385
CD3E	NFKBIA	0.3733893557422969	0.3329685961264908
CD3E	TNFAIP3	0.6605042016806724	0.2909508698982383
CD3E	STAT1	0.8260504201680673	0.5111062479483532
CD3E	IRF1	0.8366946778711486	0.5183280446438341
CD3E	IFIT1	0.13613445378151262	0.08523908523908524
CD3E	IFIT2	0.3719887955182073	0.13447860816281867
CD3E	IFIT3	0.34621848739495803	0.3568224094539884
CD3E	ISG15	0.48375350140056034	0.15111062479483534
CD3E	MX1	0.32072829131652664	0.24061713535397744
CD3E	OAS1	0.3826330532212886	0.5684429368639895
CD3E	CXCL9	0.7932773109243698	0.622715833242149
CD3E	CXCL10	0.7033613445378152	0.4671189408031513
CD3E	IFNG	0.7878958000505668	0.5699422852014447
CD3E	TNF	0.8451298501199841	0.5607834555202976
