gene	CD3D	CD3E	CD3G	CD247	LCK	FYN	ZAP70	LAT	LCP2	TRAT1	NFKB1	REL	RELA	NFKBIA	TNFAIP3	STAT1	IRF1	IFIT1	IFIT2	IFIT3	ISG15	MX1	OAS1	CXCL9	CXCL10	IFNG	TNF	CCL5	NKG7	PRF1	GZMB	PDCD1	LAG3	TIGIT	TOX
CD3D	1.0	0.8546218487394959	0.8904761904761905	0.769747899159664	0.8563025210084034	0.7246498599439777	0.7240896358543418	0.6274509803921569	0.8512605042016808	0.7363260750601255	0.32885154061624655	0.2747899159663866	0.1008403361344538	0.3509803921568628	0.5840336134453782	0.8591036414565827	0.7826330532212885	-0.031092436974789917	0.15630252100840336	0.2803921568627451	0.4215686274509804	0.257703081232493	0.2661064425770308	0.8218487394957985	0.7240896358543418	0.7562342689674537	0.8392433735519842	0.8865546218487397	0.6666666666666667	0.7481792717086836	0.7022408963585435	0.6316526610644259	0.47422969187675074	0.8910364145658265	0.7319327731092438
CD3E	0.8546218487394959	1.0	0.8708683473389357	0.8173669467787116	0.8467787114845938	0.6521008403361345	0.6638655462184875	0.5977591036414567	0.8347338935574229	0.862245257384465	0.40504201680672275	0.34397759103641457	-0.04397759103641457	0.3733893557422969	0.6605042016806724	0.8260504201680673	0.8366946778711486	0.13613445378151262	0.3719887955182073	0.34621848739495803	0.48375350140056034	0.32072829131652664	0.3826330532212886	0.7932773109243698	0.7033613445378152	0.7878958000505668	0.8451298501199841	0.8907563025210085	0.6448179271708684	0.7574229691876752	0.6476190476190476	0.5946778711484594	0.5296918767507003	0.8347338935574229	0.8204481792717087
CD3G	0.8904761904761905	0.8708683473389357	1.0	0.6815126050420169	0.8260504201680673	0.7047619047619048	0.7137254901960784	0.6207282913165266	0.8341736694677871	0.80327754241389	0.4159663865546219	0.28207282913165266	-0.05434173669467787	0.33109243697478996	0.62296918767507	0.8243697478991598	0.7627450980392159	0.05602240896358543	0.2957983193277311	0.33613445378151263	0.4535014005602241	0.20840336134453782	0.32184873949579834	0.7859943977591036	0.7467787114845938	0.7427851230206447	0.8665734433319837	0.9002801120448181	0.7535014005602241	0.7515406162464986	0.6837535014005603	0.588515406162465	0.4098039215686275	0.8686274509803922	0.7025210084033614
CD247	0.769747899159664	0.8173669467787116	0.6815126050420169	1.0	0.7563025210084033	0.480952380952381	0.7661064425770309	0.6131652661064425	0.6210084033613446	0.6349184132104905	0.2994397759103642	0.2859943977591036	0.11344537815126052	0.4932773109243698	0.44817927170868344	0.6997198879551821	0.7792717086834735	0.126890756302521	0.23977591036414567	0.34369747899159664	0.35406162464986	0.30336134453781516	0.42044817927170874	0.5991596638655462	0.49887955182072835	0.6290277635538842	0.6570429083519876	0.7498599439775911	0.5305322128851541	0.7509803921568629	0.6725490196078432	0.5196078431372549	0.5823529411764706	0.6470588235294118	0.7061624649859944
LCK	0.8563025210084034	0.8467787114845938	0.8260504201680673	0.7563025210084033	1.0	0.5991596638655462	0.7596638655462186	0.7568627450980393	0.8022408963585435	0.7067721846591959	0.43641456582633054	0.22072829131652663	0.050700280112044825	0.42044817927170874	0.6408963585434174	0.7232492997198879	0.757983193277311	0.005882352941176471	0.20840336134453782	0.3058823529411765	0.3700280112044818	0.23753501400560226	0.3394957983193278	0.6397759103641457	0.6252100840336134	0.6674138676104019	0.7192713749279865	0.7775910364145658	0.6829131652661065	0.6955182072829132	0.577310924369748	0.7512605042016807	0.5918767507002801	0.823249299719888	0.711484593837535
FYN	0.7246498599439777	0.6521008403361345	0.7047619047619048	0.480952380952381	0.5991596638655462	1.0	0.6330532212885155	0.5296918767507003	0.8033613445378153	0.45913579494903767	0.3943977591036415	0.2235294117647059	0.16806722689075632	0.4277310924369748	0.5425770308123249	0.5840336134453782	0.5028011204481793	0.06918767507002802	0.20420168067226896	0.0565826330532213	0.2582633053221289	0.06274509803921569	-0.07899159663865547	0.6837535014005603	0.5467787114845939	0.546931935170237	0.7311844822679863	0.765546218487395	0.6364145658263306	0.6456582633053223	0.5739495798319328	0.39187675070028016	0.31064425770308124	0.6848739495798319	0.4652661064425771
ZAP70	0.7240896358543418	0.6638655462184875	0.7137254901960784	0.7661064425770309	0.7596638655462186	0.6330532212885155	1.0	0.8070028011204482	0.6857142857142857	0.46109671658701407	0.3072829131652662	0.22128851540616248	0.18795518207282913	0.48655462184873954	0.46834733893557423	0.5599439775910364	0.5887955182072829	0.06274509803921569	0.2873949579831933	0.27759103641456584	0.19019607843137257	0.16722689075630254	0.2666666666666667	0.6173669467787115	0.5148459383753502	0.45250772300201475	0.6654521605919875	0.7078431372549021	0.5812324929971989	0.6417366946778711	0.588515406162465	0.5789915966386555	0.5487394957983194	0.6182072829131653	0.49159663865546227
LAT	0.6274509803921569	0.5977591036414567	0.6207282913165266	0.6131652661064425	0.7568627450980393	0.5296918767507003	0.8070028011204482	1.0	0.6327731092436976	0.4141746631068653	0.36078431372549025	0.3072829131652662	0.22016806722689075	0.4484593837535014	0.48627450980392156	0.5008403361344538	0.5198879551820729	0.048179271708683476	0.17871148459383757	0.22829131652661064	0.1285714285714286	0.27254901960784317	0.20952380952380953	0.46974789915966386	0.4383753501400561	0.47968620543619145	0.5941136707559889	0.5708683473389355	0.4879551820728292	0.5596638655462186	0.4753501400560225	0.6907563025210084	0.5857142857142857	0.6498599439775911	0.5187675070028012
LCP2	0.8512605042016808	0.8347338935574229	0.8341736694677871	0.6210084033613446	0.8022408963585435	0.8033613445378153	0.6857142857142857	0.6327731092436976	1.0	0.6577491437097868	0.37310924369747905	0.31288515406162465	-0.012605042016806725	0.4288515406162466	0.6658263305322129	0.7663865546218488	0.700560224089636	0.13025210084033612	0.31484593837535013	0.22324929971988797	0.4722689075630252	0.29299719887955183	0.17563025210084035	0.7795518207282914	0.6941176470588235	0.7282152149116013	0.8497549388519839	0.8764705882352942	0.7767507002801121	0.7554621848739497	0.6711484593837536	0.6176470588235295	0.523249299719888	0.8635854341736695	0.7033613445378152
TRAT1	0.7363260750601254	0.8622452573844649	0.80327754241389	0.6349184132104905	0.7067721846591959	0.4591357949490377	0.4610967165870141	0.4141746631068653	0.6577491437097868	1.0	0.18516702895748255	0.1987534145920331	-0.27999159673676827	0.07815673385648658	0.44695006762732736	0.72848238850822	0.6986483664447225	0.04720218514271681	0.3099656846315499	0.2909167315769223	0.4651586256942508	0.2609426436821407	0.40002801414717865	0.6777785575834024	0.5816933973225605	0.7249036937664486	0.7191815853436317	0.7464108149125752	0.5875761622364897	0.5758106324086315	0.4948525819264643	0.45171230589098427	0.40465018657955154	0.7747041128319486	0.7291827176646402
