gene	CD3D	CD3E	CD3G	CD247	LCK	FYN	ZAP70	LAT	LCP2	TRAT1	NFKB1	REL	RELA	NFKBIA	TNFAIP3	STAT1	IRF1	IFIT1	IFIT2	IFIT3	ISG15	MX1	OAS1	CXCL9	CXCL10	IFNG	TNF	CCL5	NKG7	PRF1	GZMB	PDCD1	LAG3	TIGIT	TOX
CD3D	1.0	0.8914542072436809	0.6888062151220047	0.7461429040376409	0.7826895721632563	0.6437246963562753	0.834774045300361	0.39533674439661864	0.7325746799431011	0.6135244556297188	0.4846263267315899	0.5299266878214247	-0.26293905241273663	0.20385162490425648	0.4572710362184046	0.6548856548856549	0.6798336798336799	-0.053069263595579376	0.13382208119050223	0.2655651603020024	0.1038406827880512	0.33165554218185794	0.5045409782251887	0.738483422693949	0.5577196629828208	0.5519775466327272	0.6634205055257687	0.7853156800525222	0.6809278914542072	0.7616807090491302	0.8087318087318087	0.6603567129882919	0.6093664514717145	0.6905569537148484	0.47587263376737055
CD3E	0.8914542072436809	1.0	0.7638691322901849	0.7638691322901849	0.8126709705657075	0.5992997045628624	0.7673706094758725	0.2243502672082048	0.6778640989167305	0.7187876135244556	0.4633986212933581	0.47652916073968704	-0.3069263595579385	0.3329685961264908	0.2909508698982383	0.5111062479483532	0.5183280446438341	0.08523908523908524	0.13447860816281867	0.3568224094539884	0.15111062479483534	0.24061713535397744	0.5684429368639895	0.622715833242149	0.4671189408031513	0.5699422852014447	0.5607834555202976	0.828427617901302	0.7128788707736077	0.7636502899660794	0.6861801072327387	0.4855016960280118	0.6229346755662545	0.6371594266331109	0.39424444687602583
CD3G	0.6888062151220047	0.7638691322901849	1.0	0.5892329576540103	0.5726009410219937	0.3830834883466462	0.5610022978444031	0.16398247974831623	0.5329904803589013	0.5612211401685085	0.34631797789692526	0.4695262063683116	-0.13272786956997482	0.3104278367436262	0.24433745486377065	0.5364919575445891	0.41569099463836306	0.22135901083269502	0.2193894299157457	0.46755662545136234	0.30495677864098913	0.2955465587044534	0.5122004595688806	0.519203413940256	0.495568442936864	0.5844017089274856	0.5362731152204837	0.5789473684210525	0.5767589451799979	0.6632016632016632	0.6365028996607944	0.42094321041689464	0.555531239741766	0.6235912025385709	0.270379691432323
CD247	0.7461429040376409	0.7638691322901849	0.5892329576540103	1.0	0.8450596345333188	0.6041142356931831	0.6890250574461101	0.4273550184084933	0.6610132399606083	0.6122114016850859	0.3854907539118066	0.5566254513622934	-0.3445672393040814	0.3949009738483423	0.4244446876025823	0.34850640113798004	0.6001750738592844	-0.0370937739358792	0.1535178903599956	0.24871430134588027	-0.09289856658277709	0.2743188532662217	0.5279571069044754	0.4294780610570084	0.2318634423897582	0.424690801408034	0.4662435715067294	0.6516030200240727	0.4596783017835649	0.720319509793194	0.7570850202429149	0.46055367107998685	0.5575008206587154	0.5130758288653026	0.43451143451143454
LCK	0.7826895721632563	0.8126709705657075	0.5726009410219937	0.8450596345333188	1.0	0.6688915636284057	0.7855345223766276	0.2210150303319679	0.7704344020133495	0.5852937958201115	0.43976365028996606	0.48572053835211726	-0.34675566254513623	0.2776014881278039	0.397089397089397	0.5054163475216107	0.5305832147937412	-0.007987744829850093	0.2997045628624576	0.3338439654229128	0.028777765619870888	0.3091147827989933	0.513732355837619	0.5962359120253857	0.48856548856548854	0.5425570129930338	0.62315351789036	0.786628733997155	0.5739139949666265	0.7864098916730496	0.7292920450815188	0.563190721085458	0.653572600941022	0.5041032935769778	0.518765729292045
FYN	0.6437246963562753	0.5992997045628624	0.3830834883466462	0.6041142356931831	0.6688915636284057	1.0	0.6616697669329249	0.34942165006709014	0.6533537586169165	0.325309114782799	0.27059853375642845	0.45333187438450595	-0.276726118831382	0.36579494474231317	0.46230440967283076	0.24783893204945834	0.5113250902724588	-0.06598096071780282	0.18349928876244667	0.0771419192471824	-0.12856986541197066	0.15067294014662436	0.2754130648867491	0.4290403764087975	0.23098807309333624	0.2584074285585639	0.5531239741766059	0.6804902068059963	0.5218295218295218	0.58682569208885	0.5480906007221797	0.48572053835211726	0.5579385053069263	0.3272786956997483	0.44501586606849763
ZAP70	0.834774045300361	0.7673706094758725	0.5610022978444031	0.6890250574461101	0.7855345223766276	0.6616697669329249	1.0	0.2041164968257007	0.5719444140496772	0.46449283291388554	0.22704891125943757	0.36754568333515697	-0.45486377065324435	0.2668782142466353	0.3500382974067185	0.49906992012255164	0.41240835977678086	0.17299485720538352	0.2642521063573695	0.27388116861801065	0.02199365357260094	0.2773826458036984	0.48769011926906664	0.5610022978444031	0.41109530583214793	0.5044367140789261	0.5117627749206697	0.7964766385819017	0.6496334391071233	0.8702265018054491	0.7682459787722946	0.5154830944304628	0.7737170368749317	0.5312397417660576	0.3277163803479593
LAT	0.39533674439661864	0.22435026720820483	0.16398247974831623	0.4273550184084933	0.2210150303319679	0.3494216500670901	0.20411649682570074	1.0	0.34264000175207504	0.062035405898007094	0.3132899172411899	0.4270214947208696	-0.036798780201147574	0.0649259445240791	0.36887719851180556	0.14964096118049738	0.4513687239173993	-0.1110633879786901	0.08571558771928937	0.09160783953397461	0.0688170542130222	0.36454139057269763	0.22724080583427686	0.14230344005277612	-0.012118027316994216	-0.02136891092507411	0.2781587554781608	0.1018358992877679	0.010116885191252051	0.10205824841285037	0.32318445330735945	0.16754006574963565	0.08882847547044385	0.1230702407331431	0.13218655486152409
LCP2	0.7325746799431011	0.6778640989167305	0.5329904803589013	0.6610132399606083	0.7704344020133495	0.6533537586169165	0.5719444140496772	0.34264000175207504	1.0	0.43166648429806326	0.5599080862238756	0.683991683991684	-0.06554327606959186	0.2500273552905132	0.3835211729948572	0.5421818579713317	0.6743626217310428	-0.15483094430462851	0.24455629718787614	0.3152423678739468	0.1644600065652697	0.4686508370718897	0.40628077470182733	0.5973301236459131	0.49141043877885987	0.35655624415350806	0.7995404311193784	0.665390086442718	0.5730386256702046	0.5671298829193566	0.6758945179997812	0.47434073749863226	0.4662435715067294	0.5163584637268848	0.42575774154721524
TRAT1	0.6135244556297188	0.7187876135244556	0.5612211401685085	0.6122114016850859	0.5852937958201115	0.325309114782799	0.46449283291388554	0.062035405898007094	0.43166648429806326	1.0	0.319400372031951	0.26118831381989277	-0.15789473684210525	0.3868038078564394	0.13601050443155704	0.22617354196301565	0.33165554218185794	0.05875916402232192	-0.05569537148484517	0.26841011051537367	0.1622715833242149	0.11587701061385274	0.5478717583980741	0.3765182186234818	0.27388116861801065	0.44769443006309906	0.1985994091257249	0.5251121566911041	0.3520078783236678	0.5227048911259438	0.3811139074296969	0.3601050443155706	0.40321698216435053	0.5434949119159646	0.16424116424116425
