cohort	n	gene_rank	gene	PTPN22_spearman	PTPN22_pearson	direction	cross_cohort_direction_consistent
ERP117672	35	1	CD3D	0.8624649859943978	0.8797966341447733	POSITIVE	True
ERP117672	35	2	CD3E	0.8495798319327732	0.8987537102945862	POSITIVE	True
ERP117672	35	3	CD3G	0.9358543417366947	0.9543019679906178	POSITIVE	True
ERP117672	35	4	CD247	0.6473389355742297	0.737614374396371	POSITIVE	True
ERP117672	35	5	LCK	0.8081232492997201	0.8851918754326517	POSITIVE	True
ERP117672	35	6	FYN	0.7521008403361346	0.6766709435492668	POSITIVE	True
ERP117672	35	7	ZAP70	0.7128851540616248	0.729260230647425	POSITIVE	True
ERP117672	35	8	LAT	0.6565826330532214	0.6982160171169748	POSITIVE	True
ERP117672	35	9	LCP2	0.8893557422969187	0.8741079523764815	POSITIVE	True
ERP117672	35	10	TRAT1	0.7218992944378707	0.8325085724371502	POSITIVE	True
ERP117672	35	11	NFKB1	0.5039215686274511	0.46711391176840844	POSITIVE	True
ERP117672	35	12	REL	0.3473389355742297	0.3398583888559723	POSITIVE	True
ERP117672	35	13	RELA	-0.08739495798319327	-0.17732972452125007	NEGATIVE	True
ERP117672	35	14	NFKBIA	0.3938375350140056	0.4212344857387686	POSITIVE	True
ERP117672	35	15	TNFAIP3	0.5913165266106444	0.5062645937710676	POSITIVE	True
ERP117672	35	16	STAT1	0.811764705882353	0.8301733351234415	POSITIVE	True
ERP117672	35	17	IRF1	0.6946778711484594	0.7689789804400344	POSITIVE	True
ERP117672	35	18	IFIT1	0.09243697478991597	0.12696197805607415	POSITIVE	False
ERP117672	35	19	IFIT2	0.2554621848739496	0.27934156042446046	POSITIVE	True
ERP117672	35	20	IFIT3	0.26386554621848746	0.39216799821013615	POSITIVE	True
ERP117672	35	21	ISG15	0.4341736694677871	0.4690835608590998	POSITIVE	True
ERP117672	35	22	MX1	0.27254901960784317	0.36074159474025047	POSITIVE	True
ERP117672	35	23	OAS1	0.2481792717086835	0.29416005088510927	POSITIVE	True
ERP117672	35	24	CXCL9	0.8151260504201682	0.8850434749260853	POSITIVE	True
ERP117672	35	25	CXCL10	0.7103641456582634	0.7389295808833501	POSITIVE	True
ERP117672	35	26	IFNG	0.7497898865346077	0.7703433481444393	POSITIVE	True
ERP117672	35	27	TNF	0.8442889248959842	0.843306931625656	POSITIVE	True
ERP117672	35	28	CCL5	0.8803921568627452	0.9256780550004944	POSITIVE	True
ERP117672	35	29	NKG7	0.7635854341736695	0.8475825950932936	POSITIVE	True
ERP117672	35	30	PRF1	0.7630252100840336	0.8224371398136829	POSITIVE	True
ERP117672	35	31	GZMB	0.7627450980392159	0.8075268576117365	POSITIVE	True
ERP117672	35	32	PDCD1	0.5865546218487395	0.6581282530370622	POSITIVE	True
ERP117672	35	33	LAG3	0.465546218487395	0.6952578416011257	POSITIVE	True
ERP117672	35	34	TIGIT	0.8871148459383754	0.9186089102228703	POSITIVE	True
ERP117672	35	35	TOX	0.7585434173669469	0.7321612624211546	POSITIVE	True
GSE302495	38	1	CD3D	0.8489987963672173	0.8557560677909792	POSITIVE	True
GSE302495	38	2	CD3E	0.8050114892220154	0.7833070834650803	POSITIVE	True
GSE302495	38	3	CD3G	0.5841995841995842	0.5367683273421899	POSITIVE	True
GSE302495	38	4	CD247	0.7540212277054383	0.6553111452054269	POSITIVE	True
GSE302495	38	5	LCK	0.8570959623591203	0.8733941381311857	POSITIVE	True
GSE302495	38	6	FYN	0.6625451362293466	0.7422469267548273	POSITIVE	True
GSE302495	38	7	ZAP70	0.7780938833570412	0.7588608992122694	POSITIVE	True
GSE302495	38	8	LAT	0.3007271916740308	0.25848384928031826	POSITIVE	True
GSE302495	38	9	LCP2	0.8546886967939599	0.905876859397413	POSITIVE	True
GSE302495	38	10	TRAT1	0.46317977896925266	0.48491353727326436	POSITIVE	True
GSE302495	38	11	NFKB1	0.5774154721523143	0.5425401572876785	POSITIVE	True
GSE302495	38	12	REL	0.6259984681037313	0.5199053107425824	POSITIVE	True
GSE302495	38	13	RELA	-0.32268300689353324	-0.32789343039529245	NEGATIVE	True
GSE302495	38	14	NFKBIA	0.1705875916402232	0.18146873960795862	POSITIVE	True
GSE302495	38	15	TNFAIP3	0.3813327497538024	0.34213646724595914	POSITIVE	True
GSE302495	38	16	STAT1	0.6393478498741657	0.6691725762637063	POSITIVE	True
GSE302495	38	17	IRF1	0.6034577087208666	0.6236046676050995	POSITIVE	True
GSE302495	38	18	IFIT1	-0.03293576977787504	0.04577890985349493	NEGATIVE	False
GSE302495	38	19	IFIT2	0.21194879089615934	0.2430721166492377	POSITIVE	True
GSE302495	38	20	IFIT3	0.3480687164897691	0.3673757258474087	POSITIVE	True
GSE302495	38	21	ISG15	0.0966188860925703	0.028215904186344936	POSITIVE	True
GSE302495	38	22	MX1	0.5036656089287669	0.48627517118399416	POSITIVE	True
GSE302495	38	23	OAS1	0.5415253309990152	0.5428582241185776	POSITIVE	True
GSE302495	38	24	CXCL9	0.6695480906007222	0.6847513086332352	POSITIVE	True
GSE302495	38	25	CXCL10	0.5599080862238756	0.5861230388034693	POSITIVE	True
GSE302495	38	26	IFNG	0.514295412073954	0.5130821268072373	POSITIVE	True
GSE302495	38	27	TNF	0.7461429040376409	0.7438787999570944	POSITIVE	True
GSE302495	38	28	CCL5	0.805230331546121	0.8248368936723455	POSITIVE	True
