candidate	state	dataset_discovery	n_patients_discovery	median_patient_rho_discovery	ci_lower_discovery	ci_upper_discovery	positive_patient_fraction_discovery	dataset_replication	n_patients_replication	median_patient_rho_replication	ci_lower_replication	ci_upper_replication	positive_patient_fraction_replication	direction_concordant	both_majority_same_direction
MAP4K1	T_effector	GSE149614	10	0.0521046431465553	0.0248800590215216	0.182701059592733	0.9	GSE326201	10	0.00209577435587526	-0.010980494468623	0.0236978693962879	0.7	TRUE	TRUE
MAP4K1	T_naive_progenitor	GSE149614	10	0.0173071273663753	-0.0445746318790039	0.0839751170927718	0.5	GSE326201	10	-0.0575861356232797	-0.0964879607585444	-0.0297751452608772	0.1	FALSE	FALSE
MAP4K1	T_proliferating	GSE149614	10	0.0658822550270378	-0.00907449229140115	0.130068592237093	0.7	GSE326201	10	0.0643444856294362	0.0440874065844984	0.0759704489583266	0.9	TRUE	TRUE
MAP4K1	T_terminal_exhaustion	GSE149614	10	0.0446444597002826	0.0349612700832141	0.239532976791083	0.9	GSE326201	10	0.0739743750641786	0.0633982197433369	0.102050604240862	1	TRUE	TRUE
MAP4K1	Tfh_like	GSE149614	10	0.0791356446303497	0.0369236908989915	0.166073806962972	0.9	GSE326201	10	0.0447093901296094	0.0321293166163601	0.0833601409617545	1	TRUE	TRUE
MAP4K1	Treg	GSE149614	10	0.0520141579946201	-0.0067868260302537	0.196065685366776	0.8	GSE326201	10	0.0669067841198371	0.0490837951529202	0.124791452969119	1	TRUE	TRUE
PIK3CG	Myeloid_inflammatory	GSE149614	10	0.0198031315698261	-0.0234561072628562	0.049893333823685	0.7	GSE326201	10	0.0708363312749959	0.0402318038698167	0.0959854851622184	0.9	TRUE	TRUE
PIK3CG	Myeloid_suppressive_TAM	GSE149614	10	-0.0123177021999605	-0.0567928546721286	0.0362010385441654	0.5	GSE326201	10	0.0293684454339489	0.00170345161127787	0.0576614045904628	0.8	FALSE	FALSE
PTPN22	T_effector	GSE149614	10	0.0650176462381818	0.00467361760813394	0.216216266786204	0.8	GSE326201	10	0.0624531757058332	0.0531510696143573	0.0897865976545433	1	TRUE	TRUE
PTPN22	T_naive_progenitor	GSE149614	10	-0.0157163222521813	-0.0681374069099604	0.0704246468936645	0.4	GSE326201	10	-0.0349440531833746	-0.0558545332950234	0.0104800059163628	0.3	TRUE	TRUE
PTPN22	T_proliferating	GSE149614	10	0.0107557653885577	-0.0608282285751243	0.0480903945045317	0.7	GSE326201	10	0.0121973852562262	-0.00253138488887522	0.0496181241437279	0.7	TRUE	TRUE
PTPN22	T_terminal_exhaustion	GSE149614	10	0.131170936573741	0.0365757236527514	0.226272406888771	0.8	GSE326201	10	0.0393865165710591	0.0116685263048931	0.0777065192325481	0.9	TRUE	TRUE
PTPN22	Tfh_like	GSE149614	10	0.0786502638717917	0.00659611493416635	0.23115149027729	0.8	GSE326201	10	0.0305482422859909	0.00458464163941581	0.0521951304716483	0.8	TRUE	TRUE
PTPN22	Treg	GSE149614	10	0.0982532938502942	0.038740232944929	0.216086548942486	1	GSE326201	10	0.0190397960740694	-0.01037788627699	0.0392635150251016	0.7	TRUE	TRUE
