context_family	context_level	sub_cluster	value	n_patients
Expansion	Singleton	CD4_C01_CCR7	0.207391653351444	9
Expansion	Singleton	CD4_C02_IL7R	0.0821610147051694	9
Expansion	Singleton	CD4_C03_CD44	0.0777849009539637	9
Expansion	Singleton	CD4_C04_GZMK	0.179510232236235	9
Expansion	Singleton	CD4_C05_GNLY	0.00212564065667033	9
Expansion	Singleton	CD4_C06_CXCL13	0.0315127299001781	9
Expansion	Singleton	CD4_C07_CTLA4	0.0683775738037061	9
Expansion	Singleton	CD4_C08_FOXP3	0.0459840416391322	9
Expansion	Singleton	CD4_C09_MKI67	0.00529082155770797	9
Expansion	Singleton	CD8_C01_LEF1	0.106068480070358	9
Expansion	Singleton	CD8_C02_GPR183	0.0102059896287946	9
Expansion	Singleton	CD8_C03_CX3CR1	0.00903656971040771	9
Expansion	Singleton	CD8_C04_GIMAP4	0.0122289719089687	9
Expansion	Singleton	CD8_C05_CCR7	0.0121058558364635	9
Expansion	Singleton	CD8_C06_IKZF2	0.000732306965768896	9
Expansion	Singleton	CD8_C07_KIR2DL4	0.00520557376139713	9
Expansion	Singleton	CD8_C08_GZMK	0.0697429794550411	9
Expansion	Singleton	CD8_C09_LAYN	0.0330027293850984	9
Expansion	Singleton	CD8_C10_SLC4A10	0.0390597797133967	9
Expansion	Singleton	CD8_C11_MKI67	0.00247215476009807	9
Expansion	Expanded (>=2 cells)	CD4_C01_CCR7	0.018948041155763	9
Expansion	Expanded (>=2 cells)	CD4_C02_IL7R	0.0193285392160765	9
Expansion	Expanded (>=2 cells)	CD4_C03_CD44	0.0552294116699695	9
Expansion	Expanded (>=2 cells)	CD4_C04_GZMK	0.0972600591855093	9
Expansion	Expanded (>=2 cells)	CD4_C05_GNLY	0.0309561201796225	9
Expansion	Expanded (>=2 cells)	CD4_C06_CXCL13	0.0163511347124149	9
Expansion	Expanded (>=2 cells)	CD4_C07_CTLA4	0.109473786611639	9
Expansion	Expanded (>=2 cells)	CD4_C08_FOXP3	0.00566226964577789	9
Expansion	Expanded (>=2 cells)	CD4_C09_MKI67	0.00577276440655326	9
