cohort	draw_id	matched_program_genes	conditional_response_effect	conditional_cohort_mean	target_response_effect	target_cohort_mean	program_size	nearest_candidate_pool	matching	seed	random_sets_are_biological_replicates
GSE238264	RANDOM_001	GPSM3;SYT12;PROCR;LPA;TRPV2;IPO11;ATOH8;ZMYM6;FKBP15;ZNF215;BCAT1;BTK;SUPT6H;RETREG2;FRMD4B;KHK;SLC6A1;ELL;NEURL2;UPF3B;WARS;ZBTB4;MTHFR;UPF2;CGA;AL031775.2;LINC00702;PHIP;PTGIS;BCL2;TREM2;KCNC3;RSPH3;AC112206.2;CBS	0.00736580181549444	0.0204584920188324	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_002	MMD;FBLN2;PRSS8;MRAP;FILIP1L;SAP25;PLEK2;GBP7;THBD;GTF2H2C;RAB11FIP3;PRUNE2;MRPS25;SEPTIN2;ARID4A;AUP1;SNX10;LINC02532;SARM1;HHIPL2;CSK;UNC93A;ARID2;KMT2A;TAOK3;AL356652.1;FGF22;LMO4;PREX1;NTS;SYTL2;ANKRD1;PLEKHG1;CKMT2;AC018638.7	0.0203013930548672	0.0163300386022315	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_003	SYNE1;OSTF1;HOXA-AS2;NR1I2;GEM;FGFR1OP2;EME2;AP4B1;DEPDC7;LHX2;UTP11;PSMG3-AS1;TMEM106B;HMGN1;DGLUCY;ARPC5;CYP2J2;ZC3H7A;MYO7B;NAIP;PDE4DIP;PMP22;TBC1D10A;ZYG11B;MICAL1;KCNK12;CU639417.4;SLC25A47;MERTK;HAPLN3;AVPR1A;PHYHIP;EMB;HOXB-AS1;TUB	-0.00239037508155412	0.018338697763504	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_004	APOBEC3C;SLC1A3;CD300A;MFAP2;CD79B;MAMDC4;NUDT12;RASGRP3;CHSY1;PTX3;OXR1;ESR1;LPIN2;DNAJB11;RGS2;POMP;PDPK1;RGL1;PLEKHM3;ANKRD44;MESD;PIP4K2A;NEIL2;ZSCAN31;FCGR2A;STRC;AC007389.5;PLAC9;SGF29;DOCK2;IGSF23;FCRL3;ARHGAP10;HIST1H4C;CBS	0.00441650845970601	0.0246171324780402	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_005	SAP25;HIC1;MAPK10;RETREG1;RNF135;NNT-AS1;ITGA3;TRPV2;RHBDF2;WDR66;PLEKHO2;TRIM63;MRPS35;CXXC5;UFSP2;PHB;GBP2;MPP1;GDPGP1;KMO;PLTP;GBP4;LDB2;LMCD1;SH2D4A;AC079781.5;NECTIN4;CORO1A;ROBO2;REV3L;FPR1;PCDH7;TRMT10B;CCDC191;AC009309.1	0.0343337394883905	0.0183358698823656	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_006	ITGA4;CEP170;BATF;ADAM8;ANGPTL6;BTN3A3;ZFP90;CHST11;PLXDC2;AP005262.2;PURB;DAPP1;SCYL1;LEAP2;ZMYM4;LAMP2;LSP1;TRIM47;C3orf85;PPM1K;COPB2;PIGR;NXN;GCC2;LAMC3;AL158163.1;AL583856.2;SYNPO;LIFR;ABTB2;TMTC1;SUCLG2-AS1;LILRB3;HIST1H4C;DNAJC6	0.00895765482755866	0.012871875727653	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_007	PREX1;GIMAP5;MEF2B;CXCL6;MINDY2;DAPK2;PLAUR;OAS3;PPP1R12B;LINC02388;RRAGC;NIBAN3;CFLAR;ARPC2;SBF2;YIPF3;TGIF1;MPHOSPH6;NUGGC;ZNF641;TM7SF3;KYNU;LIFR;SHISA4;ZYG11B;AL158163.1;UCP3;SNX10;ARMCX6;CCN4;SLIT3;SPINK5;SDCBP2;TCP10L;F8A3	0.0111951014550632	0.0147729369670839	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_008	PRDM2;KIAA2026;OTOA;CCR1;EPB41L3;LIMK2;FMNL3;TAF3;FBLN2;NTNG2;NFATC2IP;CD22;ABCB6;LAMB2;HPGD;EBP;CFDP1;MSL2;P2RX1;SEMA3B;ACTR3;SLC7A11;TNC;PIP4K2A;FGL2;AF001548.2;AC107294.2;TCEAL9;LAIR1;TMEM273;SLC6A13;RASGRP1;TRMT10B;OLR1;AC112220.2	0.00929989657362675	0.0280165780783435	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_009	NCKAP1L;IGHA2;ANO9;SYDE1;CCL25;CLEC2D;PEAR1;CD7;NFATC2;LINC02591;BABAM2;GSPT2;LSM14A;HACD3;SZT2;C9orf16;PDPK1;SLC25A30;MSANTD4;CD40;GLTPD2;MGAT4A;SLC29A3;ISLR;RNF20;C1GALT1C1L;STEAP1B;GHRH;S100P;TRAF3IP3;UPK3A;LINC00313;CLEC10A;KRT222;ZNF2	0.0307905758005337	0.0217352166807626	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_010	SYT7;CDC40;TREM2;MLKL;GOLGA8A;SLC1A3;PODN;MSC;HCP5;AC109439.2;GATAD2B;SPNS2;KIF5B;NDRG1;PGM2;PTGR1;NCOA7;RGL1;LARP6;ARHGAP26;NCOR1;MAD1L1;AKAP7;CBLB;MATN2;ZNF578;SSTR3;CCKBR;WFDC2;MTMR9;CCDC24;GRAP2;RRAD;AMPD3;PPP2R3A	0.00902917578284397	0.0113429364462851	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
