source	analysis	lineage	eligible_patient_n	positive_total_n	between_dominant_n	opposing_n	median_C_total	median_C_between	median_C_within	median_abs_between	median_abs_within	median_abs_total	median_abs_between_over_within	median_residual_Pearson	median_residual_Spearman	median_abs_residual_Pearson	core_gate	final_gate	lineage_gate	LOPO_stable	removed_state	removal_type	full_median_C_total	signed_change_C_total	absolute_change_C_total	relative_change_C_total	full_median_C_between	signed_change_C_between	absolute_change_C_between	relative_change_C_between	full_median_C_within	signed_change_C_within	absolute_change_C_within	relative_change_C_within	full_median_abs_between	signed_change_abs_between	absolute_change_abs_between	relative_change_abs_between	matched_reference_patient_n	matched_reference_median_abs_between	between_reduction_fraction	architecture_changed	HIGH_INFLUENCE_STATE	catastrophic_collapse
GSE235863	LOSO_CD4_C01_CCR7	ALL	6	6	5	1	0.200314968798218	0.155799905409554	0.0681799878879863	0.155799905409554	0.0681799878879863	0.200314968798218	2.28512662198649	0.0826981237076652	0.0796860501151867	0.0826981237076652	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	True	CD4_C01_CCR7	SINGLE_STATE	0.210808539640092	-0.0104935708418739	0.0104935708418739	-0.0497777312996393	0.168069322872166	-0.0122694174626115	0.0122694174626115	-0.0730021234865312	0.0654179112895234	0.00276207659846296	0.00276207659846296	0.0422220236631937	0.168069322872166	-0.0122694174626115	0.0122694174626115	-0.0730021234865312	6	0.168069322872166	0.0730021234865312	False	False	False
GSE235863	LOSO_CD4_C02_IL7R	ALL	6	6	5	1	0.208237250191668	0.166065396767968	0.067262660108755	0.166065396767968	0.067262660108755	0.208237250191668	2.46890914661213	0.0822257862890515	0.080473148305724	0.0822257862890515	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	True	CD4_C02_IL7R	SINGLE_STATE	0.210808539640092	-0.00257128944842347	0.00257128944842347	-0.0121972736626959	0.168069322872166	-0.00200392610419739	0.00200392610419739	-0.0119232116245365	0.0654179112895234	0.00184474881923165	0.00184474881923165	0.0281994454250801	0.168069322872166	-0.00200392610419739	0.00200392610419739	-0.0119232116245365	6	0.168069322872166	0.0119232116245365	False	False	False
GSE235863	LOSO_CD4_C03_CD44	ALL	6	6	5	1	0.196842467120596	0.157826385713822	0.057331228078761	0.157826385713822	0.057331228078761	0.196842467120596	2.75288688211949	0.0687761192943961	0.0749888982204747	0.0687761192943961	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	True	CD4_C03_CD44	SINGLE_STATE	0.210808539640092	-0.0139660725194956	0.0139660725194956	-0.0662500321065716	0.168069322872166	-0.0102429371583436	0.0102429371583436	-0.0609447160451432	0.0654179112895234	-0.00808668321076235	0.00808668321076235	-0.123615735375174	0.168069322872166	-0.0102429371583436	0.0102429371583436	-0.0609447160451432	6	0.168069322872166	0.0609447160451432	False	False	False
GSE235863	LOSO_CD4_C04_GZMK	ALL	6	6	5	1	0.190208865568026	0.138283963853669	0.0545164657257278	0.138283963853669	0.0545164657257278	0.190208865568026	2.53655408531755	0.0667199038446707	0.0605380940441509	0.0667199038446707	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	True	CD4_C04_GZMK	SINGLE_STATE	0.210808539640092	-0.020599674072066	0.020599674072066	-0.0977174554087576	0.168069322872166	-0.0297853590184962	0.0297853590184962	-0.177220676025161	0.0654179112895234	-0.0109014455637956	0.0109014455637956	-0.166643131046304	0.168069322872166	-0.0297853590184962	0.0297853590184962	-0.177220676025161	6	0.168069322872166	0.177220676025161	False	False	False
GSE235863	LOSO_CD4_C05_GNLY	ALL	6	6	5	1	0.211511107966156	0.168662833935408	0.0657449457516147	0.168662833935408	0.0657449457516147	0.211511107966156	2.56541140930617	0.0803992257035887	0.0793840650561252	0.0803992257035887	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	True	CD4_C05_GNLY	SINGLE_STATE	0.210808539640092	0.000702568326063968	0.000702568326063968	0.00333273181088131	0.168069322872166	0.000593511063242153	0.000593511063242153	0.00353134678654938	0.0654179112895234	0.000327034462091341	0.000327034462091341	0.00499915780930345	0.168069322872166	0.000593511063242153	0.000593511063242153	0.00353134678654938	6	0.168069322872166	-0.00353134678654938	False	False	False
GSE235863	LOSO_CD4_C06_CXCL13	ALL	6	6	6	1	0.222706337567481	0.170778049345172	0.0661277319995151	0.170778049345172	0.0661277319995151	0.222706337567481	2.58254811077483	0.0812227764151806	0.0802319853282425	0.0812227764151806	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	True	CD4_C06_CXCL13	SINGLE_STATE	0.210808539640092	0.0118977979273887	0.0118977979273887	0.056438880264061	0.168069322872166	0.0027087264730063	0.0027087264730063	0.0161167215213128	0.0654179112895234	0.000709820709991718	0.000709820709991718	0.0108505560021663	0.168069322872166	0.0027087264730063	0.0027087264730063	0.0161167215213128	6	0.168069322872166	-0.0161167215213128	False	False	False
GSE235863	LOSO_CD4_C07_CTLA4	ALL	6	6	5	1	0.221236313751597	0.149131260444663	0.0641004817264106	0.149131260444663	0.0641004817264106	0.221236313751597	2.32652324020239	0.0790288232208981	0.0682749896527651	0.0790288232208981	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	True	CD4_C07_CTLA4	SINGLE_STATE	0.210808539640092	0.0104277741115057	0.0104277741115057	0.04946561524172	0.168069322872166	-0.0189380624275027	0.0189380624275027	-0.112680066200464	0.0654179112895234	-0.00131742956311272	0.00131742956311272	-0.0201386674863724	0.168069322872166	-0.0189380624275027	0.0189380624275027	-0.112680066200464	6	0.168069322872166	0.112680066200464	False	False	False
GSE235863	LOSO_CD4_C08_FOXP3	ALL	6	6	5	1	0.210981843923244	0.167388275005176	0.06641249486052	0.167388275005176	0.06641249486052	0.210981843923244	2.52043347199539	0.0811235748767971	0.0788135715193447	0.0811235748767971	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	True	CD4_C08_FOXP3	SINGLE_STATE	0.210808539640092	0.000173304283152653	0.000173304283152653	0.000822093276906767	0.168069322872166	-0.000681047866989137	0.000681047866989137	-0.00405218427343309	0.0654179112895234	0.000994583570996646	0.000994583570996646	0.0152035360253993	0.168069322872166	-0.000681047866989137	0.000681047866989137	-0.00405218427343309	6	0.168069322872166	0.00405218427343309	False	False	False
GSE235863	LOSO_CD4_C09_MKI67	ALL	6	6	5	1	0.209027098056593	0.169325102067074	0.0663943707323887	0.169325102067074	0.0663943707323887	0.209027098056593	2.55029304742658	0.0810898224223793	0.0760146436525155	0.0810898224223793	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	True	CD4_C09_MKI67	SINGLE_STATE	0.210808539640092	-0.0017814415834988	0.0017814415834988	-0.00845051906597432	0.168069322872166	0.00125577919490844	0.00125577919490844	0.00747179302830647	0.0654179112895234	0.000976459442865341	0.000976459442865341	0.014926484560838	0.168069322872166	0.00125577919490844	0.00125577919490844	0.00747179302830647	6	0.168069322872166	-0.00747179302830647	False	False	False
GSE235863	LOSO_CD8_C01_LEF1	ALL	6	6	5	1	0.209749858867602	0.163366187543162	0.0651836028130436	0.163366187543162	0.0651836028130436	0.209749858867602	2.50624667083409	0.0794727824459814	0.0784107102304324	0.0794727824459814	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	True	CD8_C01_LEF1	SINGLE_STATE	0.210808539640092	-0.00105868077249022	0.00105868077249022	-0.00502200135866259	0.168069322872166	-0.0047031353290031	0.0047031353290031	-0.0279833062252552	0.0654179112895234	-0.000234308476479775	0.000234308476479775	-0.00358171748166621	0.168069322872166	-0.0047031353290031	0.0047031353290031	-0.0279833062252552	6	0.168069322872166	0.0279833062252552	False	False	False
