gene	system	condition	contrast	native_effect	orientation_factor	eligible	is_AF35	is_PTPN22	oriented_effect	rank_score	average_rank	percentile_rank	gene_rank
CD3D	GSE314342_Rest	Rest	PTPN22_CRISPRI_VS_NTC_REST	0.0428117698860246	-1	True	True	False	-0.0428117698860246	-0.3751215716786618	3213.0	0.3124392141606691	1
CD3E	GSE314342_Rest	Rest	PTPN22_CRISPRI_VS_NTC_REST	0.004901031108431	-1	True	True	False	-0.004901031108431	-0.09910523244504965	4632.0	0.4504473837774752	2
CD3G	GSE314342_Rest	Rest	PTPN22_CRISPRI_VS_NTC_REST	0.0930931197360866	-1	True	True	False	-0.0930931197360866	-0.6332425598132658	1886.0	0.18337872009336706	3
CD247	GSE314342_Rest	Rest	PTPN22_CRISPRI_VS_NTC_REST	-0.0412778009880224	-1	True	True	False	0.0412778009880224	0.23448745380276215	6347.0	0.6172437269013811	4
LCK	GSE314342_Rest	Rest	PTPN22_CRISPRI_VS_NTC_REST	0.0216727236449775	-1	True	True	False	-0.0216727236449775	-0.2241781754522466	3989.0	0.3879109122738767	5
FYN	GSE314342_Rest	Rest	PTPN22_CRISPRI_VS_NTC_REST	0.0847397193146659	-1	True	True	False	-0.0847397193146659	-0.5988134604162614	2063.0	0.20059326979186928	6
ZAP70	GSE314342_Rest	Rest	PTPN22_CRISPRI_VS_NTC_REST	-0.0369948859871892	-1	True	True	False	0.0369948859871892	0.2047267068663685	6194.0	0.6023633534331843	7
LAT	GSE314342_Rest	Rest	PTPN22_CRISPRI_VS_NTC_REST	-0.0076767188093465	-1	True	True	False	0.0076767188093465	-0.0004862867146470107	5139.0	0.4997568566426765	8
LCP2	GSE314342_Rest	Rest	PTPN22_CRISPRI_VS_NTC_REST	-0.047648454364369	-1	True	True	False	0.047648454364369	0.27747519937755305	6568.0	0.6387375996887765	9
TRAT1	GSE314342_Rest	Rest	PTPN22_CRISPRI_VS_NTC_REST	0.0069404583520507	-1	True	True	False	-0.0069404583520507	-0.11661155417234004	4542.0	0.44169422291383	10
NFKB1	GSE314342_Rest	Rest	PTPN22_CRISPRI_VS_NTC_REST	-0.0314119969537213	-1	True	True	False	0.0314119969537213	0.16854697529663487	6008.0	0.5842734876483174	11
REL	GSE314342_Rest	Rest	PTPN22_CRISPRI_VS_NTC_REST	-0.2214469041615709	-1	True	True	False	0.2214469041615709	0.7853530441548338	9179.0	0.8926765220774169	12
RELA	GSE314342_Rest	Rest	PTPN22_CRISPRI_VS_NTC_REST	0.0351845645430538	-1	True	True	False	-0.0351845645430538	-0.32610387084224857	3465.0	0.3369480645788757	13
NFKBIA	GSE314342_Rest	Rest	PTPN22_CRISPRI_VS_NTC_REST	0.0661316752223122	-1	True	True	False	-0.0661316752223122	-0.5118653958373858	2510.0	0.24406730208130714	14
