major_cluster	sub_cluster	state_order	af35_primary	UMAP_1	UMAP_2
CD4	CD4_C05_GNLY	5	0.00400165364696948	4.82616	-0.71034765
CD8	CD8_C03_CX3CR1	12	-0.206404071295488	7.902686	3.8479486
CD4	CD4_C01_CCR7	1	-0.12101642337547	-1.8685619	1.337533
CD8	CD8_C03_CX3CR1	12	0.192808847740078	8.527116	3.675555
CD8	CD8_C08_GZMK	17	0.186136061111087	6.211741	4.9951143
CD4	CD4_C01_CCR7	1	-0.413873329414752	-1.5091594	0.71535957
CD8	CD8_C01_LEF1	10	-0.396637843528896	2.2266958	2.383844
CD8	CD8_C02_GPR183	11	-0.0617309195419385	2.9480655	5.8572254
CD8	CD8_C08_GZMK	17	-0.208419014109585	7.257728	4.22448
CD8	CD8_C03_CX3CR1	12	-0.0551789005863008	6.2841415	3.607423
CD8	CD8_C08_GZMK	17	0.205939120503096	7.4399543	5.5981503
CD8	CD8_C03_CX3CR1	12	-0.11947125213561	6.6798987	1.0608038
CD4	CD4_C03_CD44	3	-0.0527197011157797	-0.32630903	2.1111197
CD8	CD8_C01_LEF1	10	-0.119981051334	2.475013	4.783162
CD4	CD4_C03_CD44	3	-0.449295515197589	0.67590016	0.17635576
CD8	CD8_C03_CX3CR1	12	0.12538356068478	7.448101	3.572194
CD8	CD8_C01_LEF1	10	-0.40092464159261	1.7709898	3.1482348
CD4	CD4_C02_IL7R	2	-0.245805623003119	1.0088766	-2.6796808
CD4	CD4_C05_GNLY	5	-0.0340115763464435	5.5774345	-1.8845519
CD8	CD8_C03_CX3CR1	12	-0.0995740752883589	9.082053	3.0858767
CD4	CD4_C03_CD44	3	0.18571455700516	0.28131577	0.8814611
CD8	CD8_C08_GZMK	17	0.122223824670443	4.863788	6.01255
CD8	CD8_C03_CX3CR1	12	0.29514273639991	7.249539	3.2077265
CD4	CD4_C01_CCR7	1	-0.193973290967259	0.24196212	-1.4364133
CD4	CD4_C01_CCR7	1	-0.170834188087803	-0.8329567	0.024509612
CD4	CD4_C05_GNLY	5	0.00135521530729807	5.9291716	-2.283643
CD4	CD4_C01_CCR7	1	-0.0809921365822404	-0.8263149	-0.82976246
CD4	CD4_C01_CCR7	1	-0.0628267530307441	-1.9876622	0.41138324
CD4	CD4_C01_CCR7	1	-0.0812525178837622	-1.4766455	-4.613533
CD4	CD4_C01_CCR7	1	-0.303632363437851	-0.9729539	1.4276195
CD4	CD4_C03_CD44	3	-0.387308902362198	1.0632197	0.99149895
CD8	CD8_C06_IKZF2	15	0.0543544161802249	7.172055	0.594592
CD4	CD4_C03_CD44	3	-0.00112809368243035	2.5651762	0.86322075
CD4	CD4_C05_GNLY	5	0.188073546722001	5.505299	-1.2992376
CD4	CD4_C01_CCR7	1	-0.361642982746729	-2.1972258	0.5768084
CD4	CD4_C01_CCR7	1	-0.25910152848416	-0.9787095	-4.417814
CD4	CD4_C01_CCR7	1	-0.079068004245749	0.9283579	0.62880766
CD8	CD8_C03_CX3CR1	12	-0.166394424198986	8.173332	3.0087485
CD4	CD4_C02_IL7R	2	-0.364448701110698	0.58233535	-0.5014409
CD8	CD8_C01_LEF1	10	-0.218276886615713	1.992594	4.0210066
CD4	CD4_C04_GZMK	4	0.148359084377571	3.331076	1.7267535
CD4	CD4_C08_FOXP3	8	0.063638149982642	-2.9755561	2.2086751
CD4	CD4_C01_CCR7	1	-0.4525149121784	-2.0968828	-1.7225701
CD4	CD4_C03_CD44	3	1.24650680125541	2.6953478	1.5004194
CD4	CD4_C05_GNLY	5	-0.183045727841988	4.7162886	-1.2043551
CD4	CD4_C01_CCR7	1	-0.100686079495979	-0.22496827	-0.8479849
CD4	CD4_C08_FOXP3	8	-0.344358292089385	-2.8101504	2.2757695
CD4	CD4_C03_CD44	3	-0.138412908255129	1.2388066	0.71594715
CD4	CD4_C05_GNLY	5	-0.0346167861021409	6.5018387	-2.3247
CD8	CD8_C03_CX3CR1	12	-0.192198899727792	6.433623	3.494182
CD8	CD8_C03_CX3CR1	12	-0.0415812762332916	6.3786726	2.2560744
CD8	CD8_C03_CX3CR1	12	-0.13064048137644	7.6938787	3.1217525
CD4	CD4_C01_CCR7	1	-0.175806382702252	-1.7028334	0.8998653
CD8	CD8_C08_GZMK	17	-0.120575833976596	5.7053127	7.707009
CD4	CD4_C05_GNLY	5	0.0376357723675599	6.014811	-1.5377619
CD4	CD4_C05_GNLY	5	0.00313412410078364	5.9444995	-2.0295582
CD8	CD8_C04_GIMAP4	13	0.0841824030632869	6.2399464	1.7796946
CD4	CD4_C03_CD44	3	-0.407876468293081	1.0128034	0.08458819
CD4	CD4_C01_CCR7	1	-0.0173586973197991	-0.6417227	1.0633304
