released_t_cell_state	program	n_patients	patient_mean_score	patient_median_score	source_level
CD4_C01_CCR7	AP1	9	-0.135349046453	-0.13614788513	unweighted_patient_state_means
CD4_C01_CCR7	IFNG_TNF	9	-0.310832872012	-0.313841304964	unweighted_patient_state_means
CD4_C01_CCR7	IFN_response	9	-0.060660495087	-0.0667066674799	unweighted_patient_state_means
CD4_C01_CCR7	NFAT	9	-0.100517199461	-0.101778012742	unweighted_patient_state_means
CD4_C01_CCR7	NFkB	9	-0.0330244534871	0.0194868730764	unweighted_patient_state_means
CD4_C01_CCR7	TCR_activation	9	0.0184037378744	-0.0115745085912	unweighted_patient_state_means
CD4_C01_CCR7	Treg	9	-0.204793317677	-0.213800826496	unweighted_patient_state_means
CD4_C01_CCR7	checkpoint	9	-0.226522858454	-0.238568290817	unweighted_patient_state_means
CD4_C01_CCR7	cytotoxicity	9	-0.56667670302	-0.579846757969	unweighted_patient_state_means
CD4_C01_CCR7	effector_differentiation	9	-0.455395691516	-0.450768862005	unweighted_patient_state_means
CD4_C01_CCR7	exhaustion	9	-0.226083478946	-0.238284192646	unweighted_patient_state_means
CD4_C01_CCR7	proliferation	9	-0.124905293151	-0.113050951131	unweighted_patient_state_means
CD4_C02_IL7R	AP1	9	-0.24793946977	-0.241810543583	unweighted_patient_state_means
CD4_C02_IL7R	IFNG_TNF	9	-0.249241261129	-0.246374291418	unweighted_patient_state_means
CD4_C02_IL7R	IFN_response	9	-0.0118651828242	-0.0192303914326	unweighted_patient_state_means
CD4_C02_IL7R	NFAT	9	-0.117128668808	-0.112167083935	unweighted_patient_state_means
CD4_C02_IL7R	NFkB	9	-0.295281717813	-0.215524965266	unweighted_patient_state_means
CD4_C02_IL7R	TCR_activation	9	0.0816800574796	0.0896160059131	unweighted_patient_state_means
CD4_C02_IL7R	Treg	9	-0.205377992643	-0.222712547979	unweighted_patient_state_means
CD4_C02_IL7R	checkpoint	9	-0.219204542521	-0.236349681773	unweighted_patient_state_means
CD4_C02_IL7R	cytotoxicity	9	-0.489455017903	-0.483493137623	unweighted_patient_state_means
CD4_C02_IL7R	effector_differentiation	9	-0.33927929694	-0.347792591644	unweighted_patient_state_means
CD4_C02_IL7R	exhaustion	9	-0.233988563908	-0.256102935268	unweighted_patient_state_means
CD4_C02_IL7R	proliferation	9	-0.214749018304	-0.217207438715	unweighted_patient_state_means
CD4_C03_CD44	AP1	9	0.00183573994758	-0.0376151424439	unweighted_patient_state_means
CD4_C03_CD44	IFNG_TNF	9	-0.193120975675	-0.188842989755	unweighted_patient_state_means
CD4_C03_CD44	IFN_response	9	-0.019400154029	-0.0490098649957	unweighted_patient_state_means
CD4_C03_CD44	NFAT	9	-0.0546370711978	-0.0305713300138	unweighted_patient_state_means
CD4_C03_CD44	NFkB	9	0.206234697641	0.19669781325	unweighted_patient_state_means
CD4_C03_CD44	TCR_activation	9	-0.0910093323837	-0.0825940397115	unweighted_patient_state_means
CD4_C03_CD44	Treg	9	-0.148762559604	-0.153430504101	unweighted_patient_state_means
CD4_C03_CD44	checkpoint	9	-0.17637374082	-0.188708301965	unweighted_patient_state_means
CD4_C03_CD44	cytotoxicity	9	-0.469415479088	-0.494901193762	unweighted_patient_state_means
CD4_C03_CD44	effector_differentiation	9	-0.30756795903	-0.307129897501	unweighted_patient_state_means
CD4_C03_CD44	exhaustion	9	-0.203213259397	-0.214759028705	unweighted_patient_state_means
CD4_C03_CD44	proliferation	9	-0.0597505689129	-0.0598416422082	unweighted_patient_state_means
CD4_C04_GZMK	AP1	9	0.435233417875	0.346142059087	unweighted_patient_state_means
CD4_C04_GZMK	IFNG_TNF	9	-0.0230997908264	-0.0640434526291	unweighted_patient_state_means
CD4_C04_GZMK	IFN_response	9	-0.00554559168891	-0.00395503890725	unweighted_patient_state_means
CD4_C04_GZMK	NFAT	9	0.273734252478	0.280593531967	unweighted_patient_state_means
CD4_C04_GZMK	NFkB	9	0.157546122819	0.164342109018	unweighted_patient_state_means
CD4_C04_GZMK	TCR_activation	9	-0.0771150963234	-0.144627575589	unweighted_patient_state_means
CD4_C04_GZMK	Treg	9	-0.167146066167	-0.165876481631	unweighted_patient_state_means
CD4_C04_GZMK	checkpoint	9	-0.123832605866	-0.125368517999	unweighted_patient_state_means
CD4_C04_GZMK	cytotoxicity	9	-0.410450058641	-0.422348144288	unweighted_patient_state_means
CD4_C04_GZMK	effector_differentiation	9	-0.0961524151346	-0.0923461871475	unweighted_patient_state_means
CD4_C04_GZMK	exhaustion	9	-0.143858111939	-0.137290471825	unweighted_patient_state_means
CD4_C04_GZMK	proliferation	9	-0.0207996553079	-0.0630173010836	unweighted_patient_state_means
CD4_C05_GNLY	AP1	9	-0.198735814846	-0.176362687386	unweighted_patient_state_means
CD4_C05_GNLY	IFNG_TNF	9	0.13550766274	0.19914386454	unweighted_patient_state_means
CD4_C05_GNLY	IFN_response	9	0.0571949747668	0.0772429798717	unweighted_patient_state_means
CD4_C05_GNLY	NFAT	9	-0.0571266062337	-0.0747876459958	unweighted_patient_state_means
CD4_C05_GNLY	NFkB	9	-0.027711729423	0.0860772251996	unweighted_patient_state_means
CD4_C05_GNLY	TCR_activation	9	0.168765503287	0.131197580058	unweighted_patient_state_means
CD4_C05_GNLY	Treg	9	-0.257518642724	-0.251231516112	unweighted_patient_state_means
CD4_C05_GNLY	checkpoint	9	-0.142909350585	-0.148446188083	unweighted_patient_state_means
CD4_C05_GNLY	cytotoxicity	9	0.770628936412	0.759239866085	unweighted_patient_state_means
CD4_C05_GNLY	effector_differentiation	9	0.448853573798	0.405636272147	unweighted_patient_state_means
CD4_C05_GNLY	exhaustion	9	-0.164152284846	-0.15919438124	unweighted_patient_state_means
CD4_C05_GNLY	proliferation	9	-0.0629148319453	0.000873199059174	unweighted_patient_state_means
CD4_C06_CXCL13	AP1	9	0.124149212231	0.0631982938311	unweighted_patient_state_means
CD4_C06_CXCL13	IFNG_TNF	9	-0.023392866948	0.014605430047	unweighted_patient_state_means
CD4_C06_CXCL13	IFN_response	9	-0.0231651467857	0.00158505389134	unweighted_patient_state_means
CD4_C06_CXCL13	NFAT	9	0.0583566606087	0.0328220069287	unweighted_patient_state_means
CD4_C06_CXCL13	NFkB	9	-0.0320147675917	-0.0256476689007	unweighted_patient_state_means
CD4_C06_CXCL13	TCR_activation	9	0.0538930687606	0.0276902785373	unweighted_patient_state_means
CD4_C06_CXCL13	Treg	9	0.446230599622	0.459161219742	unweighted_patient_state_means
CD4_C06_CXCL13	checkpoint	9	0.342829048555	0.319855063558	unweighted_patient_state_means
CD4_C06_CXCL13	cytotoxicity	9	-0.511351037463	-0.507503482699	unweighted_patient_state_means
CD4_C06_CXCL13	effector_differentiation	9	-0.244752508826	-0.247841441632	unweighted_patient_state_means
CD4_C06_CXCL13	exhaustion	9	0.565847448153	0.529861508946	unweighted_patient_state_means
CD4_C06_CXCL13	proliferation	9	0.0305041966182	0.017251059002	unweighted_patient_state_means
