dataset	analysis	treatment	specimen	sampling_time	molecular_sample_N	clinical_evaluable_patient_N	R_NR	endpoint	manuscript_role	figure_use	overlap	primary_source	source_evidence	limitations	reference_number
GSE149614	GSE149614_tissue_discovery	No ICI assignment	Primary/metastatic HCC tumor and non-tumor sites	Resection	21 tissue samples	NA (10 biological patients; no clinical response endpoint)	NA	No ICI response endpoint	DISCOVERY	Fig 1B	None established with other included accessions	PMID 35933472	S01_02 historical registry and current manuscript	No ICI treatment-response endpoint	25
GSE326201	GSE326201_tissue_replication	No ICI assignment	HCC tumor and adjacent non-tumor liver	Resection	18 tissue samples	NA (10 biological patients; no clinical response endpoint)	NA	No ICI response endpoint	INTERNAL_CONFIRMATION	Fig 1B	None established with other included accessions	GEO GSE326201; publication linkage not recorded	S01_02 historical registry and current manuscript	No ICI response endpoint; author cell-state labels unavailable	31
GSE206325	GSE206325_T_proliferating	Cemiplimab	HCC tumor T-proliferating state	Post-treatment resection for the frozen T-proliferating endpoint	86864 T cells in atlas; 20 response-evaluable patients for proliferating-state endpoint	20	6/14	Pathologic/clinical responder versus nonresponder	TARGET_SELECTION	Fig 1A,C; S1	None established with other included accessions	PMID 37322116	S01_02 historical registry and current manuscript	Not independent validation; post-treatment and state-specific	11
GSE202069	GSE202069_bulk	Camrelizumab	HCC tumor	Relation of resection to ICI start not unambiguously encoded	17	17	8/9	RECIST responder versus nonresponder	EXTERNAL_VALIDATION	Fig 1D; S2	None established with other included accessions	PMID 35842234	S01_02 historical registry and current manuscript	Sampling time relative to ICI is unknown	27
GSE238264	GSE238264_spatial	Cabozantinib plus nivolumab	HCC resection tissue	Post-treatment resection	7 spatial sections	7	4/3	Pathologic responder versus nonresponder	SPATIAL_VALIDATION	Fig 4C-E; S10	None established with other included accessions	PMID 37723590	S01_02 historical registry and current manuscript	Very small; post-treatment combination; spatial pseudobulk is not bulk RNA-seq	14
GSE215011	GSE215011_bulk	Nivolumab	HCC tumor	Not encoded in the frozen GEO subset	10	10	5/5	GEO responder versus nonresponder	EXTERNAL_VALIDATION	Fig 1D; S2	None established with other included accessions	PMID 38307859	S01_02 historical registry and current manuscript	Small cohort; sample timing not encoded	28
GSE235863	GSE235863_bulk	Anti-PD-1 antibodies plus lenvatinib	HBV-positive HCC liver tumor	Post-treatment resection	15 tumors	15	11/4	CR/PR responder versus SD/PD nonresponder	EXTERNAL_VALIDATION	Fig 1D; S2	Bulk, scRNA/scTCR, covariance, decomposition and longitudinal modules are from the same patient cohort, not independent replications	PMID 39889705	S01_02 historical registry and current manuscript	Post-treatment combination cohort; only four nonresponders	10
GSE279750	GSE279750_bulk	Anti-PD-L1-based therapy	HCC tumor	Not encoded in GEO	10	10	6/4	GEO title responder versus nonresponder	EXTERNAL_VALIDATION	Fig 1D; S2	None established with other included accessions	Xie et al. PMID 39495239; doi:10.1158/0008-5472.CAN-24-0954	S01_02 historical registry and current manuscript	Regimen and sample timing incompletely encoded	29
GSE235863	Exact-linked T cells and distinct 9/7/7 eligible populations	Anti-PD-1 antibodies plus lenvatinib	Peripheral blood primary; liver tumor secondary	Paired pre-treatment and post-treatment	58872 exact-linked TCR-associated cells	Expansion 9; Persistence 7; Later-observed PB 7; PB R-NR decomposition 7	PB decomposition 4 R / 3 NR; other context-specific response counts retained in S7 patient tables	CR/PR responder versus SD/PD nonresponder	INTERNAL_CONFIRMATION	Fig 1E,F (6 pretreatment tumor patients); Fig 3A-H; S2,S6-S8	Bulk, scRNA/scTCR, covariance, decomposition and longitudinal modules are from the same patient cohort, not independent replications	PMID 39889705	S01_02 historical registry and current manuscript	Observational; response-nonspecific; incomplete tumor pairs; sampling non-detection	10
Wu ST-CODEX / Zenodo 19123188	Pretreatment spatial cohort and registered ST-CODEX subset	Nivolumab or nivolumab plus ipilimumab	HCC tumor	Pretreatment	11 ST sections; registered CODEX subset 17 regions / 10 patients	11 ST patients; 10 in registered ST-CODEX subset	ST 5 R / 6 NR	Released major pathologic response R versus NR	SPATIAL_VALIDATION	Fig 4A-H; S9-S11	ST and CODEX are adjacent-section modalities from the same patient cohort	Wu et al. doi:10.1101/2025.06.11.656869; Zenodo doi:10.5281/zenodo.19123188	S01_02 historical registry and current manuscript	Adjacent sections; small cohort; List A/B individual drug crosswalk unresolved; zero-count sensitivity in S9	19
