gene_rank	gene	first_documented_source	chronology	unchanged_membership_evidence	PTPN22_excluded	original_gene_reduction_rule
1	CD3D	phase2/09_spatial_niche_GSE238264.R; 2026-08-28 local-copy chronology	S03_02; first spatial source then unchanged downstream reuse	S03_03 historical vector matches; source script checks	TRUE	NOT_RETAINED; not reconstructed
2	CD3E	phase2/09_spatial_niche_GSE238264.R; 2026-08-28 local-copy chronology	S03_02; first spatial source then unchanged downstream reuse	S03_03 historical vector matches; source script checks	TRUE	NOT_RETAINED; not reconstructed
3	CD3G	phase2/09_spatial_niche_GSE238264.R; 2026-08-28 local-copy chronology	S03_02; first spatial source then unchanged downstream reuse	S03_03 historical vector matches; source script checks	TRUE	NOT_RETAINED; not reconstructed
4	CD247	phase2/09_spatial_niche_GSE238264.R; 2026-08-28 local-copy chronology	S03_02; first spatial source then unchanged downstream reuse	S03_03 historical vector matches; source script checks	TRUE	NOT_RETAINED; not reconstructed
5	LCK	phase2/09_spatial_niche_GSE238264.R; 2026-08-28 local-copy chronology	S03_02; first spatial source then unchanged downstream reuse	S03_03 historical vector matches; source script checks	TRUE	NOT_RETAINED; not reconstructed
6	FYN	phase2/09_spatial_niche_GSE238264.R; 2026-08-28 local-copy chronology	S03_02; first spatial source then unchanged downstream reuse	S03_03 historical vector matches; source script checks	TRUE	NOT_RETAINED; not reconstructed
7	ZAP70	phase2/09_spatial_niche_GSE238264.R; 2026-08-28 local-copy chronology	S03_02; first spatial source then unchanged downstream reuse	S03_03 historical vector matches; source script checks	TRUE	NOT_RETAINED; not reconstructed
8	LAT	phase2/09_spatial_niche_GSE238264.R; 2026-08-28 local-copy chronology	S03_02; first spatial source then unchanged downstream reuse	S03_03 historical vector matches; source script checks	TRUE	NOT_RETAINED; not reconstructed
9	LCP2	phase2/09_spatial_niche_GSE238264.R; 2026-08-28 local-copy chronology	S03_02; first spatial source then unchanged downstream reuse	S03_03 historical vector matches; source script checks	TRUE	NOT_RETAINED; not reconstructed
10	TRAT1	phase2/09_spatial_niche_GSE238264.R; 2026-08-28 local-copy chronology	S03_02; first spatial source then unchanged downstream reuse	S03_03 historical vector matches; source script checks	TRUE	NOT_RETAINED; not reconstructed
11	NFKB1	phase2/09_spatial_niche_GSE238264.R; 2026-08-28 local-copy chronology	S03_02; first spatial source then unchanged downstream reuse	S03_03 historical vector matches; source script checks	TRUE	NOT_RETAINED; not reconstructed
12	REL	phase2/09_spatial_niche_GSE238264.R; 2026-08-28 local-copy chronology	S03_02; first spatial source then unchanged downstream reuse	S03_03 historical vector matches; source script checks	TRUE	NOT_RETAINED; not reconstructed
13	RELA	phase2/09_spatial_niche_GSE238264.R; 2026-08-28 local-copy chronology	S03_02; first spatial source then unchanged downstream reuse	S03_03 historical vector matches; source script checks	TRUE	NOT_RETAINED; not reconstructed
14	NFKBIA	phase2/09_spatial_niche_GSE238264.R; 2026-08-28 local-copy chronology	S03_02; first spatial source then unchanged downstream reuse	S03_03 historical vector matches; source script checks	TRUE	NOT_RETAINED; not reconstructed
15	TNFAIP3	phase2/09_spatial_niche_GSE238264.R; 2026-08-28 local-copy chronology	S03_02; first spatial source then unchanged downstream reuse	S03_03 historical vector matches; source script checks	TRUE	NOT_RETAINED; not reconstructed
16	STAT1	phase2/09_spatial_niche_GSE238264.R; 2026-08-28 local-copy chronology	S03_02; first spatial source then unchanged downstream reuse	S03_03 historical vector matches; source script checks	TRUE	NOT_RETAINED; not reconstructed
17	IRF1	phase2/09_spatial_niche_GSE238264.R; 2026-08-28 local-copy chronology	S03_02; first spatial source then unchanged downstream reuse	S03_03 historical vector matches; source script checks	TRUE	NOT_RETAINED; not reconstructed
18	IFIT1	phase2/09_spatial_niche_GSE238264.R; 2026-08-28 local-copy chronology	S03_02; first spatial source then unchanged downstream reuse	S03_03 historical vector matches; source script checks	TRUE	NOT_RETAINED; not reconstructed
19	IFIT2	phase2/09_spatial_niche_GSE238264.R; 2026-08-28 local-copy chronology	S03_02; first spatial source then unchanged downstream reuse	S03_03 historical vector matches; source script checks	TRUE	NOT_RETAINED; not reconstructed
20	IFIT3	phase2/09_spatial_niche_GSE238264.R; 2026-08-28 local-copy chronology	S03_02; first spatial source then unchanged downstream reuse	S03_03 historical vector matches; source script checks	TRUE	NOT_RETAINED; not reconstructed
21	ISG15	phase2/09_spatial_niche_GSE238264.R; 2026-08-28 local-copy chronology	S03_02; first spatial source then unchanged downstream reuse	S03_03 historical vector matches; source script checks	TRUE	NOT_RETAINED; not reconstructed
22	MX1	phase2/09_spatial_niche_GSE238264.R; 2026-08-28 local-copy chronology	S03_02; first spatial source then unchanged downstream reuse	S03_03 historical vector matches; source script checks	TRUE	NOT_RETAINED; not reconstructed
23	OAS1	phase2/09_spatial_niche_GSE238264.R; 2026-08-28 local-copy chronology	S03_02; first spatial source then unchanged downstream reuse	S03_03 historical vector matches; source script checks	TRUE	NOT_RETAINED; not reconstructed
24	CXCL9	phase2/09_spatial_niche_GSE238264.R; 2026-08-28 local-copy chronology	S03_02; first spatial source then unchanged downstream reuse	S03_03 historical vector matches; source script checks	TRUE	NOT_RETAINED; not reconstructed
25	CXCL10	phase2/09_spatial_niche_GSE238264.R; 2026-08-28 local-copy chronology	S03_02; first spatial source then unchanged downstream reuse	S03_03 historical vector matches; source script checks	TRUE	NOT_RETAINED; not reconstructed
26	IFNG	phase2/09_spatial_niche_GSE238264.R; 2026-08-28 local-copy chronology	S03_02; first spatial source then unchanged downstream reuse	S03_03 historical vector matches; source script checks	TRUE	NOT_RETAINED; not reconstructed
27	TNF	phase2/09_spatial_niche_GSE238264.R; 2026-08-28 local-copy chronology	S03_02; first spatial source then unchanged downstream reuse	S03_03 historical vector matches; source script checks	TRUE	NOT_RETAINED; not reconstructed
28	CCL5	phase2/09_spatial_niche_GSE238264.R; 2026-08-28 local-copy chronology	S03_02; first spatial source then unchanged downstream reuse	S03_03 historical vector matches; source script checks	TRUE	NOT_RETAINED; not reconstructed
29	NKG7	phase2/09_spatial_niche_GSE238264.R; 2026-08-28 local-copy chronology	S03_02; first spatial source then unchanged downstream reuse	S03_03 historical vector matches; source script checks	TRUE	NOT_RETAINED; not reconstructed
30	PRF1	phase2/09_spatial_niche_GSE238264.R; 2026-08-28 local-copy chronology	S03_02; first spatial source then unchanged downstream reuse	S03_03 historical vector matches; source script checks	TRUE	NOT_RETAINED; not reconstructed
31	GZMB	phase2/09_spatial_niche_GSE238264.R; 2026-08-28 local-copy chronology	S03_02; first spatial source then unchanged downstream reuse	S03_03 historical vector matches; source script checks	TRUE	NOT_RETAINED; not reconstructed
32	PDCD1	phase2/09_spatial_niche_GSE238264.R; 2026-08-28 local-copy chronology	S03_02; first spatial source then unchanged downstream reuse	S03_03 historical vector matches; source script checks	TRUE	NOT_RETAINED; not reconstructed
33	LAG3	phase2/09_spatial_niche_GSE238264.R; 2026-08-28 local-copy chronology	S03_02; first spatial source then unchanged downstream reuse	S03_03 historical vector matches; source script checks	TRUE	NOT_RETAINED; not reconstructed
34	TIGIT	phase2/09_spatial_niche_GSE238264.R; 2026-08-28 local-copy chronology	S03_02; first spatial source then unchanged downstream reuse	S03_03 historical vector matches; source script checks	TRUE	NOT_RETAINED; not reconstructed
35	TOX	phase2/09_spatial_niche_GSE238264.R; 2026-08-28 local-copy chronology	S03_02; first spatial source then unchanged downstream reuse	S03_03 historical vector matches; source script checks	TRUE	NOT_RETAINED; not reconstructed
