state	program	n_patient_states	n_genes	genes_used	beta_per_1SD_PTPN22	ci_lower	ci_upper	p_value	state_order	program_order	ci_excludes_zero	semantic_label	source_status
CD8_progenitor_exhausted	TCR_activation	12	10	CD3D;CD3E;CD3G;CD247;LCK;FYN;ZAP70;LAT;LCP2;TRAT1	0.111784055111383	-0.121776891257914	0.345345001480681	0.30710097542798	1	1	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD8_progenitor_exhausted	NFAT	12	9	NFATC1;NFATC2;NFATC3;RCAN1;EGR1;EGR2;FOS;JUN;IL2	0.0371403744979953	-0.298915843271546	0.373196592267536	0.80819298629701	1	2	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD8_progenitor_exhausted	AP1	12	9	JUN;JUNB;JUND;FOS;FOSB;FOSL1;FOSL2;ATF3;BATF	0.0251365658756169	-0.46271906056901	0.512992192320244	0.909770785657821	1	3	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD8_progenitor_exhausted	NFkB	12	8	NFKB1;NFKB2;REL;RELA;RELB;NFKBIA;TNFAIP3;BCL3	0.0785611302107446	-0.247377838389649	0.404500098811138	0.598833142741224	1	4	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD8_progenitor_exhausted	IFN_response	12	10	IFIT1;IFIT2;IFIT3;ISG15;MX1;OAS1;STAT1;IRF1;IFI6;IFI44L	0.199094506104802	-0.375381354113112	0.773570366322716	0.453184633594511	1	5	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD8_progenitor_exhausted	IFNG_TNF	12	9	IFNG;TNF;CXCL9;CXCL10;CXCL11;CCL3;CCL4;CCL5;TNFRSF9	0.120048171449085	-0.224186723685572	0.464283066583743	0.450449765049629	1	6	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD8_progenitor_exhausted	cytotoxicity	12	8	NKG7;GNLY;PRF1;GZMB;GZMH;CTSW;CCL5;KLRD1	-0.129549076843094	-0.581386299813652	0.322288146127464	0.532796777152331	1	7	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD8_progenitor_exhausted	exhaustion	12	9	PDCD1;HAVCR2;LAG3;TIGIT;TOX;ENTPD1;CXCL13;LAYN;BATF	0.23932266384422	-0.116804673729271	0.595450001417711	0.162781999977353	1	8	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD8_progenitor_exhausted	checkpoint	12	8	PDCD1;CTLA4;LAG3;TIGIT;HAVCR2;CD274;PDCD1LG2;TNFRSF9	0.176204231683027	-0.208722215084228	0.561130678450283	0.327444273179989	1	9	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD8_progenitor_exhausted	proliferation	12	8	MKI67;TOP2A;STMN1;TUBA1B;TYMS;PCNA;UBE2C;CENPF	0.032865541261014	-0.473018184255724	0.538749266777752	0.886399405735146	1	10	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD8_progenitor_exhausted	effector_differentiation	12	9	GZMK;CCL5;IFNG;TNF;PRF1;GZMB;FGFBP2;TBX21;EOMES	-0.06258528547461	-0.412361665630936	0.287191094681716	0.695100487878309	1	11	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD8_progenitor_exhausted	Treg	12	7	FOXP3;IL2RA;CTLA4;TNFRSF18;IKZF2;TIGIT;BATF	0.136100671685979	-0.184481018246619	0.456682361618578	0.361951963375205	1	12	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD8_effector	TCR_activation	24	10	CD3D;CD3E;CD3G;CD247;LCK;FYN;ZAP70;LAT;LCP2;TRAT1	0.121579364864034	-0.116935335650772	0.360094065378841	0.301161351891312	2	1	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD8_effector	NFAT	24	9	NFATC1;NFATC2;NFATC3;RCAN1;EGR1;EGR2;FOS;JUN;IL2	0.0329681039268908	-0.149955829201848	0.21589203705563	0.711563452717229	2	2	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD8_effector	AP1	24	9	JUN;JUNB;JUND;FOS;FOSB;FOSL1;FOSL2;ATF3;BATF	0.219188171661474	-0.013136452538722	0.451512795861671	0.0631485329983637	2	3	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD8_effector	NFkB	24	8	NFKB1;NFKB2;REL;RELA;RELB;NFKBIA;TNFAIP3;BCL3	0.344980649180045	0.0973769522968158	0.592584346063275	0.00861374432000909	2	4	TRUE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD8_effector	IFN_response	24	10	IFIT1;IFIT2;IFIT3;ISG15;MX1;OAS1;STAT1;IRF1;IFI6;IFI44L	0.0905187851109696	-0.214939683594633	0.395977253816572	0.544341107848489	2	5	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD8_effector	IFNG_TNF	24	9	IFNG;TNF;CXCL9;CXCL10;CXCL11;CCL3;CCL4;CCL5;TNFRSF9	0.00311059590409513	-0.191513842302605	0.197735034110795	0.973799052417079	2	6	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD8_effector	cytotoxicity	24	8	NKG7;GNLY;PRF1;GZMB;GZMH;CTSW;CCL5;KLRD1	0.111753749954883	-0.110853063374714	0.33436056328448	0.308348732303856	2	7	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD8_effector	exhaustion	24	9	PDCD1;HAVCR2;LAG3;TIGIT;TOX;ENTPD1;CXCL13;LAYN;BATF	-0.10108782550724	-0.366860598921676	0.164684947907196	0.437792540656751	2	8	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD8_effector	checkpoint	24	8	PDCD1;CTLA4;LAG3;TIGIT;HAVCR2;CD274;PDCD1LG2;TNFRSF9	-0.0817420831635417	-0.309820050717158	0.146335884390075	0.4643368985896	2	9	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD8_effector	proliferation	24	8	MKI67;TOP2A;STMN1;TUBA1B;TYMS;PCNA;UBE2C;CENPF	-0.0876092429191196	-0.333841325288759	0.15862283945052	0.46753727948411	2	10	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD8_effector	effector_differentiation	24	9	GZMK;CCL5;IFNG;TNF;PRF1;GZMB;FGFBP2;TBX21;EOMES	0.012005263697671	-0.176321848224435	0.200332375619777	0.895796404893875	2	11	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD8_effector	Treg	24	7	FOXP3;IL2RA;CTLA4;TNFRSF18;IKZF2;TIGIT;BATF	-0.048215765585272	-0.298023979808919	0.201592448638375	0.692189315864925	2	12	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD8_terminal_exhausted	TCR_activation	20	10	CD3D;CD3E;CD3G;CD247;LCK;FYN;ZAP70;LAT;LCP2;TRAT1	0.133974676160352	-0.096439877202266	0.36438922952297	0.236635083916323	3	1	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD8_terminal_exhausted	NFAT	20	9	NFATC1;NFATC2;NFATC3;RCAN1;EGR1;EGR2;FOS;JUN;IL2	0.0328203126417729	-0.254499093045414	0.320139718328959	0.8124355336891	3	2	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD8_terminal_exhausted	AP1	20	9	JUN;JUNB;JUND;FOS;FOSB;FOSL1;FOSL2;ATF3;BATF	0.269517224762872	-0.0728056418499438	0.611840091375689	0.115023199041182	3	3	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD8_terminal_exhausted	NFkB	20	8	NFKB1;NFKB2;REL;RELA;RELB;NFKBIA;TNFAIP3;BCL3	0.137066779646964	-0.12942186832977	0.403555427623698	0.292995806245863	3	4	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD8_terminal_exhausted	IFN_response	20	10	IFIT1;IFIT2;IFIT3;ISG15;MX1;OAS1;STAT1;IRF1;IFI6;IFI44L	0.155181806695994	-0.187247285992158	0.497610899384145	0.3524092912975	3	5	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD8_terminal_exhausted	IFNG_TNF	20	9	IFNG;TNF;CXCL9;CXCL10;CXCL11;CCL3;CCL4;CCL5;TNFRSF9	0.13738604285624	-0.201052143409148	0.475824229121628	0.403654181849084	3	6	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD8_terminal_exhausted	cytotoxicity	20	8	NKG7;GNLY;PRF1;GZMB;GZMH;CTSW;CCL5;KLRD1	0.042978456965459	-0.29945261372396	0.385409527654878	0.794345491019325	3	7	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD8_terminal_exhausted	exhaustion	20	9	PDCD1;HAVCR2;LAG3;TIGIT;TOX;ENTPD1;CXCL13;LAYN;BATF	0.0335896505611423	-0.331387500197909	0.398566801320194	0.848343363739066	3	8	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD8_terminal_exhausted	checkpoint	20	8	PDCD1;CTLA4;LAG3;TIGIT;HAVCR2;CD274;PDCD1LG2;TNFRSF9	0.105907522445379	-0.233211258587738	0.445026303478495	0.518785869089282	3	9	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD8_terminal_exhausted	proliferation	20	8	MKI67;TOP2A;STMN1;TUBA1B;TYMS;PCNA;UBE2C;CENPF	0.111016466204161	-0.16678555685837	0.388818489266691	0.410860236231446	3	10	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD8_terminal_exhausted	effector_differentiation	20	9	GZMK;CCL5;IFNG;TNF;PRF1;GZMB;FGFBP2;TBX21;EOMES	0.00510109437262376	-0.286172656203029	0.296374844948277	0.970955832665788	3	11	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD8_terminal_exhausted	Treg	20	7	FOXP3;IL2RA;CTLA4;TNFRSF18;IKZF2;TIGIT;BATF	0.137237508816318	-0.144844294454133	0.419319312086769	0.319059349463902	3	12	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
T_proliferating	TCR_activation	20	10	CD3D;CD3E;CD3G;CD247;LCK;FYN;ZAP70;LAT;LCP2;TRAT1	0.296343985972361	0.0108247868207884	0.581863185123933	0.0427733668448481	4	1	TRUE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
T_proliferating	NFAT	20	9	NFATC1;NFATC2;NFATC3;RCAN1;EGR1;EGR2;FOS;JUN;IL2	0.042744520347931	-0.221382195513435	0.306871236209297	0.736957423647276	4	2	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
T_proliferating	AP1	20	9	JUN;JUNB;JUND;FOS;FOSB;FOSL1;FOSL2;ATF3;BATF	0.109517728640869	-0.254827907642131	0.47386336492387	0.534402173119736	4	3	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
T_proliferating	NFkB	20	8	NFKB1;NFKB2;REL;RELA;RELB;NFKBIA;TNFAIP3;BCL3	0.245498886209804	-0.120356694783107	0.611354467202714	0.174911137097935	4	4	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
T_proliferating	IFN_response	20	10	IFIT1;IFIT2;IFIT3;ISG15;MX1;OAS1;STAT1;IRF1;IFI6;IFI44L	0.285921272101169	-0.078329661544196	0.650172205746534	0.116039006425724	4	5	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
T_proliferating	IFNG_TNF	20	9	IFNG;TNF;CXCL9;CXCL10;CXCL11;CCL3;CCL4;CCL5;TNFRSF9	0.175472944696639	-0.0728538852311077	0.423799774624386	0.154325194001738	4	6	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
T_proliferating	cytotoxicity	20	8	NKG7;GNLY;PRF1;GZMB;GZMH;CTSW;CCL5;KLRD1	0.251059709205335	-0.0980919129801566	0.600211331390827	0.147622824052501	4	7	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
T_proliferating	exhaustion	20	9	PDCD1;HAVCR2;LAG3;TIGIT;TOX;ENTPD1;CXCL13;LAYN;BATF	0.362082545609876	-0.0176777207214699	0.741842811941221	0.0603898736300696	4	8	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
T_proliferating	checkpoint	20	8	PDCD1;CTLA4;LAG3;TIGIT;HAVCR2;CD274;PDCD1LG2;TNFRSF9	0.327209865541659	0.0035458840893095	0.650873846994008	0.0478046116018295	4	9	TRUE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
T_proliferating	proliferation	20	8	MKI67;TOP2A;STMN1;TUBA1B;TYMS;PCNA;UBE2C;CENPF	0.274728280378331	-0.0475681360018165	0.597024696758479	0.0898900625931446	4	10	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
T_proliferating	effector_differentiation	20	9	GZMK;CCL5;IFNG;TNF;PRF1;GZMB;FGFBP2;TBX21;EOMES	0.0993687071639363	-0.167876168924053	0.366613583251925	0.443550384433666	4	11	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
T_proliferating	Treg	20	7	FOXP3;IL2RA;CTLA4;TNFRSF18;IKZF2;TIGIT;BATF	0.111576512542223	-0.274225646226483	0.497378671310928	0.549818004613807	4	12	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD4_Tfh_like	TCR_activation	20	10	CD3D;CD3E;CD3G;CD247;LCK;FYN;ZAP70;LAT;LCP2;TRAT1	0.364957190768027	0.128044608061924	0.60186977347413	0.00471072528809624	5	1	TRUE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD4_Tfh_like	NFAT	20	9	NFATC1;NFATC2;NFATC3;RCAN1;EGR1;EGR2;FOS;JUN;IL2	0.107477899123182	-0.149295044996341	0.364250843242706	0.389495074526617	5	2	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD4_Tfh_like	AP1	20	9	JUN;JUNB;JUND;FOS;FOSB;FOSL1;FOSL2;ATF3;BATF	0.345854055546853	0.0854717949992937	0.606236316094412	0.0122440890575417	5	3	TRUE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD4_Tfh_like	NFkB	20	8	NFKB1;NFKB2;REL;RELA;RELB;NFKBIA;TNFAIP3;BCL3	0.355960460867331	0.159443472248209	0.552477449486453	0.0013652766116768	5	4	TRUE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD4_Tfh_like	IFN_response	20	10	IFIT1;IFIT2;IFIT3;ISG15;MX1;OAS1;STAT1;IRF1;IFI6;IFI44L	0.110832197636111	-0.264605824328189	0.48627021960041	0.541659513597394	5	5	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD4_Tfh_like	IFNG_TNF	20	9	IFNG;TNF;CXCL9;CXCL10;CXCL11;CCL3;CCL4;CCL5;TNFRSF9	0.146862712884524	-0.125574549404218	0.419299975173266	0.271174209537606	5	6	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD4_Tfh_like	cytotoxicity	20	8	NKG7;GNLY;PRF1;GZMB;GZMH;CTSW;CCL5;KLRD1	-0.0212863306547884	-0.389941862760063	0.347369201450486	0.904468698032119	5	7	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD4_Tfh_like	exhaustion	20	9	PDCD1;HAVCR2;LAG3;TIGIT;TOX;ENTPD1;CXCL13;LAYN;BATF	0.00841654832842978	-0.249022489342225	0.265855585999085	0.945812804872594	5	8	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD4_Tfh_like	checkpoint	20	8	PDCD1;CTLA4;LAG3;TIGIT;HAVCR2;CD274;PDCD1LG2;TNFRSF9	0.0140424499427322	-0.214430283921558	0.242515183807022	0.89834629215054	5	9	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
