dataset	state	state_order	marker	marker_order	marker_block	n_patients	total_cells	patient_median_mean_log1p_cp10k	patient_q25_mean_log1p_cp10k	patient_q75_mean_log1p_cp10k	patient_median_positive_fraction	patient_q25_positive_fraction	patient_q75_positive_fraction	patient_median_pseudobulk_log2_cpm	aggregation	response_used_in_summary	biological_unit	within_marker_z
GSE206325	CD8_progenitor_exhausted	1	TCF7	1	Progenitor_memory	12	2297	0.092207555352961	0.0694369652939071	0.125299473567723	0.122360248447205	0.0481076759061834	0.159640762463343	4.15613199183816	unweighted median across eligible patient-state rows	FALSE	patient	0.148994687446082
GSE206325	CD8_progenitor_exhausted	1	CCR7	2	Progenitor_memory	12	2297	0.139774327879056	0.0600952604904446	0.173612273262197	0.130852762695624	0.0560224089635854	0.150299043062201	4.73319202665226	unweighted median across eligible patient-state rows	FALSE	patient	0.391681151425645
GSE206325	CD8_progenitor_exhausted	1	LEF1	3	Progenitor_memory	12	2297	0.188493777993998	0.116746328095653	0.260520832712514	0.198656552622376	0.123089983022071	0.272321428571429	5.50840616826786	unweighted median across eligible patient-state rows	FALSE	patient	-0.0801991746304789
GSE206325	CD8_progenitor_exhausted	1	IL7R	4	Progenitor_memory	12	2297	0.55287045181421	0.347947366691997	0.983171949178461	0.329407042409478	0.263687024625348	0.493592677345538	7.68553000893262	unweighted median across eligible patient-state rows	FALSE	patient	-0.763040147515299
GSE206325	CD8_progenitor_exhausted	1	SLAMF6	5	Progenitor_memory	12	2297	0.203904609328207	0.131930267703658	0.325234484187853	0.231955522376331	0.110271013354281	0.407954545454546	5.28248277575117	unweighted median across eligible patient-state rows	FALSE	patient	-0.884925661830725
GSE206325	CD8_progenitor_exhausted	1	GZMK	6	Effector_cytotoxic	12	2297	0.485159422661965	0.292452774145657	0.688238228227495	0.300595238095238	0.228314639582039	0.474667258207631	7.29213606536523	unweighted median across eligible patient-state rows	FALSE	patient	-0.416871047026158
GSE206325	CD8_progenitor_exhausted	1	CCL5	7	Effector_cytotoxic	12	2297	1.97082936484307	1.77418364133406	2.17571840333867	0.87774363476734	0.825713730821519	0.896214614878209	9.8442253440706	unweighted median across eligible patient-state rows	FALSE	patient	-0.049886991400466
GSE206325	CD8_progenitor_exhausted	1	GZMB	8	Effector_cytotoxic	12	2297	1.63868992791437	0.817577159680067	1.97715316389736	0.588471177944862	0.383884164928606	0.640422307536876	10.5818716755034	unweighted median across eligible patient-state rows	FALSE	patient	1.7407953335327
GSE206325	CD8_progenitor_exhausted	1	PRF1	9	Effector_cytotoxic	12	2297	1.40767091857689	1.15628665771392	1.65762483477796	0.756037151702786	0.661502271252433	0.864221703441524	8.88732021188515	unweighted median across eligible patient-state rows	FALSE	patient	1.25717309540167
GSE206325	CD8_progenitor_exhausted	1	IFNG	10	Effector_cytotoxic	12	2297	0.672863645214112	0.586380264666591	0.885157358256943	0.461883596108688	0.380863539445629	0.555365371955234	7.72967146766395	unweighted median across eligible patient-state rows	FALSE	patient	0.463710921922468
GSE206325	CD8_progenitor_exhausted	1	TNF	11	Effector_cytotoxic	12	2297	0.179426463185198	0.119978162396232	0.244550591302882	0.122859387274156	0.0887034161490683	0.187703494682006	5.74711564122401	unweighted median across eligible patient-state rows	FALSE	patient	-0.86766470502979
GSE206325	CD8_progenitor_exhausted	1	FGFBP2	12	Effector_cytotoxic	12	2297	0.0176620479841183	0	0.0476517755125401	0.0156259518732866	0	0.0345537757437071	2.37326825663553	unweighted median across eligible patient-state rows	FALSE	patient	0.646408027972305
GSE206325	CD8_progenitor_exhausted	1	PDCD1	13	Checkpoint_exhaustion	12	2297	0.544848035501929	0.477169257521013	0.850963240282078	0.407867494824017	0.350950460829493	0.669105027128779	7.21141632036495	unweighted median across eligible patient-state rows	FALSE	patient	0.075653348696606
GSE206325	CD8_progenitor_exhausted	1	HAVCR2	14	Checkpoint_exhaustion	12	2297	0.377124252146483	0.256423667926633	0.490421261979242	0.309036658141517	0.223747334754797	0.403129000677762	6.22965480115562	unweighted median across eligible patient-state rows	FALSE	patient	0.530110529423186
GSE206325	CD8_progenitor_exhausted	1	LAG3	15	Checkpoint_exhaustion	12	2297	1.48684592772304	1.15720425243994	1.72836092503442	0.756661991584853	0.658493248045487	0.834528202424881	9.21959906536877	unweighted median across eligible patient-state rows	FALSE	patient	1.28703534404107
GSE206325	CD8_progenitor_exhausted	1	TIGIT	16	Checkpoint_exhaustion	12	2297	1.24057807156059	1.10524656826082	1.48546169264793	0.7945301542777	0.694590336134454	0.895404059285344	8.56187903923044	unweighted median across eligible patient-state rows	FALSE	patient	0.650947977850504
GSE206325	CD8_progenitor_exhausted	1	TOX	17	Checkpoint_exhaustion	12	2297	0.742876297072172	0.67234885000045	0.867979042552551	0.566252587991718	0.480804953560372	0.697997299729973	7.4065360862959	unweighted median across eligible patient-state rows	FALSE	patient	1.00174057455192
GSE206325	CD8_progenitor_exhausted	1	ENTPD1	18	Checkpoint_exhaustion	12	2297	0.323540118747307	0.256420121473597	0.45949645662979	0.253569110966905	0.235023041474654	0.44975037985674	6.08331382667484	unweighted median across eligible patient-state rows	FALSE	patient	0.277501330710963
