model_id	analysis_family	method	status	k	included_cohorts	omitted_cohort	pooled_hedges_g	standard_error	ci_low	ci_high	p_value	tau2	Q	Q_df	Q_p	I2_percent	hksj_scale	prediction_interval_low	prediction_interval_high	positive_cohorts	negative_cohorts	reason
PRIMARY_BULK_TUMOR_REML_HKSJ	PRIMARY	REML_HKSJ	ESTIMATED	4	GSE202069;GSE215011;GSE235863;GSE279750	NONE	0.806833461329112	0.252620660157579	0.00288177477229223	1.61078514788593	0.0495644979810305	0	2.07086511372916	3	0.557829398853472	0	0.690288371243053	-0.280105511689008	1.89377243434723	4	0	Frozen cross-sectional patient-level whole-tumor bulk estimand
PRIMARY_BULK_TUMOR_DL	METHOD_SENSITIVITY	DL_NORMAL	ESTIMATED	4	GSE202069;GSE215011;GSE235863;GSE279750	NONE	0.806833461329112	0.304056006475993	0.210894639353088	1.40277228330514	0.00796455872752657	0	2.07086511372916	3	0.557829398853472	0	NA	-0.50141394493154	2.11508086758976	4	0	DerSimonian-Laird sensitivity on the identical primary cohort set
LEGACY_ALL_SIX_CONTEXTS_REML_HKSJ	MODALITY_SENSITIVITY	REML_HKSJ	ESTIMATED	6	GSE206325;GSE202069;GSE238264;GSE215011;GSE235863;GSE279750	NONE	0.848950665697659	0.163631798053779	0.428321737888106	1.26957959350721	0.00350135446040773	0	2.15562742598085	5	0.827218872852964	0	0.43112548519617	0.394635960936531	1.30326537045879	6	0	Legacy context-inclusive sensitivity; not the manuscript primary estimand
LEGACY_ALL_SIX_CONTEXTS_DL	METHOD_SENSITIVITY	DL_NORMAL	ESTIMATED	6	GSE206325;GSE202069;GSE238264;GSE215011;GSE235863;GSE279750	NONE	0.848950665697659	0.249210223428975	0.360507603197688	1.33739372819763	0.000657860376463277	0	2.15562742598085	5	0.827218872852964	0	NA	0.157032160693032	1.54086917070229	6	0	DL comparison for the legacy mixed-context set
EXTERNAL_ONLY_ALL_MODALITIES	SELECTION_SENSITIVITY	REML_HKSJ	ESTIMATED	5	GSE202069;GSE238264;GSE215011;GSE235863;GSE279750	NONE	0.835471474483419	0.209218428325284	0.254587993242507	1.41635495572433	0.0162203124264965	0	2.14629652846131	4	0.708872278556921	0	0.536574132115328	0.169645060262353	1.50129788870448	5	0	Excludes GSE206325, which materially participated in target selection
EXTERNAL_ONLY_PRIMARY_BULK	SELECTION_SENSITIVITY	REML_HKSJ	ESTIMATED	4	GSE202069;GSE215011;GSE235863;GSE279750	NONE	0.806833461329112	0.252620660157579	0.00288177477229223	1.61078514788593	0.0495644979810305	0	2.07086511372916	3	0.557829398853472	0	0.690288371243053	-0.280105511689008	1.89377243434723	4	0	All primary-compatible cohorts are external to target selection; composition equals primary
PRETREATMENT_ONLY	TIMING_SENSITIVITY	REML_HKSJ	NOT_ESTIMABLE	0	NONE	NONE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No confirmed pretreatment whole-tumor PTPN22 response cohort is available; unknown timing is not relabeled as baseline
TUMOR_WHOLE_TUMOR_COMPATIBLE_ONLY	MODALITY_SENSITIVITY	REML_HKSJ	ESTIMATED	4	GSE202069;GSE215011;GSE235863;GSE279750	NONE	0.806833461329112	0.252620660157579	0.00288177477229223	1.61078514788593	0.0495644979810305	0	2.07086511372916	3	0.557829398853472	0	0.690288371243053	-0.280105511689008	1.89377243434723	4	0	Same composition as the frozen primary estimand
EXCLUDE_SPATIAL_PSEUDOBULK	MODALITY_SENSITIVITY	REML_HKSJ	ESTIMATED	5	GSE206325;GSE202069;GSE215011;GSE235863;GSE279750	NONE	0.829145987467202	0.18885268664164	0.304806870037568	1.35348510489684	0.0117785932196702	0	2.09140603604169	4	0.718951402815786	0	0.522851509010423	0.228132452621613	1.43015952231279	5	0	Retains state-specific GSE206325 and four bulk cohorts
EXCLUDE_STATE_SPECIFIC_SINGLE_CELL	MODALITY_SENSITIVITY	REML_HKSJ	ESTIMATED	5	GSE202069;GSE238264;GSE215011;GSE235863;GSE279750	NONE	0.835471474483419	0.209218428325284	0.254587993242507	1.41635495572433	0.0162203124264965	0	2.14629652846131	4	0.708872278556921	0	0.536574132115328	0.169645060262353	1.50129788870448	5	0	Retains spatial pseudobulk and four bulk cohorts
