source	plot_unit	analysis	cell_n	state_n	PTPN22_variance	AF35_variance	C_total	C_between	C_within	identity_error	residual_Pearson	residual_Spearman	eligibility	between_abs_gt_within	sign_total	sign_between	sign_within	geometry	between_share	within_share	design_rank	PTPN22_zero_fraction	detection_triggered
GSE235863	U001	TECHNICAL_ADJUSTED	2243	20	0.726910147852786	0.0401991065902717	0.175707836833631	0.115296776610945	0.0604110602226862	1.38777878078145e-17	0.0737036042958058	0.0776820932186663	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	0.656184599894163	0.343815400105837	3	0.392331698617922	False
GSE235863	U001	DETECTION_BINARY	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NOT_TRIGGERED	NA	NA	NA	NA	NA	NA	NA	NA	0.392331698617922	False
GSE235863	U002	TECHNICAL_ADJUSTED	1375	20	0.655224229434566	0.031939657329829	0.17862807681817	0.140031014607137	0.0385970622110333	-6.93889390390723e-18	0.0474103084519982	0.0444897892297608	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	0.783924997130646	0.216075002869354	3	0.471272727272727	False
GSE235863	U002	DETECTION_BINARY	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NOT_TRIGGERED	NA	NA	NA	NA	NA	NA	NA	NA	0.471272727272727	False
GSE235863	U003	TECHNICAL_ADJUSTED	1790	17	0.697783999122269	0.062440444748627	0.0532130200737307	0.0433685040671367	0.00984451600659405	-8.67361737988404e-18	0.011113967520255	0.00766918533915029	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	0.814997983708617	0.185002016291384	3	0.689385474860335	False
GSE235863	U003	DETECTION_BINARY	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NOT_TRIGGERED	NA	NA	NA	NA	NA	NA	NA	NA	0.689385474860335	False
GSE235863	U004	TECHNICAL_ADJUSTED	1189	17	0.861337619331305	0.0446591876114178	0.0832821669092818	0.0362693231962719	0.0470128437130098	0	0.0494364487529585	0.0517274898654277	ELIGIBLE	False	1	1	1	CONCORDANT_POSITIVE	0.435499273641375	0.564500726358625	3	0.427249789739277	False
GSE235863	U004	DETECTION_BINARY	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NOT_TRIGGERED	NA	NA	NA	NA	NA	NA	NA	NA	0.427249789739277	False
GSE235863	U005	TECHNICAL_ADJUSTED	1459	18	1.05042469505387	0.0656709916690339	0.10682932455675	0.104441725892603	0.00238759866414645	-3.46944695195361e-18	0.00289790535322547	-0.00878330955352497	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	0.977650343910224	0.0223496560897763	3	0.341329677861549	False
GSE235863	U005	DETECTION_BINARY	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NOT_TRIGGERED	NA	NA	NA	NA	NA	NA	NA	NA	0.341329677861549	False
GSE235863	U006	TECHNICAL_ADJUSTED	1032	16	0.666553309662044	0.0285408439738865	0.0923869074805088	0.0710759685968833	0.0213109388836255	-6.93889390390723e-18	0.0239943152513492	0.0283731236177317	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	0.769329448676247	0.230670551323753	3	0.477713178294574	False
GSE235863	U006	DETECTION_BINARY	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NOT_TRIGGERED	NA	NA	NA	NA	NA	NA	NA	NA	0.477713178294574	False
