gene_rank	gene	dataset	contrast	condition	frozen_author_log_fc	direction	author_zscore	author_adjusted_p	donor_n	inference_unit	source_url	source_etag	source_type	new_endpoint_fitted
1	CD3D	GSE314342	PTPN22_CRISPRI_VS_NTC_REST	Rest	0.0428117698860246	POSITIVE	0.7922869062421357	0.9998307120119934	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
2	CD3E	GSE314342	PTPN22_CRISPRI_VS_NTC_REST	Rest	0.004901031108431	POSITIVE	0.09839401062944443	0.9998307120119934	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
3	CD3G	GSE314342	PTPN22_CRISPRI_VS_NTC_REST	Rest	0.0930931197360866	POSITIVE	1.755758407028814	0.9998307120119934	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
4	CD247	GSE314342	PTPN22_CRISPRI_VS_NTC_REST	Rest	-0.0412778009880224	NEGATIVE	-0.4748177576876124	0.9998307120119934	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
5	LCK	GSE314342	PTPN22_CRISPRI_VS_NTC_REST	Rest	0.0216727236449775	POSITIVE	0.4839227641180552	0.9998307120119934	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
6	FYN	GSE314342	PTPN22_CRISPRI_VS_NTC_REST	Rest	0.0847397193146659	POSITIVE	0.9942329423325489	0.9998307120119934	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
7	ZAP70	GSE314342	PTPN22_CRISPRI_VS_NTC_REST	Rest	-0.0369948859871892	NEGATIVE	-0.7174503658767625	0.9998307120119934	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
8	LAT	GSE314342	PTPN22_CRISPRI_VS_NTC_REST	Rest	-0.0076767188093465	NEGATIVE	-0.12365733328709791	0.9998307120119934	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
9	LCP2	GSE314342	PTPN22_CRISPRI_VS_NTC_REST	Rest	-0.047648454364369	NEGATIVE	-0.7551288358921358	0.9998307120119934	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
10	TRAT1	GSE314342	PTPN22_CRISPRI_VS_NTC_REST	Rest	0.0069404583520507	POSITIVE	0.08130966823282978	0.9998307120119934	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
11	NFKB1	GSE314342	PTPN22_CRISPRI_VS_NTC_REST	Rest	-0.0314119969537213	NEGATIVE	-0.43290757006678793	0.9998307120119934	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
12	REL	GSE314342	PTPN22_CRISPRI_VS_NTC_REST	Rest	-0.2214469041615709	NEGATIVE	-1.8385972014199985	0.9998307120119934	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
13	RELA	GSE314342	PTPN22_CRISPRI_VS_NTC_REST	Rest	0.0351845645430538	POSITIVE	0.451703004850356	0.9998307120119934	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
14	NFKBIA	GSE314342	PTPN22_CRISPRI_VS_NTC_REST	Rest	0.0661316752223122	POSITIVE	0.5083847271671387	0.9998307120119934	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
