source	plot_unit	analysis	lineage	cell_n	state_n	PTPN22_variance	AF35_variance	C_total	C_between	C_within	identity_error	residual_Pearson	residual_Spearman	eligible	reason	between_abs_gt_within	sign_total	sign_between	sign_within	geometry	removed_state	removed_cell_n
GSE235863	U006	LOSO_CD4_C01_CCR7	ALL	1030	15	0.687996888949879	0.0334943294540619	0.144660714720985	0.0856699042040326	0.0589908105169527	4.16333634234434e-17	0.0675290715379242	0.0514509126338579	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD4_C01_CCR7	2
GSE235863	U001	LOSO_CD4_C01_CCR7	ALL	2149	19	0.767246161899699	0.04637739969549	0.226661158243807	0.145167473007239	0.0814936852365682	0	0.102609794970037	0.108650329260578	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD4_C01_CCR7	94
GSE235863	U002	LOSO_CD4_C01_CCR7	ALL	1310	19	0.694231053585482	0.0380807524187135	0.24388778127206	0.16651861601304	0.0773691652590199	-2.77555756156289e-17	0.0978671758774062	0.100153822043469	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD4_C01_CCR7	65
GSE235863	U003	LOSO_CD4_C01_CCR7	ALL	1788	16	0.716370070218488	0.0704846471666951	0.097946546361492	0.0477546554297911	0.0501918909317009	-6.93889390390723e-18	0.0558530269866359	0.059218278186904	True	ELIGIBLE	False	1	1	1	CONCORDANT_POSITIVE	CD4_C01_CCR7	2
GSE235863	U004	LOSO_CD4_C01_CCR7	ALL	1174	16	1.04390059832912	0.0628033837595344	0.282737791373062	0.166432337811869	0.116305453561193	-8.32667268468867e-17	0.142002535576172	0.152157768141455	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD4_C01_CCR7	15
GSE235863	U005	LOSO_CD4_C01_CCR7	ALL	1453	17	1.18682513204392	0.080833700406114	0.173968779352629	0.197679441990985	-0.0237106626383558	-1.38777878078145e-17	-0.0321979788079262	-0.0406260942578431	True	ELIGIBLE	True	1	1	-1	OPPOSING_COMPONENTS	CD4_C01_CCR7	6
GSE235863	U006	LOSO_CD4_C02_IL7R	ALL	1031	15	0.687944997454521	0.0334756035711993	0.144389000134553	0.0854367023507812	0.0589522977837719	-3.46944695195361e-17	0.0674289121363768	0.0514769409270264	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD4_C02_IL7R	1
GSE235863	U001	LOSO_CD4_C02_IL7R	ALL	2230	19	0.767921459637001	0.0471351003210467	0.240648277279254	0.164251960571887	0.0763963167073672	4.16333634234434e-17	0.0981981567051877	0.103745338439232	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD4_C02_IL7R	13
GSE235863	U002	LOSO_CD4_C02_IL7R	ALL	1366	19	0.689115997420091	0.0387085926674415	0.252364045426175	0.176791022992437	0.0755730224337381	0	0.0970226604417262	0.101936262065848	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD4_C02_IL7R	9
GSE235863	U003	LOSO_CD4_C02_IL7R	ALL	1774	16	0.719025821998777	0.0701560874876988	0.0949019854932735	0.0446460347284228	0.0502559507648507	1.38777878078145e-17	0.0557546235241702	0.0590100345455995	True	ELIGIBLE	False	1	1	1	CONCORDANT_POSITIVE	CD4_C02_IL7R	16
