source	plot_unit	state	lineage	cell_n	cell_fraction	mean_Xz	mean_Yz	signed_contribution	absolute_contribution	full_patient_eligible
GSE235863	U006	CD4_C01_CCR7	CD4	2	0.00193798449612403	-0.959009296146309	-0.836235716719697	0.00155418183353442	0.00155418183353442	True
GSE235863	U006	CD4_C02_IL7R	CD4	1	0.000968992248062015	-0.959009296146309	-1.86426760553073	0.00173241275601589	0.00173241275601589	True
GSE235863	U006	CD4_C03_CD44	CD4	557	0.539728682170543	-0.150555672233309	-0.328310435605273	0.0266782481316916	0.0266782481316916	True
GSE235863	U006	CD4_C04_GZMK	CD4	21	0.0203488372093023	0.163678464453772	0.19880915116069	0.000662166965317955	0.000662166965317955	True
GSE235863	U006	CD4_C05_GNLY	CD4	0	0	NA	NA	0	0	True
GSE235863	U006	CD4_C06_CXCL13	CD4	2	0.00193798449612403	-0.17055239902897	-0.111954462532205	3.70040739667954e-05	3.70040739667954e-05	True
GSE235863	U006	CD4_C07_CTLA4	CD4	109	0.10562015503876	-0.056197136073466	0.152214398321112	-0.000903476206174765	0.000903476206174765	True
GSE235863	U006	CD4_C08_FOXP3	CD4	23	0.0222868217054264	-0.141049204405213	0.0481399730909347	-0.000151329857369175	0.000151329857369175	True
GSE235863	U006	CD4_C09_MKI67	CD4	9	0.00872093023255814	-0.38540366821802	0.873906050759131	-0.00293726683988801	0.00293726683988801	True
GSE235863	U006	CD8_C01_LEF1	CD8	2	0.00193798449612403	-0.515862921918721	-0.791182077950757	0.000790971896320547	0.000790971896320547	True
GSE235863	U006	CD8_C02_GPR183	CD8	1	0.000968992248062015	-0.959009296146309	-1.4828775603817	0.0013779974471442	0.0013779974471442	True
GSE235863	U006	CD8_C03_CX3CR1	CD8	4	0.00387596899224806	-0.233977260584896	1.24218218188125	-0.0011265208684649	0.0011265208684649	True
GSE235863	U006	CD8_C04_GIMAP4	CD8	0	0	NA	NA	0	0	True
GSE235863	U006	CD8_C05_CCR7	CD8	0	0	NA	NA	0	0	True
GSE235863	U006	CD8_C06_IKZF2	CD8	0	0	NA	NA	0	0	True
GSE235863	U006	CD8_C07_KIR2DL4	CD8	8	0.00775193798449612	0.913877053733348	-0.488095518177711	-0.00345782398521471	0.00345782398521471	True
GSE235863	U006	CD8_C08_GZMK	CD8	188	0.182170542635659	0.465416048741126	0.698964858874465	0.059261801367573	0.059261801367573	True
GSE235863	U006	CD8_C09_LAYN	CD8	11	0.0106589147286822	0.322252465614678	0.703913156215933	0.00241784423629955	0.00241784423629955	True
GSE235863	U006	CD8_C10_SLC4A10	CD8	90	0.0872093023255814	-0.0241449239474409	0.198458784210325	-0.000417887114952896	0.000417887114952896	True
GSE235863	U006	CD8_C11_MKI67	CD8	4	0.00387596899224806	0.806080884211013	0.470593383837051	0.00147029585638458	0.00147029585638458	True
GSE235863	U001	CD4_C01_CCR7	CD4	94	0.0419081587160054	-0.735474371215176	-0.915968047536566	0.028232312188419	0.028232312188419	True
GSE235863	U001	CD4_C02_IL7R	CD4	13	0.0057958091841284	-0.671320608786817	-1.05378830285674	0.00410012816098117	0.00410012816098117	True
GSE235863	U001	CD4_C03_CD44	CD4	228	0.101649576460098	-0.417735869438694	-0.694238423811977	0.0294792200078897	0.0294792200078897	True
