source	state	lineage	eligible_patient_n	observed_patient_n	median_signed_contribution	median_absolute_contribution	min_signed_contribution	max_signed_contribution	min_absolute_contribution	max_absolute_contribution	positive_n	negative_n	zero_n
GSE235863	CD4_C01_CCR7	CD4	6	6	0.00369396681990492	0.00369396681990492	0.000173084896165226	0.028232312188419	0.000173084896165226	0.028232312188419	6	0	0
GSE235863	CD4_C02_IL7R	CD4	6	6	0.00268636322996778	0.00268636322996778	0.00147581089401074	0.00410012816098117	0.00147581089401074	0.00410012816098117	6	0	0
GSE235863	CD4_C03_CD44	CD4	6	6	0.0217423109162956	0.0217423109162956	0.00105513017661975	0.0294792200078897	0.00105513017661975	0.0294792200078897	6	0	0
GSE235863	CD4_C04_GZMK	CD4	6	6	0.0267074703358041	0.0267074703358041	0.000662166965317955	0.0778463915509177	0.000662166965317955	0.0778463915509177	6	0	0
GSE235863	CD4_C05_GNLY	CD4	6	4	-3.22079552107242e-05	0.000216892460336305	-0.000721826124907319	0.000996463903479261	0	0.000996463903479261	1	3	2
GSE235863	CD4_C06_CXCL13	CD4	6	6	0.00116740639429444	0.00116740639429444	-2.29931543822507e-05	0.00565402558512436	2.29931543822507e-05	0.00565402558512436	5	1	0
GSE235863	CD4_C07_CTLA4	CD4	6	6	-9.75473928520012e-05	0.00103201418369703	-0.00166378979652875	0.0680246363145639	0.000335211898318296	0.0680246363145639	3	3	0
GSE235863	CD4_C08_FOXP3	CD4	6	6	0.000422668849685648	0.000422668849685648	-0.000151329857369175	0.00406321431039101	2.75689236138103e-05	0.00406321431039101	5	1	0
GSE235863	CD4_C09_MKI67	CD4	6	6	8.08952009805291e-05	0.000471244056912894	-0.00293726683988801	0.00212791965643828	1.3205055831003e-05	0.00293726683988801	3	3	0
GSE235863	CD8_C01_LEF1	CD8	6	6	0.000702140753446892	0.000702140753446892	-0.000496100187527518	0.010333203756784	0.000157982542239004	0.010333203756784	5	1	0
GSE235863	CD8_C02_GPR183	CD8	6	5	2.27485969890761e-05	0.000187077700643136	-0.00031577333513412	0.00292702956143844	0	0.00292702956143844	3	2	1
GSE235863	CD8_C03_CX3CR1	CD8	6	6	-8.32911697821138e-05	0.000302723603219924	-0.0011265208684649	0.000443148880458143	6.77885574412645e-06	0.0011265208684649	2	4	0
GSE235863	CD8_C04_GIMAP4	CD8	6	3	0.000150666554919066	0.000150666554919066	0	0.00122229643577147	0	0.00122229643577147	3	0	3
GSE235863	CD8_C05_CCR7	CD8	6	4	-8.30893508318176e-06	4.15103304247656e-05	-0.00028374791510675	0.000963151891005634	0	0.000963151891005634	1	3	2
GSE235863	CD8_C06_IKZF2	CD8	6	2	0	0	-0.000802408148566863	0	0	0.000802408148566863	0	2	4
GSE235863	CD8_C07_KIR2DL4	CD8	6	6	-0.000198845131382305	0.001811464670228	-0.00345782398521471	0.00630551837279368	0.000334420688601201	0.00630551837279368	3	3	0
GSE235863	CD8_C08_GZMK	CD8	6	6	0.00821013926113294	0.00821013926113294	-0.000866028444296484	0.059261801367573	0.000866028444296484	0.059261801367573	5	1	0
GSE235863	CD8_C09_LAYN	CD8	6	6	0.033944266828227	0.033944266828227	0.00241784423629955	0.0920466533382953	0.00241784423629955	0.0920466533382953	6	0	0
GSE235863	CD8_C10_SLC4A10	CD8	6	6	0.000661850897113113	0.00109710030648424	-0.00100897086069998	0.00374607683064735	0.000138472041957735	0.00374607683064735	4	2	0
GSE235863	CD8_C11_MKI67	CD8	6	6	0.00151160593290667	0.00151160593290667	0.00119134811067977	0.00426906941017607	0.00119134811067977	0.00426906941017607	6	0	0
