source	plot_unit	analysis	lineage	cell_n	state_n	PTPN22_variance	AF35_variance	design_rank	C_total	C_between	C_within	identity_error	residual_Pearson	residual_Spearman	eligible	reason	between_abs_gt_within	sign_total	sign_between	sign_within	geometry
GSE235863	U006	TECHNICAL_ADJUSTED	CD4	724	8	0.592628039507974	0.0232259293728885	3	0.0225549519454709	0.00465159081592414	0.0179033611295467	1.04083408558608e-17	0.0184466874575661	0.03356134225132	True	ELIGIBLE	False	1	1	1	CONCORDANT_POSITIVE
GSE235863	U001	TECHNICAL_ADJUSTED	CD4	910	9	0.623499172072652	0.0264045646315844	3	0.073530815606487	0.0467931845912379	0.0267376310152492	-3.46944695195361e-17	0.0287197740084647	0.0131312297705446	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE
GSE235863	U002	TECHNICAL_ADJUSTED	CD4	729	9	0.519796159894652	0.0214913866378551	3	0.117986197984772	0.0360662031395369	0.0819199948452351	1.38777878078145e-17	0.0859589071281682	0.0907636616160208	True	ELIGIBLE	False	1	1	1	CONCORDANT_POSITIVE
GSE235863	U003	TECHNICAL_ADJUSTED	CD4	1163	9	0.606287466577895	0.0480926183737336	3	0.0441896888331199	0.00763128645236686	0.0365584023807531	0	0.0372915324005756	0.0265677635377869	True	ELIGIBLE	False	1	1	1	CONCORDANT_POSITIVE
GSE235863	U004	TECHNICAL_ADJUSTED	CD4	863	8	0.870945314868003	0.046386590290292	3	0.0786200805979213	0.0296953208726458	0.0489247597252756	0	0.0508416122326419	0.0530641826909433	True	ELIGIBLE	False	1	1	1	CONCORDANT_POSITIVE
GSE235863	U005	TECHNICAL_ADJUSTED	CD4	630	9	0.876710122586364	0.0441218346250498	3	0.00226773746434058	-0.00242574900660622	0.00469348647094681	3.46944695195361e-18	0.00476273676531852	-0.0549431131513727	True	ELIGIBLE	False	1	-1	1	TOTAL_NEAR_ZERO
GSE235863	U006	TECHNICAL_ADJUSTED	CD8	308	8	0.749463290005236	0.0306010088536935	3	0.0485671688339376	0.0227708876521095	0.0257962811818282	-6.93889390390723e-18	0.0278906176857905	0.0209194366558144	True	ELIGIBLE	False	1	1	1	CONCORDANT_POSITIVE
GSE235863	U001	TECHNICAL_ADJUSTED	CD8	1333	11	0.740351522307662	0.0353572117376793	3	0.104900944557713	0.0235199619658123	0.0813809825919003	0	0.0869530402011933	0.102137902278155	True	ELIGIBLE	False	1	1	1	CONCORDANT_POSITIVE
GSE235863	U002	TECHNICAL_ADJUSTED	CD8	646	11	0.72148120096537	0.0301991915704843	3	0.0454519065855566	0.0414383773325995	0.0040135292529571	2.60208521396521e-17	0.00438178435789208	0.00289464392167397	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE
GSE235863	U003	TECHNICAL_ADJUSTED	CD8	627	8	0.840506923550395	0.0631925828398345	3	-0.033282957639701	-0.00495765168056676	-0.0283253059591343	2.42861286636753e-17	-0.0300990861529559	0.00635681778504954	True	ELIGIBLE	False	-1	-1	-1	CONCORDANT_NEGATIVE
GSE235863	U004	TECHNICAL_ADJUSTED	CD8	326	9	0.811812965765949	0.0373779403931439	3	0.0623758814664225	0.0281000045417998	0.0342758769246227	6.93889390390723e-18	0.0360325819180573	0.0396612561750176	True	ELIGIBLE	False	1	1	1	CONCORDANT_POSITIVE
GSE235863	U005	TECHNICAL_ADJUSTED	CD8	829	9	1.09632745894314	0.0549975617329686	3	0.00630474404551852	0.0237317243725939	-0.0174269803270754	6.93889390390723e-18	-0.0188015329657857	-0.00433164977526933	True	ELIGIBLE	True	1	1	-1	TOTAL_NEAR_ZERO
