cohort	context	omitted_gene	retained_gene_n	spearman_rho_vs_canonical	median_normalized_rank_displacement	max_normalized_rank_displacement	canonical_raw_score_sd	loo_raw_score_sd	raw_score_sd_change	outcome_loaded
ERP117672	pretreatment ICI	CD3D	34	0.9981238273921202	0	0.05128205128205128	0.7168876285794834	0.7125174946412737	-0.00437013393820973	NO
ERP117672	pretreatment ICI	CD3E	34	0.998874296435272	0	0.05128205128205128	0.7168876285794834	0.710894778052156	-0.0059928505273274535	NO
ERP117672	pretreatment ICI	CD3G	34	0.9992495309568482	0	0.05128205128205128	0.7168876285794834	0.7116828104321299	-0.005204818147353518	NO
ERP117672	pretreatment ICI	CD247	34	0.9986866791744841	0	0.05128205128205128	0.7168876285794834	0.7131910120750935	-0.0036966165043899046	NO
ERP117672	pretreatment ICI	LCK	34	0.9979362101313323	0	0.05128205128205128	0.7168876285794834	0.7115331518870396	-0.005354476692443821	NO
ERP117672	pretreatment ICI	FYN	34	0.9984990619136962	0	0.05128205128205128	0.7168876285794834	0.7197742361293257	0.0028866075498422683	NO
ERP117672	pretreatment ICI	ZAP70	34	0.998874296435272	0	0.02564102564102564	0.7168876285794834	0.7155705876990287	-0.0013170408804547007	NO
ERP117672	pretreatment ICI	LAT	34	0.9984990619136962	0	0.05128205128205128	0.7168876285794834	0.7193281366954886	0.002440508116005158	NO
ERP117672	pretreatment ICI	LCP2	34	0.9990619136960602	0	0.05128205128205128	0.7168876285794834	0.7130670185130545	-0.0038206100664288645	NO
ERP117672	pretreatment ICI	TRAT1	34	0.9986866791744841	0	0.05128205128205128	0.7168876285794834	0.7164050175487543	-0.0004826110307291076	NO
ERP117672	pretreatment ICI	NFKB1	34	0.9977485928705443	0	0.07692307692307693	0.7168876285794834	0.7224351204144815	0.005547491834998142	NO
ERP117672	pretreatment ICI	REL	34	0.9975609756097563	0	0.07692307692307693	0.7168876285794834	0.7265435412267007	0.009655912647217324	NO
ERP117672	pretreatment ICI	RELA	34	0.9971857410881801	0	0.07692307692307693	0.7168876285794834	0.7347141775680769	0.017826548988593482	NO
ERP117672	pretreatment ICI	NFKBIA	34	0.9986866791744841	0	0.05128205128205128	0.7168876285794834	0.7225759371383682	0.005688308558884803	NO
ERP117672	pretreatment ICI	TNFAIP3	34	0.9975609756097563	0	0.05128205128205128	0.7168876285794834	0.7187474542330914	0.0018598256536079827	NO
ERP117672	pretreatment ICI	STAT1	34	0.9984990619136962	0	0.05128205128205128	0.7168876285794834	0.7141429232008116	-0.0027447053786717746	NO
ERP117672	pretreatment ICI	IRF1	34	0.9984990619136962	0	0.05128205128205128	0.7168876285794834	0.7121772760996041	-0.004710352479879276	NO
ERP117672	pretreatment ICI	IFIT1	34	0.9973733583489681	0	0.05128205128205128	0.7168876285794834	0.7289422974030624	0.012054668823578973	NO
ERP117672	pretreatment ICI	IFIT2	34	0.9975609756097563	0	0.05128205128205128	0.7168876285794834	0.7253480190711886	0.008460390491705216	NO
ERP117672	pretreatment ICI	IFIT3	34	0.9973733583489681	0	0.07692307692307693	0.7168876285794834	0.7216427204021985	0.004755091822715052	NO
ERP117672	pretreatment ICI	ISG15	34	0.9984990619136962	0	0.05128205128205128	0.7168876285794834	0.7204120141214778	0.0035243855419944126	NO
ERP117672	pretreatment ICI	MX1	34	0.9973733583489681	0	0.05128205128205128	0.7168876285794834	0.7224436594561854	0.005556030876701978	NO
ERP117672	pretreatment ICI	OAS1	34	0.9984990619136962	0	0.05128205128205128	0.7168876285794834	0.7235314988375526	0.006643870258069229	NO
ERP117672	pretreatment ICI	CXCL9	34	0.9990619136960602	0	0.05128205128205128	0.7168876285794834	0.7129127620259247	-0.00397486655355872	NO
ERP117672	pretreatment ICI	CXCL10	34	0.9990619136960602	0	0.05128205128205128	0.7168876285794834	0.7153434695075208	-0.001544159071962592	NO
ERP117672	pretreatment ICI	IFNG	34	0.9992495309568482	0	0.02564102564102564	0.7168876285794834	0.7145379959793179	-0.0023496326001655188	NO
ERP117672	pretreatment ICI	TNF	34	0.9994371482176362	0	0.02564102564102564	0.7168876285794834	0.714743928335222	-0.0021437002442613595	NO
ERP117672	pretreatment ICI	CCL5	34	0.9994371482176362	0	0.02564102564102564	0.7168876285794834	0.7107826373468461	-0.006104991232637302	NO
ERP117672	pretreatment ICI	NKG7	34	0.9992495309568482	0	0.05128205128205128	0.7168876285794834	0.7129756457282	-0.003911982851283358	NO
ERP117672	pretreatment ICI	PRF1	34	0.9992495309568482	0	0.05128205128205128	0.7168876285794834	0.7117070795537254	-0.005180549025758041	NO
ERP117672	pretreatment ICI	GZMB	34	0.998874296435272	0	0.05128205128205128	0.7168876285794834	0.7133679968209206	-0.0035196317585628467	NO
ERP117672	pretreatment ICI	PDCD1	34	0.9977485928705443	0	0.07692307692307693	0.7168876285794834	0.7164900040358517	-0.00039762454363168054	NO
ERP117672	pretreatment ICI	LAG3	34	0.9983114446529082	0	0.05128205128205128	0.7168876285794834	0.7145628750558931	-0.002324753523590295	NO
ERP117672	pretreatment ICI	TIGIT	34	0.9994371482176362	0	0.02564102564102564	0.7168876285794834	0.7111932588643911	-0.005694369715092296	NO
ERP117672	pretreatment ICI	TOX	34	0.9969981238273923	0	0.10256410256410256	0.7168876285794834	0.7142876222829765	-0.002600006296506918	NO
GSE302495	pretreatment ICI	CD3D	34	0.9986869460553671	0	0.05405405405405406	0.6056462610413487	0.5974177286318866	-0.008228532409462086	NO
GSE302495	pretreatment ICI	CD3E	34	0.9986869460553671	0	0.05405405405405406	0.6056462610413487	0.598872153561266	-0.0067741074800826695	NO
GSE302495	pretreatment ICI	CD3G	34	0.9982492614071562	0	0.05405405405405406	0.6056462610413487	0.601193225568718	-0.004453035472630651	NO
GSE302495	pretreatment ICI	CD247	34	0.9964985228143123	0	0.05405405405405406	0.6056462610413487	0.6040885471881162	-0.0015577138532324453	NO
GSE302495	pretreatment ICI	LCK	34	0.9980304190830506	0	0.05405405405405406	0.6056462610413487	0.5998113603106245	-0.005834900730724124	NO
GSE302495	pretreatment ICI	FYN	34	0.9978115767589453	0	0.05405405405405406	0.6056462610413487	0.6038873604420586	-0.0017589005992900697	NO
GSE302495	pretreatment ICI	ZAP70	34	0.9980304190830506	0	0.05405405405405406	0.6056462610413487	0.6004241702380593	-0.005222090803289392	NO
GSE302495	pretreatment ICI	LAT	34	0.9967173651384177	0.02702702702702703	0.05405405405405406	0.6056462610413487	0.6143156773332672	0.00866941629191853	NO
GSE302495	pretreatment ICI	LCP2	34	0.9982492614071562	0	0.05405405405405406	0.6056462610413487	0.5998331649058053	-0.005813096135543372	NO
GSE302495	pretreatment ICI	TRAT1	34	0.9975927344348396	0	0.05405405405405406	0.6056462610413487	0.6062794805162909	0.0006332194749422149	NO
GSE302495	pretreatment ICI	NFKB1	34	0.9964985228143123	0.02702702702702703	0.05405405405405406	0.6056462610413487	0.6093799510302403	0.0037336899888916752	NO
GSE302495	pretreatment ICI	REL	34	0.9969362074625232	0	0.05405405405405406	0.6056462610413487	0.6089097969980217	0.003263535956673058	NO
GSE302495	pretreatment ICI	RELA	34	0.9969362074625232	0	0.08108108108108109	0.6056462610413487	0.6287931935925378	0.02314693255118916	NO
GSE302495	pretreatment ICI	NFKBIA	34	0.994966626545574	0.02702702702702703	0.08108108108108109	0.6056462610413487	0.6159882645374806	0.010342003496131902	NO
GSE302495	pretreatment ICI	TNFAIP3	34	0.9973738921107341	0	0.05405405405405406	0.6056462610413487	0.6119782318991814	0.006331970857832769	NO
GSE302495	pretreatment ICI	STAT1	34	0.9980304190830506	0	0.05405405405405406	0.6056462610413487	0.6022690442411481	-0.003377216800200533	NO
GSE302495	pretreatment ICI	IRF1	34	0.9984681037312616	0	0.05405405405405406	0.6056462610413487	0.6032283202546994	-0.002417940786649253	NO
GSE302495	pretreatment ICI	IFIT1	34	0.9986869460553671	0	0.02702702702702703	0.6056462610413487	0.6180060229746929	0.012359761933344204	NO
GSE302495	pretreatment ICI	IFIT2	34	0.9969362074625232	0	0.08108108108108109	0.6056462610413487	0.6128000512986361	0.007153790257287462	NO
GSE302495	pretreatment ICI	IFIT3	34	0.994966626545574	0	0.10810810810810811	0.6056462610413487	0.6077611560201691	0.0021148949788204474	NO
GSE302495	pretreatment ICI	ISG15	34	0.9964985228143123	0	0.08108108108108109	0.6056462610413487	0.6178045356675592	0.012158274626210552	NO
GSE302495	pretreatment ICI	MX1	34	0.9962796804902068	0	0.10810810810810811	0.6056462610413487	0.608818912575371	0.0031726515340223527	NO
GSE302495	pretreatment ICI	OAS1	34	0.9969362074625232	0	0.05405405405405406	0.6056462610413487	0.6055495921831516	-0.00009666885819703541	NO
GSE302495	pretreatment ICI	CXCL9	34	0.9975927344348396	0	0.05405405405405406	0.6056462610413487	0.6004736338048421	-0.005172627236506577	NO
GSE302495	pretreatment ICI	CXCL10	34	0.9973738921107341	0	0.05405405405405406	0.6056462610413487	0.6031953321796386	-0.0024509288617100555	NO
GSE302495	pretreatment ICI	IFNG	34	0.9967173651384177	0	0.10810810810810811	0.6056462610413487	0.6047318262046026	-0.0009144348367460253	NO
GSE302495	pretreatment ICI	TNF	34	0.9973738921107341	0	0.08108108108108109	0.6056462610413487	0.6013352510912933	-0.0043110099500554	NO
GSE302495	pretreatment ICI	CCL5	34	0.9982492614071562	0	0.05405405405405406	0.6056462610413487	0.5997553647637485	-0.005890896277600199	NO
GSE302495	pretreatment ICI	NKG7	34	0.9975927344348396	0	0.08108108108108109	0.6056462610413487	0.6021543542743589	-0.0034919067669897386	NO
GSE302495	pretreatment ICI	PRF1	34	0.9980304190830506	0	0.05405405405405406	0.6056462610413487	0.599397682861511	-0.006248578179837705	NO
GSE302495	pretreatment ICI	GZMB	34	0.9982492614071562	0	0.05405405405405406	0.6056462610413487	0.5983976095926197	-0.007248651448728993	NO
GSE302495	pretreatment ICI	PDCD1	34	0.9978115767589453	0	0.05405405405405406	0.6056462610413487	0.6052429491955764	-0.0004033118457722473	NO
GSE302495	pretreatment ICI	LAG3	34	0.9982492614071562	0	0.05405405405405406	0.6056462610413487	0.6020784796302656	-0.0035677814110830486	NO
GSE302495	pretreatment ICI	TIGIT	34	0.9975927344348396	0	0.05405405405405406	0.6056462610413487	0.6021349231322518	-0.0035113379090968566	NO
GSE302495	pretreatment ICI	TOX	34	0.9973738921107341	0	0.05405405405405406	0.6056462610413487	0.6157204269717049	0.01007416593035626	NO
GSE104580	pretreatment TACE non-ICI control	CD3D	34	0.9982697262540706	0.00684931506849315	0.0821917808219178	0.6091199976913788	0.6096984486775371	0.0005784509861582743	NO
GSE104580	pretreatment TACE non-ICI control	CD3E	34	0.999251977725559	0.00684931506849315	0.06164383561643835	0.6091199976913788	0.6203651731462101	0.01124517545483128	NO
GSE104580	pretreatment TACE non-ICI control	CD3G	34	0.999081972663186	0.00684931506849315	0.0684931506849315	0.6091199976913788	0.6045579714738031	-0.004562026217575732	NO
GSE104580	pretreatment TACE non-ICI control	CD247	34	0.9992481998352839	0.00684931506849315	0.04794520547945205	0.6091199976913788	0.6043903723430388	-0.004729625348339983	NO
GSE104580	pretreatment TACE non-ICI control	LCK	34	0.9995013184837059	0.00684931506849315	0.0273972602739726	0.6091199976913788	0.6005607539996097	-0.00855924369176908	NO
GSE104580	pretreatment TACE non-ICI control	FYN	34	0.9986210700496415	0.00684931506849315	0.0684931506849315	0.6091199976913788	0.6073050135939576	-0.0018149840974212017	NO
GSE104580	pretreatment TACE non-ICI control	ZAP70	34	0.9981563895458221	0	0.1917808219178082	0.6091199976913788	0.6135558541443914	0.004435856453012588	NO
GSE104580	pretreatment TACE non-ICI control	LAT	34	0.9987986308925644	0.00684931506849315	0.0684931506849315	0.6091199976913788	0.6048462363976913	-0.004273761293687506	NO
GSE104580	pretreatment TACE non-ICI control	LCP2	34	0.9992330882741842	0.00684931506849315	0.0410958904109589	0.6091199976913788	0.6028403130505341	-0.006279684640844718	NO
GSE104580	pretreatment TACE non-ICI control	TRAT1	34	0.9993690923240826	0.00684931506849315	0.0410958904109589	0.6091199976913788	0.602767738086714	-0.0063522596046647894	NO
GSE104580	pretreatment TACE non-ICI control	NFKB1	34	0.9981715011069219	0.00684931506849315	0.08904109589041095	0.6091199976913788	0.6130420196952515	0.003922022003872705	NO
GSE104580	pretreatment TACE non-ICI control	REL	34	0.9976803753711776	0.00684931506849315	0.06164383561643835	0.6091199976913788	0.6208638502699152	0.011743852578536385	NO
GSE104580	pretreatment TACE non-ICI control	RELA	34	0.9979032708974	0.00684931506849315	0.0684931506849315	0.6091199976913788	0.6222926284354495	0.013172630744070712	NO
GSE104580	pretreatment TACE non-ICI control	NFKBIA	34	0.997993940263999	0.00684931506849315	0.06164383561643835	0.6091199976913788	0.615120253926772	0.006000256235393242	NO
GSE104580	pretreatment TACE non-ICI control	TNFAIP3	34	0.9978617141043756	0.0136986301369863	0.07534246575342465	0.6091199976913788	0.6169217963316596	0.007801798640280744	NO
GSE104580	pretreatment TACE non-ICI control	STAT1	34	0.998825076124489	0.00684931506849315	0.0547945205479452	0.6091199976913788	0.6055572267462845	-0.0035627709450942735	NO
GSE104580	pretreatment TACE non-ICI control	IRF1	34	0.998666404732941	0.00684931506849315	0.04794520547945205	0.6091199976913788	0.6057869022537731	-0.0033330954376057376	NO
GSE104580	pretreatment TACE non-ICI control	IFIT1	34	0.9987684077703649	0.00684931506849315	0.03424657534246575	0.6091199976913788	0.6127389880595334	0.0036189903681546065	NO
GSE104580	pretreatment TACE non-ICI control	IFIT2	34	0.9985984027079917	0.00684931506849315	0.0547945205479452	0.6091199976913788	0.611742492562355	0.002622494870976211	NO
GSE104580	pretreatment TACE non-ICI control	IFIT3	34	0.998904411820263	0.00684931506849315	0.04794520547945205	0.6091199976913788	0.6086199697436813	-0.0005000279476975455	NO
