metric	AF35_observed	reference_n	reference_median	reference_q025	reference_q975	n_ge_AF35	empirical_position_fraction_strictly_below	interpretation
ERP117672__median_pairwise	0.480952380952381	2000	0.1055359059266151	0.051813725490196	0.1756442577030811	0	1.0	DESCRIPTIVE_REFERENCE_NOT_P_VALUE
ERP117672__PC1_variance	0.562266130071394	2000	0.2219552753936372	0.1745662095299698	0.2814726024373941	0	1.0	DESCRIPTIVE_REFERENCE_NOT_P_VALUE
ERP117672__median_gene_to_rest	0.7507002801120448	2000	0.3155462184873949	0.1840336134453781	0.4445378151260504	0	1.0	DESCRIPTIVE_REFERENCE_NOT_P_VALUE
GSE302495__median_pairwise	0.3830834883466462	2000	0.0659809607178028	0.0208940840758879	0.1309771309771309	0	1.0	DESCRIPTIVE_REFERENCE_NOT_P_VALUE
GSE302495__PC1_variance	0.4280707058542181	2000	0.2040434931804895	0.1620491542174826	0.2572185111209025	0	1.0	DESCRIPTIVE_REFERENCE_NOT_P_VALUE
GSE302495__median_gene_to_rest	0.6122114016850859	2000	0.2530911478279899	0.1090987183666638	0.3839697997592734	0	1.0	DESCRIPTIVE_REFERENCE_NOT_P_VALUE
covariance_pearson	0.7105442582581755	2000	0.4899085923904142	0.3259773412181533	0.6395348043677955	1	0.9995	DESCRIPTIVE_REFERENCE_NOT_P_VALUE
covariance_spearman	0.7131717468797528	2000	0.4488801820035967	0.28514139079503403	0.6117528745309664	0	1.0	DESCRIPTIVE_REFERENCE_NOT_P_VALUE
connectivity_pearson	0.8172036500008454	2000	0.6078405165602118	0.123130247454109	0.8294993231082822	67	0.9665	DESCRIPTIVE_REFERENCE_NOT_P_VALUE
connectivity_spearman	0.788235294117647	2000	0.5201680672268908	0.0800910364145658	0.7639075630252098	28	0.986	DESCRIPTIVE_REFERENCE_NOT_P_VALUE
