plot_unit	author_clone_n	cell_n
U007	2	2
U007	2	3
U007	2	3
U001	2	6
U001	2	2
U001	2	2
U001	2	31
U001	2	5
U001	3	273
U001	2	10
U001	2	2
U001	3	3
U001	2	2
U001	2	2
U001	2	15
U001	2	2
U001	2	2
U001	2	6
U001	2	4
U001	2	2
U001	2	2
U002	2	2
U002	2	2
U002	2	4
U002	2	8
U002	2	5
U002	2	10
U002	2	2
U002	2	2
U002	2	2
U002	2	2
U002	2	2
U003	2	7
U003	2	4
U003	2	10
U003	2	5
U003	2	4
U003	2	2
U003	2	2
U003	2	13
U003	2	2
U003	2	3
U003	2	2
U003	2	2
U004	2	2
U004	2	2
U004	2	2
U005	3	13
U005	2	3
U005	2	2
U005	2	2
U005	2	3
U005	2	21
U005	2	5
U005	2	2
U005	3	3
U005	2	2
U005	2	6
U006	2	2
U006	2	2
U006	2	2
U006	2	2
U006	2	2
U006	2	2
U008	2	16
U008	2	7
U008	2	4
U009	2	2
