row_type	identity	context	score	plot_unit	eligible_cells	positive_cells	reference_cells	supported_states	eligible_states	supported_cells	excluded_cells	raw_effect	adjusted_effect	supported_cell_raw_effect	attenuation_difference	adjusted_to_raw_ratio	attenuation_fraction	biological_replicate
PATIENT	AUTHOR_CLONE_ID	EXPANSION	PTPN22	U007	6014	1899	4115	20	20	6014	0	0.3295354017506874	0.08545776675592316	0.3295354017506874	0.24407763499476426	0.2593280306210527	0.7406719693789473	patient
PATIENT	AUTHOR_CLONE_ID	EXPANSION	PTPN22	U001	10415	5071	5344	20	20	10415	0	0.31693183525116086	0.04773887430873621	0.316931835251161	0.2691929609424247	0.15062820770562318	0.8493717922943769	patient
PATIENT	AUTHOR_CLONE_ID	EXPANSION	PTPN22	U002	6042	1182	4860	18	20	6011	31	0.245528610950852	0.027580870082538914	0.24815397061573374	0.2179477408683131	0.11233261156704803	0.887667388432952	patient
PATIENT	AUTHOR_CLONE_ID	EXPANSION	PTPN22	U003	8523	4418	4105	19	20	8518	5	0.2332118823442343	-0.01485235425790455	0.23388128044656004	0.24806423660213883	-0.0636860957023691	1.063686095702369	patient
PATIENT	AUTHOR_CLONE_ID	EXPANSION	PTPN22	U004	5357	1989	3368	18	20	5341	16	0.38085172318962524	0.003438779354117906	0.3813126804060051	0.37741294383550733	0.009029181554748395	0.9909708184452516	patient
PATIENT	AUTHOR_CLONE_ID	EXPANSION	PTPN22	U005	6427	2990	3437	20	20	6427	0	0.2598832717363573	0.03363869157156132	0.2598832717363573	0.22624458016479596	0.12943769464964494	0.8705623053503551	patient
PATIENT	AUTHOR_CLONE_ID	EXPANSION	PTPN22	U006	7784	1799	5985	19	20	7783	1	0.2703478931833525	0.03724557134981293	0.27071579010613045	0.23310232183353957	0.1377690460659615	0.8622309539340385	patient
PATIENT	AUTHOR_CLONE_ID	EXPANSION	PTPN22	U008	4066	2500	1566	19	20	4055	11	0.11038072122233666	0.05174803402804637	0.10741448777522378	0.058632687194290295	0.4688140596926506	0.5311859403073493	patient
PATIENT	AUTHOR_CLONE_ID	EXPANSION	PTPN22	U009	4244	2320	1924	19	20	4232	12	0.1611402381344592	0.02869743856241005	0.16152356304213566	0.13244279957204916	0.17808983587615299	0.821910164123847	patient
PATIENT	AUTHOR_CLONE_ID	EXPANSION	AF35	U007	6014	1899	4115	20	20	6014	0	0.20276986942347192	0.0277229916575897	0.20276986942347192	0.1750468777658822	0.13672145539380903	0.863278544606191	patient
PATIENT	AUTHOR_CLONE_ID	EXPANSION	AF35	U001	10415	5071	5344	20	20	10415	0	0.17318856626798604	0.014176647699438811	0.173188566267986	0.15901191856854724	0.08185671840196629	0.9181432815980337	patient
PATIENT	AUTHOR_CLONE_ID	EXPANSION	AF35	U002	6042	1182	4860	18	20	6011	31	0.14558376250109753	0.010233636388803792	0.14595482867058326	0.13535012611229374	0.07029380346401366	0.9297061965359863	patient
PATIENT	AUTHOR_CLONE_ID	EXPANSION	AF35	U003	8523	4418	4105	19	20	8518	5	0.1942279312779822	0.011926247307265506	0.19438942708284224	0.18230168397071672	0.06140335856327721	0.9385966414367228	patient
PATIENT	AUTHOR_CLONE_ID	EXPANSION	AF35	U004	5357	1989	3368	18	20	5341	16	0.1297982837585795	0.034945323324548014	0.13010390585681095	0.09485296043403148	0.26922793054448363	0.7307720694555164	patient
PATIENT	AUTHOR_CLONE_ID	EXPANSION	AF35	U005	6427	2990	3437	20	20	6427	0	0.1828418383129617	0.020234183958230793	0.1828418383129617	0.1626076543547309	0.11066495581605837	0.8893350441839416	patient
PATIENT	AUTHOR_CLONE_ID	EXPANSION	AF35	U006	7784	1799	5985	19	20	7783	1	0.149152700509688	0.02530874996546282	0.14914098454854308	0.1238439505442252	0.16968348463673255	0.8303165153632674	patient
PATIENT	AUTHOR_CLONE_ID	EXPANSION	AF35	U008	4066	2500	1566	19	20	4055	11	0.08322937383735526	0.03947633331215119	0.08190863641213422	0.043753040525204075	0.47430770522549937	0.5256922947745006	patient
PATIENT	AUTHOR_CLONE_ID	EXPANSION	AF35	U009	4244	2320	1924	19	20	4232	12	0.1923055073434361	0.011370928538629593	0.19177140545276952	0.1809345788048065	0.05912950021926511	0.9408704997807349	patient
PATIENT	AUTHOR_CLONE_ID	PERSISTENCE	PTPN22	U007	4851	1092	3759	16	19	4838	13	0.3447715359162694	0.06681033192331075	0.34628906046208674	0.27796120399295865	0.1937814609484937	0.8062185390515063	patient
PATIENT	AUTHOR_CLONE_ID	PERSISTENCE	PTPN22	U001	10415	3950	6465	20	20	10415	0	0.3175267195203417	0.06200095648495073	0.3175267195203417	0.255525763035391	0.19526217062491574	0.8047378293750842	patient
PATIENT	AUTHOR_CLONE_ID	PERSISTENCE	PTPN22	U002	4667	442	4225	13	19	4634	33	0.2062372485065786	-0.024975647703029947	0.2042559613237484	0.23121289620960855	-0.1211015366229213	1.1211015366229213	patient
PATIENT	AUTHOR_CLONE_ID	PERSISTENCE	PTPN22	U003	8523	2841	5682	19	20	8518	5	0.1604219896661826	-0.050729205984499884	0.161454138946996	0.21115119565068247	-0.31622351829734063	1.3162235182973405	patient
PATIENT	AUTHOR_CLONE_ID	PERSISTENCE	PTPN22	U004	5357	1176	4181	16	20	4696	661	0.3583098010466518	0.0425568208141006	0.2658975915212294	0.31575298023255116	0.11877102074737755	0.8812289792526224	patient
PATIENT	AUTHOR_CLONE_ID	PERSISTENCE	PTPN22	U005	6427	1833	4594	20	20	6427	0	0.18581773284730618	0.12046707447527254	0.18581773284730607	0.06535065837203365	0.6483077402212475	0.3516922597787525	patient
PATIENT	AUTHOR_CLONE_ID	PERSISTENCE	PTPN22	U006	7784	1092	6692	19	20	7783	1	0.3184821951882275	0.12031403320478443	0.31914893697996716	0.1981681619834431	0.37777318488299516	0.6222268151170048	patient
PATIENT	AUTHOR_CLONE_ID	PERSISTENCE	AF35	U007	4851	1092	3759	16	19	4838	13	0.2494712382561614	-0.0030505985054132927	0.2502825725063337	0.2525218367615747	-0.012228257360397133	1.0122282573603971	patient
PATIENT	AUTHOR_CLONE_ID	PERSISTENCE	AF35	U001	10415	3950	6465	20	20	10415	0	0.18566263638450936	0.0140968640664415	0.18566263638450936	0.17156577231806786	0.07592730740528073	0.9240726925947192	patient
PATIENT	AUTHOR_CLONE_ID	PERSISTENCE	AF35	U002	4667	442	4225	13	19	4634	33	0.2539416736833695	0.01774725101432605	0.2544472635517616	0.23619442266904345	0.06988711524542617	0.9301128847545739	patient
PATIENT	AUTHOR_CLONE_ID	PERSISTENCE	AF35	U003	8523	2841	5682	19	20	8518	5	0.21217406621708565	0.022950686337691834	0.21250981734163119	0.1892233798793938	0.10816914030487527	0.8918308596951248	patient
PATIENT	AUTHOR_CLONE_ID	PERSISTENCE	AF35	U004	5357	1176	4181	16	20	4696	661	0.114016801948222	0.0358957713631206	0.08323817828589454	0.07812103058510139	0.31482878619435234	0.6851712138056476	patient
