status	beta_conditional	n_spots	n_regions	model_rank	residual_df	plot_unit	response	marker	role	formula_contract	inference_unit	record_status	biological_unit	adjacent_section_status	semantic_boundary
ESTIMATED	0.272668174404798	316	2	6	310	U001	Responder	PD1	primary_new	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	0.0124250979398656	992	2	6	986	U002	Nonresponder	PD1	primary_new	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	0.133708388176192	510	2	6	504	U003	Nonresponder	PD1	primary_new	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	0.0113821853379406	705	2	6	699	U004	Nonresponder	PD1	primary_new	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.146183502654787	627	2	6	621	U005	Responder	PD1	primary_new	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.083010480298469	228	1	5	223	U006	Nonresponder	PD1	primary_new	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	0.163925449193003	369	1	5	364	U007	Responder	PD1	primary_new	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.0780155743647883	397	2	6	391	U008	Responder	PD1	primary_new	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	0.144934917230568	565	1	5	560	U009	Nonresponder	PD1	primary_new	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.0895540608304418	496	2	6	490	U010	Nonresponder	PD1	primary_new	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
