dataset	comparator	candidate	n	n_R	n_NR	parameters_excluding_intercept	events_per_parameter	candidate_conditional_coefficient	candidate_conditional_or_per_sd	conditional_ci_low	conditional_ci_high	conditional_profile_p	coefficient_direction	convergence	convergence_max	nested_penalized_lr_statistic	nested_penalized_lr_df	nested_penalized_lr_p	loo_candidate_coefficient_positive_fraction	loo_candidate_coefficient_same_direction_fraction	loo_fit_success_n	loo_total_n	conditional_uncertainty_nonnull	model_warning	model_scope	biological_replicate
ERP117672	broad_immune	PTPN22	35	6	29	2	3	1.77868048997878	5.92203707360899	0.290390720009989	190.270927650616	0.252040518706698	POSITIVE	CONVERGED	8.00905545146497e-06	0.42279792421996	1	0.515544225969943	1	1	35	35	FALSE	LOW_EVENT_PER_PARAMETER:3.0	ONE_COMPARATOR_PLUS_ONE_CANDIDATE	patient
ERP117672	broad_immune	AF35	35	6	29	2	3	1.99487621459554	7.35129298879123	1.00496480934837	90.2827557614803	0.0494064192136879	POSITIVE	CONVERGED	3.73557191836369e-06	3.81217455536123	1	0.0508813523885471	1	1	35	35	TRUE	LOW_EVENT_PER_PARAMETER:3.0	ONE_COMPARATOR_PLUS_ONE_CANDIDATE	patient
ERP117672	CD274	PTPN22	35	6	29	2	3	-0.0154569073206266	0.984661937558664	0.237347768452247	3.83860663720493	0.982154530795126	NEGATIVE	CONVERGED	3.24169977987304e-06	0.668247981671765	1	0.413663107975787	0.371428571428571	0.628571428571429	35	35	FALSE	LOW_EVENT_PER_PARAMETER:3.0	ONE_COMPARATOR_PLUS_ONE_CANDIDATE	patient
ERP117672	CD274	AF35	35	6	29	2	3	0.534030549131212	1.70579375717293	0.286618138845516	10.1457406763465	0.544093169851379	POSITIVE	CONVERGED	1.61476810040552e-06	0.515129342872982	1	0.472926793548344	0.971428571428571	0.971428571428571	35	35	FALSE	LOW_EVENT_PER_PARAMETER:3.0	ONE_COMPARATOR_PLUS_ONE_CANDIDATE	patient
ERP117672	IFNg_response	PTPN22	35	6	29	2	3	0.325983335850315	1.38539228229606	0.46447008868787	3.96141253544351	0.538737274982293	POSITIVE	CONVERGED	8.33586101895115e-06	1.50334823052565	1	0.220156899845215	0.971428571428571	0.971428571428571	35	35	FALSE	LOW_EVENT_PER_PARAMETER:3.0	ONE_COMPARATOR_PLUS_ONE_CANDIDATE	patient
ERP117672	IFNg_response	AF35	35	6	29	2	3	0.694504217294821	2.00271591585175	0.573627808550872	7.51003853262592	0.270441693947586	POSITIVE	CONVERGED	1.71987217740895e-06	2.00106817373902	1	0.157188399707234	1	1	35	35	FALSE	LOW_EVENT_PER_PARAMETER:3.0	ONE_COMPARATOR_PLUS_ONE_CANDIDATE	patient
ERP117672	cytotoxicity	PTPN22	35	6	29	2	3	-2.48828479330167	0.083052296332784	0.00248543763193313	0.958492131065803	0.045610392091452	NEGATIVE	CONVERGED	6.49950452735381e-06	3.82051721006257	1	0.0506286077009853	0	1	35	35	TRUE	LOW_EVENT_PER_PARAMETER:3.0	ONE_COMPARATOR_PLUS_ONE_CANDIDATE	patient
ERP117672	cytotoxicity	AF35	35	6	29	2	3	-1.24641068845994	0.28753499958709	0.0133899819865668	3.13271039886483	0.322045025932783	NEGATIVE	CONVERGED	4.96601793312628e-06	0.571328963581298	1	0.449731304440952	0	1	35	35	FALSE	LOW_EVENT_PER_PARAMETER:3.0	ONE_COMPARATOR_PLUS_ONE_CANDIDATE	patient
GSE302495	broad_immune	PTPN22	38	12	26	2	6	-1.04771260319432	0.350739111768445	0.0265608589665584	3.0692943421135	0.355445978551207	NEGATIVE	CONVERGED	2.70262275143198e-06	0.628819056798953	1	0.427788822730881	0	1	38	38	FALSE	LOW_EVENT_PER_PARAMETER:6.0	ONE_COMPARATOR_PLUS_ONE_CANDIDATE	patient
GSE302495	broad_immune	AF35	38	12	26	2	6	1.03557691661048	2.81673078574157	0.48481369519204	19.1977943502317	0.249001784129976	POSITIVE	CONVERGED	6.9835224490387e-06	1.48039331554465	1	0.223712994578457	1	1	38	38	FALSE	LOW_EVENT_PER_PARAMETER:6.0	ONE_COMPARATOR_PLUS_ONE_CANDIDATE	patient
GSE302495	CD274	PTPN22	38	12	26	2	6	0.278430596321392	1.32105491614342	0.590351280960149	3.49583114751628	0.513154797293403	POSITIVE	CONVERGED	7.05356028692622e-07	2.12087321209533	1	0.145303679311737	1	1	38	38	FALSE	LOW_EVENT_PER_PARAMETER:6.0	ONE_COMPARATOR_PLUS_ONE_CANDIDATE	patient
GSE302495	CD274	AF35	38	12	26	2	6	0.727270897996189	2.06942522160249	0.822551969181458	6.71938682604301	0.128782260165712	POSITIVE	CONVERGED	8.14150018768412e-06	3.88811166212586	1	0.0486290710426123	1	1	38	38	TRUE	LOW_EVENT_PER_PARAMETER:6.0	ONE_COMPARATOR_PLUS_ONE_CANDIDATE	patient
