cohort	analysis	level	n	delta_g_min	delta_g_max	g_min	g_median	g_max	positive_fraction
ERP117672	single_member	one of 35	35	-0.032651290147488354	0.03519927781939591	0.8365643556240171	0.8712069376957375	0.9044149235909014	1.0
ERP117672	random_dropout	10	1000	-0.09735190971649055	0.10145703880081047	0.7718637360550149	0.8659363796683981	0.9706726845723159	1.0
ERP117672	random_dropout	20	1000	-0.14683870342088123	0.1475517241410127	0.7223769423506242	0.8658003538707452	1.0167673699125181	1.0
ERP117672	random_dropout	30	1000	-0.19058238636881553	0.1772410003810594	0.6786332594026899	0.8637431678023098	1.0464566461525648	1.0
ERP117672	random_dropout	40	1000	-0.22809596539340882	0.2227727462008573	0.6411196803780966	0.8616850257203286	1.0919883919723627	1.0
ERP117672	random_dropout	50	1000	-0.33960853070749264	0.28563388279057733	0.5296071150640128	0.8582311053191152	1.1548495285620828	1.0
GSE302495	single_member	one of 35	35	-0.02127741076254064	0.034327276835919074	0.7303089993781626	0.7486551703273111	0.7859136869766223	1.0
GSE302495	random_dropout	10	1000	-0.07536290184089012	0.10010955368643382	0.6762235082998131	0.7477396015917263	0.8516959638271371	1.0
GSE302495	random_dropout	20	1000	-0.12274029749728477	0.14746571231675842	0.6288461126434185	0.7485233935453675	0.8990521224574617	1.0
GSE302495	random_dropout	30	1000	-0.1623145838299922	0.17661618013279545	0.5892718263107111	0.7435452893709582	0.9282025902734987	1.0
GSE302495	random_dropout	40	1000	-0.21718817447308358	0.204159133844368	0.5343982356676197	0.7346440830835045	0.9557455439850713	1.0
GSE302495	random_dropout	50	1000	-0.2520932579113806	0.20838144635411093	0.49949315222932267	0.7339170042270982	0.9599678564948142	1.0
