program_id	position	AF35_gene	matched_gene	distance	pool_rank	sampling_step	master_seed
RANDOM_0001	1	CD3D	GOLGA6L4	0.8233927059287927	84	35	20260908
RANDOM_0001	2	CD3E	CD48	0.56416252530052	135	28	20260908
RANDOM_0001	3	CD3G	RAD51AP1	0.7685529468781834	189	10	20260908
RANDOM_0001	4	CD247	TRPC1	0.34444060087024964	89	11	20260908
RANDOM_0001	5	LCK	GDPD4	0.48316557337468286	159	4	20260908
RANDOM_0001	6	FYN	MSRB1	0.26553167697304303	83	8	20260908
RANDOM_0001	7	ZAP70	DNAH6	0.47323812058198317	139	3	20260908
RANDOM_0001	8	LAT	SMIM11B	0.6258319018988214	34	7	20260908
RANDOM_0001	9	LCP2	GSTZ1	0.5589225425755759	171	34	20260908
RANDOM_0001	10	TRAT1	KRT8P39	0.27433563936201266	27	25	20260908
RANDOM_0001	11	NFKB1	HMBOX1	0.22001027160693018	57	27	20260908
RANDOM_0001	12	REL	CRK	0.2886428695755857	119	1	20260908
RANDOM_0001	13	RELA	TTC17	0.3544802110685255	107	6	20260908
RANDOM_0001	14	NFKBIA	SEC62	0.6085578230604511	178	5	20260908
RANDOM_0001	15	TNFAIP3	SMYD2	0.4304688331217736	106	30	20260908
RANDOM_0001	16	STAT1	ASPH	0.8897235128246903	125	19	20260908
RANDOM_0001	17	IRF1	MTMR2	0.4557686392051057	70	2	20260908
RANDOM_0001	18	IFIT1	PHACTR1	0.44468664833991406	166	24	20260908
RANDOM_0001	19	IFIT2	OCEL1	0.40307526669294713	183	23	20260908
RANDOM_0001	20	IFIT3	ID3	0.2975391507860423	83	16	20260908
RANDOM_0001	21	ISG15	PLEK	0.507659158144526	137	9	20260908
RANDOM_0001	22	MX1	WASH8P	0.5048609504505934	80	14	20260908
RANDOM_0001	23	OAS1	OSBPL1A	0.2478775543508453	10	31	20260908
RANDOM_0001	24	CXCL9	TNNT1	0.9797628347381215	102	20	20260908
RANDOM_0001	25	CXCL10	HMGN2P15	1.2726561059665717	177	22	20260908
RANDOM_0001	26	IFNG	AC133435.1	0.5529564729334883	160	29	20260908
RANDOM_0001	27	TNF	YBX1P1	0.42604300635208225	15	33	20260908
RANDOM_0001	28	CCL5	VLDLR	0.856295862006507	161	17	20260908
RANDOM_0001	29	NKG7	SIGLEC8	0.41263190447777176	73	32	20260908
RANDOM_0001	30	PRF1	PTGER4	0.4649456338459395	167	18	20260908
RANDOM_0001	31	GZMB	CLDN11	0.3276029061614764	10	15	20260908
RANDOM_0001	32	PDCD1	KISS1	0.42602830667262687	167	26	20260908
RANDOM_0001	33	LAG3	ZNF347	0.5038664734385412	175	12	20260908
RANDOM_0001	34	TIGIT	PRICKLE1	0.5209396635413232	93	21	20260908
RANDOM_0001	35	TOX	KIF26B	0.6603099512280861	94	13	20260908
RANDOM_0002	1	CD3D	NOMO3	0.8987592214779712	127	27	20260908
RANDOM_0002	2	CD3E	SLC6A6	0.6048485717316634	169	19	20260908
RANDOM_0002	3	CD3G	SELL	0.6575325170597817	101	10	20260908
RANDOM_0002	4	CD247	ZNF418	0.4190413785358615	162	25	20260908
RANDOM_0002	5	LCK	ABHD17C	0.3610183487261862	56	5	20260908
RANDOM_0002	6	FYN	TFCP2	0.19422635085613485	24	26	20260908
RANDOM_0002	7	ZAP70	FEN1	0.44701231250414075	119	13	20260908
RANDOM_0002	8	LAT	TPTEP1	0.47876087237350634	11	35	20260908
RANDOM_0002	9	LCP2	CYFIP2	0.5152367804504357	118	30	20260908
RANDOM_0002	10	TRAT1	NECAB1	0.4466643098339	191	2	20260908
RANDOM_0002	11	NFKB1	DNAJA3	0.29436151326155885	156	32	20260908
RANDOM_0002	12	REL	RLIM	0.1571692353853369	19	33	20260908
RANDOM_0002	13	RELA	HIPK1	0.37785216841828867	133	17	20260908
RANDOM_0002	14	NFKBIA	ATM	0.44807090485574647	41	4	20260908
RANDOM_0002	15	TNFAIP3	PXDN	0.19862355698194498	2	22	20260908
RANDOM_0002	16	STAT1	EIF3E	0.4191384302743853	10	1	20260908
RANDOM_0002	17	IRF1	SIAE	0.27271656778079056	6	23	20260908
