HE_Annotation	response	x	y	raw_target_score	broad_immune_score	conditional_score	x_hires	y_hires	tissue_hires_scalef	coordinate_status	adjacent_section_status
Tumor	Nonresponder	1203	1638	0.184197412198188	0.475463679381714	-0.774586774821673	802.0000401	1092.0000546	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1798	1468	0.226817035501734	0.357202707775192	0.275609195226621	1198.6667266	978.6667156	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1636	1637	0.293111521292097	0.474342836665245	0.723884308736419	1090.6667212	1091.3333879	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1603	1618	0.266838186928485	0.547301669195702	0.0342512770964452	1068.6667201	1078.6667206	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Stroma	Nonresponder	1473	1431	0.273003509169508	1.07055023956787	-1.79344622546843	982.0000491	954.0000477	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Out-of-bound	Nonresponder	1301	1731	0.172856200458789	0.433304642711656	-0.766065171361084	867.3333767	1154.0000577	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Stroma	Nonresponder	1355	1712	0.223239885842583	0.767520719401891	-1.24179898982105	903.3333785	1141.3333904	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1224	1488	0.26925601846773	0.41386713679923	0.63181766393885	816.0000408	992.0000496	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Stroma	Nonresponder	1235	1507	0.280812708386992	0.56208252209415	0.271967259342971	823.3333745	1004.6667169	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
NA	Nonresponder	1279	1656	0.170053050687755	0.727730044717157	-1.54353270474837	852.6667093	1104.0000552	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1451	1544	0.152616078786928	0.308743650686989	-0.475013683011719	967.3333817	1029.3333848	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Stroma	Nonresponder	1570	1487	0.328299919593207	0.919692024444421	-0.514883781966012	1046.666719	991.3333829	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1744	1674	0.230894546597449	0.390450950361347	0.183605693641413	1162.6667248	1116.0000558	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
NA	Nonresponder	1852	1487	0.183017493468908	0.277600113951754	0.0276055530264619	1234.6667284	991.3333829	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1765	1599	0.233796604401711	0.227953374785805	0.935467270386203	1176.6667255	1066.0000533	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1711	1618	0.133684306023357	0.387743194449381	-1.09979061257576	1140.6667237	1078.6667206	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1560	1656	0.248945841186473	0.550620527966963	-0.195391213414755	1040.000052	1104.0000552	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1398	1600	0.261426316542338	0.650784788009784	-0.478850071080733	932.0000466	1066.66672	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1711	1655	0.192880673738281	0.344928177091697	-0.140738373257378	1140.6667237	1103.3333885	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Out-of-bound	Nonresponder	1613	1337	0.0778738453426403	0.338542940023076	-0.517555513125777	1075.3333871	891.3333779	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Stroma	Nonresponder	1451	1431	0.263843943195828	0.72389509996389	-0.540315588576006	967.3333817	954.0000477	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1808	1524	0.194520262566493	0.235280149253584	0.365846826459954	1205.3333936	1016.0000508	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Adj. liver	Nonresponder	1430	1469	0.151292576502916	0.45822334301806	-1.04777637464108	953.333381	979.3333823	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1754	1505	0.223238682316024	0.257723413985885	0.684358333836967	1169.3333918	1003.3333835	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Stroma	Nonresponder	1440	1375	0.184130990744273	0.505524139505403	-0.500972322004919	960.000048	916.6667125	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
