frozen_script	frozen_sha256	public_script	public_sha256	packaging_changes	scientific_logic_changed
scripts/frozen_originals/03_AF35_measurement/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/01_freeze.py	0cc3ac503b7e1c39b51a424c4124ae9e8a1571c4b7171bbb3ff8c21716225847	scripts/current/03_AF35_measurement/sources/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/01_freeze.py	388e996fb8163cf08efb867f3d2a3820af4f6ea45ffc34101cf5f0178842ced0	Removed authorization-copy statement at rc1 line 6	NO
scripts/frozen_originals/06_clinical/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/02_clinical_utf8.py	374e9a819b42ac4f35dd83e38aa77640d0f2753ab7ee9fb7430d75e86a64b0c6	scripts/current/06_clinical/sources/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/02_clinical_utf8.py	374e9a819b42ac4f35dd83e38aa77640d0f2753ab7ee9fb7430d75e86a64b0c6	Directory relocation only; source content unchanged	NO
scripts/frozen_originals/03_AF35_measurement/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/common.py	79b53526e23ad9c0445e5b71c54d33ef111176508125eb94cf2c403ce134f5a7	scripts/current/03_AF35_measurement/sources/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/common.py	79b53526e23ad9c0445e5b71c54d33ef111176508125eb94cf2c403ce134f5a7	Directory relocation only; source content unchanged	NO
scripts/frozen_originals/06_clinical/AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/00_initialize.py	de42473cd52383c7d9788d251d01db13f34a815b09b846a3a1e59b2e28bf6b81	scripts/current/06_clinical/sources/AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/00_initialize.py	185a0233c508483a6d07bf0d6fe9a358dbaecb5e7ab340bd02f809501ae32724	Removed authorization-copy statement at rc1 line 33	NO
scripts/frozen_originals/06_clinical/AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/03_join_and_analyze.py	04ba04e380b14da575493a8eb086c2f9ae3281c6045108e044268d9d72ac82a1	scripts/current/06_clinical/sources/AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/03_join_and_analyze.py	04ba04e380b14da575493a8eb086c2f9ae3281c6045108e044268d9d72ac82a1	Directory relocation only; source content unchanged	NO
scripts/frozen_originals/06_clinical/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/02_join.py	55e2e29de46935f6278cee0c252c01eff8565c497568a191e4b8560ce2320f16	scripts/current/06_clinical/sources/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/02_join.py	55e2e29de46935f6278cee0c252c01eff8565c497568a191e4b8560ce2320f16	Directory relocation only; source content unchanged	NO
scripts/frozen_originals/06_clinical/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/03_clinical.py	50f887760f70592c0e67d8fa7a20621026d87284c2a451b40ffc6fb3006d1086	scripts/current/06_clinical/sources/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/03_clinical.py	50f887760f70592c0e67d8fa7a20621026d87284c2a451b40ffc6fb3006d1086	Directory relocation only; source content unchanged	NO
scripts/frozen_originals/06_clinical/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/common.py	39cd44b0b3e3e9d6b7f671de36a682120c5965e0eb71d18c6a43be9abb8517f0	scripts/current/06_clinical/sources/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/common.py	39cd44b0b3e3e9d6b7f671de36a682120c5965e0eb71d18c6a43be9abb8517f0	Directory relocation only; source content unchanged	NO
scripts/frozen_originals/06_clinical/AF35_CLONOTYPE_NEUTRALIZED_STATE_OCCUPANCY_v1/scripts/02_clinical.py	353732d8a4db64b59a42497a388b8fb754e3fb7ee193be99a3de2a366c0c93f2	scripts/current/06_clinical/sources/AF35_CLONOTYPE_NEUTRALIZED_STATE_OCCUPANCY_v1/scripts/02_clinical.py	353732d8a4db64b59a42497a388b8fb754e3fb7ee193be99a3de2a366c0c93f2	Directory relocation only; source content unchanged	NO
scripts/frozen_originals/04_clonotype/AF35_CLONOTYPE_NEUTRALIZED_STATE_OCCUPANCY_v1/scripts/common.py	32bf565f22f90f5b09debb7d19ea9ae74e6e03c581201485cd68e9c677bdf684	scripts/current/04_clonotype/sources/AF35_CLONOTYPE_NEUTRALIZED_STATE_OCCUPANCY_v1/scripts/common.py	32bf565f22f90f5b09debb7d19ea9ae74e6e03c581201485cd68e9c677bdf684	Directory relocation only; source content unchanged	NO
scripts/frozen_originals/06_clinical/AF35_COMPONENT_ABLATION_ASSOCIATION_ROBUSTNESS_v1/01_freeze.py	95949958f90c7f6299565d982a7e4370cf0a9e8b843db7f1cb1556d789c4de27	scripts/current/06_clinical/sources/AF35_COMPONENT_ABLATION_ASSOCIATION_ROBUSTNESS_v1/01_freeze.py	8bad726bee33ddcd078f3f1a69fe287042c73d2e23ddb1a1e654ca4eb2523724	Removed authorization-copy statement at rc1 line 90; Removed authorization-only member from administrative hash list; scientific files and checks unchanged	NO
scripts/frozen_originals/06_clinical/AF35_COMPONENT_ABLATION_ASSOCIATION_ROBUSTNESS_v1/05_analyze.py	af73deddd131816a8969724dd3c4ba332f54c33b834ee9fc2cd14d179d2ffc93	scripts/current/06_clinical/sources/AF35_COMPONENT_ABLATION_ASSOCIATION_ROBUSTNESS_v1/05_analyze.py	af73deddd131816a8969724dd3c4ba332f54c33b834ee9fc2cd14d179d2ffc93	Directory relocation only; source content unchanged	NO
scripts/frozen_originals/03_AF35_measurement/AF35_FUNCTIONAL_ROLE_STATE_ARCHITECTURE_v1/scripts/00_initialize.py	87f8985cbf013bab197fc9c607d2ac057e937c2f21407eb78ac567c0a1110cc4	scripts/current/03_AF35_measurement/sources/AF35_FUNCTIONAL_ROLE_STATE_ARCHITECTURE_v1/scripts/00_initialize.py	3a1d176af9052cde4d3cd9697cb0daa64ec99008400ee66391183ebc8b5fbd62	Removed authorization-copy statement at rc1 line 25	NO
scripts/frozen_originals/03_AF35_measurement/AF35_FUNCTIONAL_ROLE_STATE_ARCHITECTURE_v1/scripts/03_molecular_and_state.py	5313c81e2f43ed9bef7fba89d4c70c827f6a047550708b8c00d7a78a87859493	scripts/current/03_AF35_measurement/sources/AF35_FUNCTIONAL_ROLE_STATE_ARCHITECTURE_v1/scripts/03_molecular_and_state.py	5313c81e2f43ed9bef7fba89d4c70c827f6a047550708b8c00d7a78a87859493	Directory relocation only; source content unchanged	NO
scripts/frozen_originals/07_perturbation/AF35_FUNCTIONAL_ROLE_STATE_ARCHITECTURE_v1/scripts/04_recover_frozen_perturbation.py	575fb95de0c68e953a8d7c11f571754a4c51d86c50d2b933ec6b7cd266c20a59	scripts/current/07_perturbation/sources/AF35_FUNCTIONAL_ROLE_STATE_ARCHITECTURE_v1/scripts/04_recover_frozen_perturbation.py	575fb95de0c68e953a8d7c11f571754a4c51d86c50d2b933ec6b7cd266c20a59	Directory relocation only; source content unchanged	NO
scripts/frozen_originals/04_clonotype/AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/03_phaseA_molecular.py	be7201f3ca738d5e3231aceb8a2d6d2d25cc79b9e2c96e67808f1956ba68f8a0	scripts/current/04_clonotype/sources/AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/03_phaseA_molecular.py	be7201f3ca738d5e3231aceb8a2d6d2d25cc79b9e2c96e67808f1956ba68f8a0	Directory relocation only; source content unchanged	NO
