figure	panel	scientific_question	dataset	patient_or_sample_universe	primary_source_table	source_table_sha256	frozen_analysis_script	script_sha256	display_script	display_asset	key_reported_outputs	provenance_status	notes
Figure 1	A	UMAP of the 86,864-cell GSE206325 universe with fixed six-state annotations; feature maps for PTPN22, TCF7, GZMB and CXCL13 share identical coordinates	GSE206325	86,864 GSE206325 T cells; patient is replicate for state associations	derived_data/publication_source_tables/FIGURE1_DISPLAY_UMAP_COORDINATES_V1.tsv | derived_data/publication_source_tables/FIGURE1_MARKER_UMAP_VALUES_V1.tsv	1dd194ef36b6a478dda8a8288319bffbc5c4c9bc29921290cd4f6a854a92e587 | 9fb1e2eea799321a177c73a99a2372de23c5a529e84e3054a407211d55ea96b0	scripts/frozen_originals/02_state_architecture/HCC_ICI_project/04_scripts/phase2/07_functional_program_GSE206325.R	04bf16a79374af34640e2b9581c8b2bfaa80868e1d5a10c4adcd546d45983ef9	scripts/display/figure1/build_figure1.py	新绘图流程/FIGURE1_V6_MICROPOLISH/FIGURE1_V6_MICROPOLISH_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	UMAP of the 86,864-cell GSE206325 universe with fixed six-state annotations; feature maps for PTPN22, TCF7, GZMB and CXCL13 share identical coordinates. Expression is log1p(CP10K).	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility. Listed implementation is relevant archived analysis context; table-only status does not certify a unique production run.
Figure 1	B	Patient-median within-patient Spearman correlations between PTPN22 and six state scores in GSE149614 and GSE326201 (10 patients each), with 95% bootstrap intervals and positive-patient fractions.	GSE149614; GSE326201	10 patients per tissue cohort	derived_data/publication_source_tables/B_STATE_RECURRENCE.tsv	db2e328eccbfdd042956be81d7e647fb00a27ac51c7415fe6739bf6a338a0ff5	scripts/frozen_originals/01_anchor_selection/HCC_ICI_project/04_scripts/04_target_ranking/01_finalize_target_evidence.R	cbd47727a7af09e4776546bfe8003a479debce64ec6d3ab91bc8cebbc6d6b884	scripts/display/figure1/build_figure1.py	新绘图流程/FIGURE1_V6_MICROPOLISH/FIGURE1_V6_MICROPOLISH_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	Patient-median within-patient Spearman correlations between PTPN22 and six state scores in GSE149614 and GSE326201 (10 patients each), with 95% bootstrap intervals and positive-patient fractions.	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility. Listed implementation is relevant archived analysis context; table-only status does not certify a unique production run.
Figure 1	C	UCell maps for TCR activation, cytotoxicity, exhaustion and Treg, together with the 12-program-by-six-state matrix	GSE206325	GSE206325; 86,864 display cells; patient-state summaries	derived_data/publication_source_tables/FIGURE1_FUNCTIONAL_UCELL_VALUES_V1.tsv | derived_data/publication_source_tables/FIGURE1_STATE_PROGRAM_ASSOCIATION_PLOT_READY.tsv	7104e7123e97bdf45df1bcd1e3ca88462f56a7c873c264995f7e270b6add9f42 | 4666f6729fce698b1e894030ad5db08a9157e73f3d5600a3e8dc5fcad8a7cd33	scripts/frozen_originals/02_state_architecture/HCC_ICI_project/04_scripts/phase2/07_functional_program_GSE206325.R	04bf16a79374af34640e2b9581c8b2bfaa80868e1d5a10c4adcd546d45983ef9	scripts/display/figure1/build_figure1.py	新绘图流程/FIGURE1_V6_MICROPOLISH/FIGURE1_V6_MICROPOLISH_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	UCell maps for TCR activation, cytotoxicity, exhaustion and Treg, together with the 12-program-by-six-state matrix. Colored identities denote cell states; program associations are separate quantitative summaries. Matrix entries are β per 1-SD PTPN22, and outlined cells have model-based 95% t confidence intervals excluding zero in patient-state ordinary least-squares models adjusted for response. Outlines do not denote BH-adjusted significance.	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility. Listed implementation is relevant archived analysis context; table-only status does not certify a unique production run.
Figure 1	D	Responder-minus-nonresponder Hedges' *g* in GSE202069 (n=17), GSE215011 (n=10), GSE235863 (n=15) and GSE279750 (n=10)	GSE202069; GSE215011; GSE235863; GSE279750	GSE202069 n=17; GSE215011 n=10; GSE235863 n=15; GSE279750 n=10	derived_data/publication_source_tables/D_FOUR_COHORTS.tsv | derived_data/publication_source_tables/D_PRIMARY_META.tsv	7555162326cb4fa53dbaba94faac9e4e4918913087a61dd2a4ae23985e68c05f | 68f1e0af35276e57ba8b4a4b002ea1a124e07f6ce561df5aeb4e63126785da10	scripts/frozen_originals/04_clonotype/HCC_ICI_project/04_scripts/final_harmonization/01_meta_clone_compartment.R	dfb0657f69e73597197e2090c53adf6695375170bcfb918db6e92620491f169e	scripts/display/figure1/build_figure1.py	新绘图流程/FIGURE1_V6_MICROPOLISH/FIGURE1_V6_MICROPOLISH_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	Responder-minus-nonresponder Hedges' *g* in GSE202069 (n=17), GSE215011 (n=10), GSE235863 (n=15) and GSE279750 (n=10). The REML/HKSJ pooled estimate is 0.807 (95% CI, 0.003–1.611), with a 95% prediction interval of −0.280 to 1.894. The cohorts were not uniformly pretreatment; the estimand is cross-sectional response association.	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility. Listed implementation is relevant archived analysis context; table-only status does not certify a unique production run.
Figure 1	E	GSE235863 pretreatment tumor subset of six patients and 9,088 exact-mapped T cells, using the 20 released state identifiers (not the six-state GSE206325 atlas): patient-level signed standardized covariance between PTPN22 and AF35, partitioned into total, between-state and within-state components for all T cells, CD4 T cells and CD8 T cells before and after technical adjustment.	GSE235863	6 pretreatment tumor patients; 9,088 T cells; 20 states	derived_data/publication_source_tables/E_PATIENT_COMPONENTS.tsv	e8101ebfeee7ab7590335e070de1786470ad4e8284e2e7ef7bda975dfa64d984	scripts/frozen_originals/02_state_architecture/PTPN22_AF35_COUPLING_ARCHITECTURE_v1/scripts/05_run_analysis.py	ba85a05d02e1f02b51a4fa9dbbbca95380f27cefa85d28b1030f2eed580241ed	scripts/display/figure1/build_figure1.py	新绘图流程/FIGURE1_V6_MICROPOLISH/FIGURE1_V6_MICROPOLISH_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	GSE235863 pretreatment tumor subset of six patients and 9,088 exact-mapped T cells, using the 20 released state identifiers (not the six-state GSE206325 atlas): patient-level signed standardized covariance between PTPN22 and AF35, partitioned into total, between-state and within-state components for all T cells, CD4 T cells and CD8 T cells before and after technical adjustment.	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility. Listed implementation is relevant archived analysis context; table-only status does not certify a unique production run.
Figure 1	F	Median total coupling and change in the median between-state component after the documented state omissions.	GSE235863	Same 6 pretreatment tumor patients; lineage/state-omission sensitivities	derived_data/publication_source_tables/F_LINEAGE_SUMMARY.tsv | derived_data/publication_source_tables/F_SINGLE_STATE_LOSO.tsv	2aa607e45aa714ddd7249348dba6a6ac987e6b0cb61423e33d8de137fe853743 | 691d71910ab10f4079ce7e33ee8ee947b944229d87d42eb0f7b090c31d25c105	scripts/frozen_originals/02_state_architecture/PTPN22_STATE_AXIS_SPECIFICITY_v1/scripts/02_analyze.py	4819636986a69d5e917b2d32db05db4da71b080dd06bb12845927a240aceb718	scripts/display/figure1/build_figure1.py	新绘图流程/FIGURE1_V6_MICROPOLISH/FIGURE1_V6_MICROPOLISH_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	Median total coupling and change in the median between-state component after the documented state omissions.	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility. Listed implementation is relevant archived analysis context; table-only status does not certify a unique production run.
Figure 1	G	GSE314342 primary human CD4 T-cell CRISPRi data from four donors at rest and after 8 or 48 h stimulation	Primary human CD4 PTPN22 CRISPRi; original author-defined effects	Primary human CD4 T-cell CRISPRi; 4 donors	derived_data/publication_source_tables/G1_PROGRAM_SHIFTS.tsv | derived_data/publication_source_tables/G1_ORIENTED_GENE_EFFECTS.tsv | derived_data/publication_source_tables/G1_RANDOM_REFERENCES.tsv	8b872e5f624bd98a99342e4e7b48da9207f3a34be7a3cb41fa8b4fc479cf963b | 099cf26cb737a0e9d685695b4af509ad25e65d754dff3d7c085aa5b3833c9593 | 6ac4bd5c70491c81baa1c738e4ec84a8035493a25bad48831552171da5d96805	scripts/frozen_originals/07_perturbation/PTPN22_AF35_PROGRAM_PERTURBATION_PROJECTION_v1/scripts/04_projection.py	9db80882673b5b1744a476da21e11e1963e6c6636db317d908d46e56af707a59	scripts/display/figure1/build_figure1.py	新绘图流程/FIGURE1_V6_MICROPOLISH/FIGURE1_V6_MICROPOLISH_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	GSE314342 primary human CD4 T-cell CRISPRi data from four donors at rest and after 8 or 48 h stimulation. Gene effects are oriented as −log_fc(PTPN22 CRISPRi−non-targeting control); positive values therefore follow the reversed coefficient orientation shown.	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility. Listed implementation is relevant archived analysis context; table-only status does not certify a unique production run.
Figure 1	H	GSE94859 PTPN22 R620W experiment comparing activated-minus-naive AF35 between CC and TT groups	GSE94859	GSE94859 donor genotype contrasts; CC_n/TT_n in source table	derived_data/publication_source_tables/G2_GENOTYPE_EFFECT.tsv | derived_data/publication_source_tables/G2_DONORS.tsv	482e02e4822cf53b85acaee71eef94bade01bb01962f6ce5a6294c8a6739ccdc | 59a6f7ed1bc6ff1d3181c45a611cc94699eb8bf5969b35c5756166ea07fff219	scripts/frozen_originals/07_perturbation/PTPN22_HUMAN_GENETIC_ACTIVATION_Phase1_v1/scripts/02_execute_fixed_analysis.py	7240ac762bf1ba4b607b9d84ff43e1866c541de721ac634825431155ccebd604	scripts/display/figure1/build_figure1.py	新绘图流程/FIGURE1_V6_MICROPOLISH/FIGURE1_V6_MICROPOLISH_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	GSE94859 PTPN22 R620W experiment comparing activated-minus-naive AF35 between CC and TT groups. TT−CC was uncertain (D=−0.355, 95% CI −1.230 to 0.618; Hedges' *g*=−0.331, 95% CI −1.935 to 0.535). Patients or donors are the biological replicates. Supporting annotation, cohort and perturbation results are provided in Supplementary Figs. S1–S3 and Supplementary Tables S4–S5.	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility. Listed implementation is relevant archived analysis context; table-only status does not certify a unique production run.
Figure 2	A	Measurement bridge from PTPN22-associated T-cell state context to distributed gene representation and the AF35 measurement unit.	ERP117672; GSE302495	ERP117672 40 molecular samples; GSE302495 38; outcome-blind measurement	derived_data/publication_source_tables/S03_01.tsv | derived_data/publication_source_tables/S03_04.tsv | derived_data/publication_source_tables/FIGURE1_DISPLAY_UMAP_COORDINATES_V1.tsv | derived_data/publication_source_tables/FIGURE1_MARKER_UMAP_VALUES_V1.tsv | derived_data/publication_source_tables/FIGURE1_STATE_PROGRAM_ASSOCIATION_PLOT_READY.tsv	6e6dc55d06b1c515f788ce4321613f78e4936169107535526d7e4d8443504417 | 9e98004533cc0e15b33ee3dae27bb8012a9ec6e497c0117f1a027ff10fc31bc1 | 1dd194ef36b6a478dda8a8288319bffbc5c4c9bc29921290cd4f6a854a92e587 | 9fb1e2eea799321a177c73a99a2372de23c5a529e84e3054a407211d55ea96b0 | 4666f6729fce698b1e894030ad5db08a9157e73f3d5600a3e8dc5fcad8a7cd33	See release/SCRIPT_ARCHIVE_INDEX.tsv; original producer not uniquely certified		scripts/display/figure2/figure2.py	新绘图流程/POST_EXTERNAL_REVIEW_BOUNDED_REVISION_V1/FIGURE2_POST_REVIEW_REVISION_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	Measurement bridge from PTPN22-associated T-cell state context to distributed gene representation and the AF35 measurement unit.	DISPLAY_ONLY	Definition/conceptual state bridge; fixed 35-gene vector plus existing state display sources; no new metric.
Figure 2	B	Fixed membership grouped by TCR, feedback, scaffold, NF-κB, interferon, output/cytotoxic and checkpoint-related roles, with member-level PTPN22 Spearman correlations in ERP117672 (ERP) and GSE302495 (GSE).	ERP117672; GSE302495	ERP117672 40 molecular samples; GSE302495 38; outcome-blind measurement	derived_data/publication_source_tables/AF35_FUNCTIONAL_ROLE_ANNOTATION.tsv | derived_data/publication_source_tables/AF35_PTPN22_GENE_COUPLING.tsv	b8afaabdbb5e9814b3aeda2a0b2f3559e6d761e8f93264ebfdef78b908849acd | 6e62fdb7f62c6d8ac2e95a09f14e07a299c7293e088817ae542a847827682fe8	scripts/frozen_originals/03_AF35_measurement/AF35_FUNCTIONAL_ROLE_STATE_ARCHITECTURE_v1/scripts/03_molecular_and_state.py	5313c81e2f43ed9bef7fba89d4c70c827f6a047550708b8c00d7a78a87859493	scripts/display/figure2/figure2.py	新绘图流程/POST_EXTERNAL_REVIEW_BOUNDED_REVISION_V1/FIGURE2_POST_REVIEW_REVISION_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	Fixed membership grouped by TCR, feedback, scaffold, NF-κB, interferon, output/cytotoxic and checkpoint-related roles, with member-level PTPN22 Spearman correlations in ERP117672 (ERP) and GSE302495 (GSE).	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility. Listed implementation is relevant archived analysis context; table-only status does not certify a unique production run.
