Figure	Panel	Table	Description	Units	Biological_replicate	Source_dataset
1	A	derived_data/publication_source_tables/FIGURE1_DISPLAY_UMAP_COORDINATES_V1.tsv	UMAP of the 86,864-cell GSE206325 universe with fixed six-state annotations; feature maps for PTPN22, TCF7, GZMB and CXCL13 share identical coordinates	Patient-level association; covariance, program shifts or log1p(CP10K) as labelled	Patient/sample/donor; cells/spots/regions nested	GSE206325
1	A	derived_data/publication_source_tables/FIGURE1_MARKER_UMAP_VALUES_V1.tsv	UMAP of the 86,864-cell GSE206325 universe with fixed six-state annotations; feature maps for PTPN22, TCF7, GZMB and CXCL13 share identical coordinates	Patient-level association; covariance, program shifts or log1p(CP10K) as labelled	Patient/sample/donor; cells/spots/regions nested	GSE206325
1	B	derived_data/publication_source_tables/B_STATE_RECURRENCE.tsv	Patient-median within-patient Spearman correlations between PTPN22 and six state scores in GSE149614 and GSE326201 (10 patients each), with 95% bootstrap intervals and positive-patient fractions.	Patient-level association; covariance, program shifts or log1p(CP10K) as labelled	Patient/sample/donor; cells/spots/regions nested	GSE149614; GSE326201
1	C	derived_data/publication_source_tables/FIGURE1_FUNCTIONAL_UCELL_VALUES_V1.tsv	UCell maps for TCR activation, cytotoxicity, exhaustion and Treg, together with the 12-program-by-six-state matrix	Patient-level association; covariance, program shifts or log1p(CP10K) as labelled	Patient/sample/donor; cells/spots/regions nested	GSE206325
1	C	derived_data/publication_source_tables/FIGURE1_STATE_PROGRAM_ASSOCIATION_PLOT_READY.tsv	UCell maps for TCR activation, cytotoxicity, exhaustion and Treg, together with the 12-program-by-six-state matrix	Patient-level association; covariance, program shifts or log1p(CP10K) as labelled	Patient/sample/donor; cells/spots/regions nested	GSE206325
1	D	derived_data/publication_source_tables/D_FOUR_COHORTS.tsv	Responder-minus-nonresponder Hedges' *g* in GSE202069 (n=17), GSE215011 (n=10), GSE235863 (n=15) and GSE279750 (n=10)	Patient-level association; covariance, program shifts or log1p(CP10K) as labelled	Patient/sample/donor; cells/spots/regions nested	GSE202069; GSE215011; GSE235863; GSE279750
1	D	derived_data/publication_source_tables/D_PRIMARY_META.tsv	Responder-minus-nonresponder Hedges' *g* in GSE202069 (n=17), GSE215011 (n=10), GSE235863 (n=15) and GSE279750 (n=10)	Patient-level association; covariance, program shifts or log1p(CP10K) as labelled	Patient/sample/donor; cells/spots/regions nested	GSE202069; GSE215011; GSE235863; GSE279750
1	E	derived_data/publication_source_tables/E_PATIENT_COMPONENTS.tsv	GSE235863 pretreatment tumor subset of six patients and 9,088 exact-mapped T cells, using the 20 released state identifiers (not the six-state GSE206325 atlas): patient-level signed standardized covariance between PTPN22 and AF35, partitioned into total, between-state and within-state components for all T cells, CD4 T cells and CD8 T cells before and after technical adjustment.	Patient-level association; covariance, program shifts or log1p(CP10K) as labelled	Patient/sample/donor; cells/spots/regions nested	GSE235863
1	F	derived_data/publication_source_tables/F_LINEAGE_SUMMARY.tsv	Median total coupling and change in the median between-state component after the documented state omissions.	Patient-level association; covariance, program shifts or log1p(CP10K) as labelled	Patient/sample/donor; cells/spots/regions nested	GSE235863
1	F	derived_data/publication_source_tables/F_SINGLE_STATE_LOSO.tsv	Median total coupling and change in the median between-state component after the documented state omissions.	Patient-level association; covariance, program shifts or log1p(CP10K) as labelled	Patient/sample/donor; cells/spots/regions nested	GSE235863
1	G	derived_data/publication_source_tables/G1_PROGRAM_SHIFTS.tsv	GSE314342 primary human CD4 T-cell CRISPRi data from four donors at rest and after 8 or 48 h stimulation	Patient-level association; covariance, program shifts or log1p(CP10K) as labelled	Patient/sample/donor; cells/spots/regions nested	Primary human CD4 PTPN22 CRISPRi; original author-defined effects
1	G	derived_data/publication_source_tables/G1_ORIENTED_GENE_EFFECTS.tsv	GSE314342 primary human CD4 T-cell CRISPRi data from four donors at rest and after 8 or 48 h stimulation	Patient-level association; covariance, program shifts or log1p(CP10K) as labelled	Patient/sample/donor; cells/spots/regions nested	Primary human CD4 PTPN22 CRISPRi; original author-defined effects
