manuscript_section	claim_short_name	figure_panel	reported_value	source_table	source_row_or_key	dataset	status
Abstract Results	Abstract central quantitative results	3A,3D,3E,4D,4F,4H,5A,5C,5D	**Results:** Exact linkage recovered 58,872 TCR-associated cells. PTPN22 and AF35 consistently marked expanded, persistent and baseline later-observed clonotypes in 9/9, 7/7 and 7/7 evaluable patients. State adjustment reduced all three AF35 clone-context contrasts to about one-tenth of their unadjusted magnitudes, consistent with preferential T-cell-state representation as the main contributor. In the seven-patient peripheral-blood responder-nonresponder decomposition, clone-size weighting accounted for most of the positive occupancy contrast, which was largely offset by a negative within-state component. The positive spatial direction in the GSE238264 specification context was independently reproduced with stronger evidence in pretreatment Wu (difference in Moran I, 0.137; 95% CI 0.028 to 0.250). AF35-high regions showed higher CD8 T-cell and dendritic-cell composition without corresponding DC-CD8 topological enrichment. In two independent pretreatment ICI cohorts, AF35 Hedges' g was 0.87 (95% CI -0.10 to 2.20) and 0.75 (0.19 to 1.45); single-member deletion and all tested random dropouts preserved the positive clinical-effect direction. Perturbation and comparator analyses placed AF35 within a broader immune-engaged state rather than a uniformly PTPN22-controlled or ICI-exclusive program.	derived_data/publication_source_tables/F5D_SAVED_CONDITIONAL_RANDOM_DRAWS.tsv | derived_data/publication_source_tables/GSE235863_CLONE_PATIENT_SUMMARIES.tsv | derived_data/publication_source_tables/S07_01.tsv | derived_data/publication_source_tables/S07_02.tsv | derived_data/publication_source_tables/S07_03.tsv | derived_data/publication_source_tables/S07_05.tsv | derived_data/publication_source_tables/S07_06.tsv | derived_data/publication_source_tables/S07_07.tsv | derived_data/publication_source_tables/S07_08.tsv | derived_data/publication_source_tables/S08_02.tsv | derived_data/publication_source_tables/S08_03.tsv | derived_data/publication_source_tables/S08_07.tsv | derived_data/publication_source_tables/S09_01.tsv | derived_data/publication_source_tables/S10_01.tsv | derived_data/publication_source_tables/S10_03.tsv | derived_data/publication_source_tables/S10_04.tsv | derived_data/publication_source_tables/S10_05.tsv | derived_data/publication_source_tables/S10_06.tsv | derived_data/publication_source_tables/S11_05.tsv | derived_data/publication_source_tables/S11_06.tsv | derived_data/publication_source_tables/S11_10.tsv | derived_data/publication_source_tables/S12_01.tsv | derived_data/publication_source_tables/S12_02.tsv | derived_data/publication_source_tables/S12_03.tsv | derived_data/publication_source_tables/WU_MICROENVIRONMENT_CELL_TYPE_PATIENT_ROWS.tsv	Same frozen estimates as Results R07-R09/R12-R13/R15-R16; Wu effect/CI rounded to 3 decimals; clinical effects/CI rounded to 2 decimals; counts and direction fractions in ADDITIONAL_CLAIM_CHECKS.tsv	GSE235863; GSE238264; Wu; ERP117672; GSE302495	COMPLETE
Abstract Methods (central definition/population only)	Fixed 35 genes and 35/38 clinical populations	2A,5A	Fixed unsigned equal-weight 35-gene program excluding PTPN22; 35 and 38 clinical patients	config/AF35_genes.txt | derived_data/publication_source_tables/S11_10.tsv	35 unique ordered genes, PTPN22 absent; dataset ERP117672 n=35; GSE302495 n=38	ERP117672; GSE302495	COMPLETE
Results	R01 In the 86,864-cell GSE206325 T-cell atlas, PTPN22 localized within a recurrent architecture spanning	1A,1B,1C	In the 86,864-cell GSE206325 T-cell atlas, PTPN22 localized within a recurrent architecture spanning progenitor, effector, terminally exhausted, proliferating, T follicular helper-like and regulatory states. Feature maps for PTPN22, TCF7, GZMB and CXCL13, together with functional program scores, placed the anchor within an activation-feedback context that combined TCR, NF-κB, interferon, effector and checkpoint-associated features (figure 1A,C; online supplemental figure S1; online supplemental table S4). In GSE149614 [20] and GSE326201 [21] (10 patients each), patient-level correlations reproduced positive directions in effector, terminally exhausted and T follicular helper-like contexts. Terminal-exhaustion correlations were 0.131 (95% CI, 0.037–0.226) and 0.039 (95% CI, 0.012–0.078), respectively (figure 1B).	derived_data/publication_source_tables/B_STATE_RECURRENCE.tsv | derived_data/publication_source_tables/CLAIM_TISSUE_STATE_CORRELATIONS.tsv | derived_data/publication_source_tables/FIGURE1_DISPLAY_UMAP_COORDINATES_V1.tsv | derived_data/publication_source_tables/FIGURE1_FUNCTIONAL_UCELL_VALUES_V1.tsv | derived_data/publication_source_tables/FIGURE1_MARKER_UMAP_VALUES_V1.tsv | derived_data/publication_source_tables/FIGURE1_STATE_PROGRAM_ASSOCIATION_PLOT_READY.tsv | derived_data/publication_source_tables/S04_01.tsv | derived_data/publication_source_tables/S04_02.tsv | derived_data/publication_source_tables/S04_03.tsv	Q0138: PTPN22 / T_terminal_exhaustion; field=median_patient_rho_discovery | Q0139: PTPN22 / T_terminal_exhaustion; field=ci_lower_discovery | Q0140: PTPN22 / T_terminal_exhaustion; field=ci_upper_discovery | Q0141: PTPN22 / T_terminal_exhaustion; field=median_patient_rho_replication | Q0142: PTPN22 / T_terminal_exhaustion; field=ci_lower_replication | Q0143: PTPN22 / T_terminal_exhaustion; field=ci_upper_replication | Q24639: all6states; field=sum n_cells	GSE149614; GSE326201 | GSE206325	COMPLETE
Results	R02 Across four external whole-tumor HCC immunotherapy cohorts—GSE202069 (n=17), GSE215011 (n=10), GSE23	1D	Across four external whole-tumor HCC immunotherapy cohorts—GSE202069 (n=17), GSE215011 (n=10), GSE235863 (n=15) and GSE279750 (n=10)—the responder-minus-nonresponder PTPN22 effect was positive but heterogeneous (figure 1D; online supplemental figure S2; online supplemental table S5). The REML/HKSJ pooled Hedges’ g was 0.807 (95% CI, 0.003–1.611), with a 95% prediction interval of −0.280 to 1.894. Because sampling time was post-treatment or incompletely encoded across these cohorts, this synthesis estimates cross-sectional response association rather than pretreatment prediction.	derived_data/publication_source_tables/D_FOUR_COHORTS.tsv | derived_data/publication_source_tables/D_PRIMARY_META.tsv | derived_data/publication_source_tables/S05_01.tsv	"Q0001: {""model_id"": ""PRIMARY_BULK_TUMOR_REML_HKSJ""}; TSV line 2; field=pooled_hedges_g | Q0002: {""model_id"": ""PRIMARY_BULK_TUMOR_REML_HKSJ""}; TSV line 2; field=ci_low | Q0003: {""model_id"": ""PRIMARY_BULK_TUMOR_REML_HKSJ""}; TSV line 2; field=ci_high | Q0004: {""model_id"": ""PRIMARY_BULK_TUMOR_REML_HKSJ""}; TSV line 2; field=prediction_interval_low | Q0005: {""model_id"": ""PRIMARY_BULK_TUMOR_REML_HKSJ""}; TSV line 2; field=prediction_interval_high"	GSE202069; GSE215011; GSE235863; GSE279750	COMPLETE
Results	R03 In six GSE235863 pretreatment tumor patients (9,088 exact-mapped T cells; 20 released states), patie	1E,1F,1G,1H	In six GSE235863 pretreatment tumor patients (9,088 exact-mapped T cells; 20 released states), patient-level covariance analyses separated total PTPN22–AF35 coupling into between-state and within-state components and showed that their relative contributions varied across T-cell compartments and state-omission analyses (figure 1E,F). Perturbational findings were likewise context dependent. In primary human CD4 T-cell CRISPRi data from four donors [26], PTPN22 perturbation shifted selected TCR-linked outputs at rest and after stimulation without producing uniform AF35 regulation (figure 1G). In the GSE94859 PTPN22 R620W experiment [28], the TT-minus-CC difference in the activated-minus-naive AF35 contrast remained uncertain (D=−0.355, 95% CI −1.230 to 0.618; Hedges’ g=−0.331, 95% CI −1.935 to 0.535; figure 1H). These results support recurrent localization of PTPN22 to an activation-feedback T-cell architecture while leaving its mechanistic effects dependent on cellular and experimental context (online supplemental figure S3; online supplemental table S5).	derived_data/publication_source_tables/E_PATIENT_COMPONENTS.tsv | derived_data/publication_source_tables/F_LINEAGE_SUMMARY.tsv | derived_data/publication_source_tables/F_SINGLE_STATE_LOSO.tsv | derived_data/publication_source_tables/G1_ORIENTED_GENE_EFFECTS.tsv | derived_data/publication_source_tables/G1_PROGRAM_SHIFTS.tsv | derived_data/publication_source_tables/G1_RANDOM_REFERENCES.tsv | derived_data/publication_source_tables/G2_DONORS.tsv | derived_data/publication_source_tables/G2_GENOTYPE_EFFECT.tsv | derived_data/publication_source_tables/S05_03.tsv | derived_data/publication_source_tables/S05_04.tsv	"Q0006: {""program"": ""AF35""}; TSV line 2; field=D_TT_minus_CC | Q0007: {""program"": ""AF35""}; TSV line 2; field=bootstrap_D_CI95_low | Q0008: {""program"": ""AF35""}; TSV line 2; field=bootstrap_D_CI95_high | Q0009: {""program"": ""AF35""}; TSV line 2; field=Hedges_g | Q0010: {""program"": ""AF35""}; TSV line 2; field=bootstrap_g_CI95_low | Q0011: {""program"": ""AF35""}; TSV line 2; field=bootstrap_g_CI95_high | Q24640: 6 primary patient rows; field=sum cell_n"	GSE235863 | GSE94859 | Primary human CD4 PTPN22 CRISPRi; original author-defined effects	COMPLETE
Results	R04 AF35 was defined as a fixed, unsigned, equal-weight 35-gene state readout that excludes PTPN22, ther	2A,2B,2C,2D,2E	AF35 was defined as a fixed, unsigned, equal-weight 35-gene state readout that excludes PTPN22, thereby separating the distributed measurement from its biological anchor (figure 2A). In ERP117672 and GSE302495, its members represented TCR, feedback, scaffold, NF-κB, interferon, effector/cytotoxic and checkpoint-related functions (figure 2B,C). Across all 595 gene pairs, correlation structure was conserved between cohorts (Pearson r=0.711; Spearman rho=0.713; figure 2D). Median pairwise correlation, first-principal-component variance, split-half correlation and Spearman–Brown reliability further supported coherent, cohort-dependent internal structure (figure 2E; online supplemental figure S4).	derived_data/publication_source_tables/AF35_FUNCTIONAL_ROLE_ANNOTATION.tsv | derived_data/publication_source_tables/AF35_PROGRAM_COHERENCE_COVARIANCE_VECTORS.tsv | derived_data/publication_source_tables/AF35_PROGRAM_COHERENCE_CROSS_COHORT.tsv | derived_data/publication_source_tables/AF35_PROGRAM_COHERENCE_GENE_CORRELATION_ERP117672.tsv | derived_data/publication_source_tables/AF35_PROGRAM_COHERENCE_GENE_CORRELATION_GSE302495.tsv | derived_data/publication_source_tables/AF35_PROGRAM_COHERENCE_PCA.tsv | derived_data/publication_source_tables/AF35_PROGRAM_COHERENCE_SPLIT_HALF.tsv | derived_data/publication_source_tables/AF35_PROGRAM_COHERENCE_WITHIN_COHORT_SUMMARY.tsv | derived_data/publication_source_tables/AF35_PTPN22_GENE_COUPLING.tsv | derived_data/publication_source_tables/FIGURE1_DISPLAY_UMAP_COORDINATES_V1.tsv | derived_data/publication_source_tables/FIGURE1_MARKER_UMAP_VALUES_V1.tsv | derived_data/publication_source_tables/FIGURE1_STATE_PROGRAM_ASSOCIATION_PLOT_READY.tsv | derived_data/publication_source_tables/S03_01.tsv | derived_data/publication_source_tables/S03_04.tsv	Q0135: ERP117672__GSE302495; field=pair_n | Q0136: ERP117672__GSE302495; field=covariance_pearson | Q0137: ERP117672__GSE302495; field=covariance_spearman	ERP117672; GSE302495	COMPLETE
Results	R05 Measurement fidelity remained high when individual members were removed without access to outcome la	2F,2G	Measurement fidelity remained high when individual members were removed without access to outcome labels. Leave-one-member-out scores retained 34 of 35 genes and correlated with complete AF35 at rho=0.996998–0.999437 in 40 ERP117672 molecular samples and rho=0.994967–0.998687 in 38 GSE302495 samples (figure 2F). Across 1,000 random draws per cohort and dropout level, removal of 4, 7 or 11 members (nominal 10%, 20% or 30%) also retained high score-to-full correlations (figure 2G). Detection-/variance-ordered dropout, count-depth thinning, rank-based scoring and single-gene dominance analyses gave complementary measurement-sensitivity results (online supplemental figure S5; online supplemental table S6).	derived_data/publication_source_tables/S06_01.tsv | derived_data/publication_source_tables/S06_02.tsv	Q0144: ERP117672 all35 fixed omissions; field=min | Q0145: ERP117672 all35 fixed omissions; field=max | Q0146: GSE302495 all35 fixed omissions; field=min | Q0147: GSE302495 all35 fixed omissions; field=max	ERP117672; GSE302495	COMPLETE
Results	R06 AF35 was additionally compared with 2,000 expression- and detection-matched random programs per coho	2H	AF35 was additionally compared with 2,000 expression- and detection-matched random programs per cohort (figure 2H). Together, these analyses establish cross-cohort structural conservation and outcome-blind score stability.	derived_data/publication_source_tables/AF35_PROGRAM_COHERENCE_RANDOM_REFERENCE_RESULTS.tsv | derived_data/publication_source_tables/AF35_PROGRAM_COHERENCE_RANDOM_REFERENCE_SUMMARY.tsv	Exact panel-specific rows; see MAIN_FIGURE_PANEL_PROVENANCE.tsv and ADDITIONAL_CLAIM_CHECKS.tsv	ERP117672; GSE302495	COMPLETE
Results	R07 Exact integration of GSE235863 linked all 58,872 released TCR-associated barcodes to the processed s	3A,3B,3C	Exact integration of GSE235863 linked all 58,872 released TCR-associated barcodes to the processed single-cell transcriptomes while retaining patient identity, paired CDR3 sequences, clonotype annotation, timepoint and 20 T-cell states (figure 3A,B; online supplemental figure S6; online supplemental table S7). Expansion, within-tissue persistence and baseline-to-later peripheral-blood observation were evaluated in distinct eligible populations of 9, 7 and 7 patients, respectively (figure 3A–D).	derived_data/publication_source_tables/AF35_STATE_FROZEN_SCORE_SUMMARY.tsv | derived_data/publication_source_tables/F3D_EQUAL_PATIENT_DISPLAY_VALUES.tsv | derived_data/publication_source_tables/GSE235863_CLONE_PATIENT_SUMMARIES.tsv | derived_data/publication_source_tables/GSE235863_EXACT_LINKED_TCELL_ATLAS.tsv | derived_data/publication_source_tables/GSE235863_FROZEN_PROGRAM_CELL_SCORES.tsv | derived_data/publication_source_tables/GSE235863_STATE_PROGRAM_MATRIX.tsv | derived_data/publication_source_tables/S07_05.tsv | derived_data/publication_source_tables/S07_07.tsv	Q0016: EXPANSION; field=eligible_patient_n | Q0021: PERSISTENCE; field=eligible_patient_n | Q0026: LATER_OBSERVATION; field=eligible_patient_n	GSE235863	COMPLETE
Results	R08 In this exact-linked cohort, PTPN22 was higher in expanded than singleton clonotypes in all nine eva	3D	In this exact-linked cohort, PTPN22 was higher in expanded than singleton clonotypes in all nine evaluable patients (mean within-patient contrast +0.256 Δlog1p[CP10K], interval +0.203 to +0.304), in persistent than nonpersistent clonotypes in all seven evaluable patients (mean +0.270, +0.212 to +0.323), and at baseline in later-observed than not-later-observed clonotypes in all seven paired patients (median +0.184, +0.033 to +0.198; figure 3). AF35 showed concordant mean contrasts of +0.161, +0.195 and +0.297 in its own standardized projection units (figure 3D). State adjustment attenuated the AF35 expansion contrast from +0.161455 to +0.021711 (95% CI, +0.015418 to +0.028632) and the persistence contrast from +0.195373 to +0.016135 (95% CI, +0.007919 to +0.024352). The later-observation contrast decreased from +0.296884 to +0.031249 (95% CI, −0.005425 to +0.057308). State adjustment therefore reduced each contrast to roughly one-tenth of its unadjusted magnitude, consistent with preferential representation of specific T-cell states as the main contributor to the clone-context AF35 differences (online supplemental figure S7; online supplemental table S7).	derived_data/publication_source_tables/S07_01.tsv | derived_data/publication_source_tables/S07_02.tsv | derived_data/publication_source_tables/S07_03.tsv | derived_data/publication_source_tables/S07_05.tsv | derived_data/publication_source_tables/S07_06.tsv | derived_data/publication_source_tables/S07_07.tsv | derived_data/publication_source_tables/S07_08.tsv	"Q0012: {""identity"": ""AUTHOR_CLONE_ID"", ""context"": ""EXPANSION"", ""score"": ""AF35"", ""estimate"": ""RAW""}; TSV line 4; field=mean_patient_effect | Q0013: {""identity"": ""AUTHOR_CLONE_ID"", ""context"": ""EXPANSION"", ""score"": ""AF35"", ""estimate"": ""STATE_ADJUSTED""}; TSV line 5; field=mean_patient_effect | Q0014: {""identity"": ""AUTHOR_CLONE_ID"", ""context"": ""EXPANSION"", ""score"": ""AF35"", ""estimate"": ""STATE_ADJUSTED""}; TSV line 5; field=bootstrap_ci_low | Q0015: {""identity"": ""AUTHOR_CLONE_ID"", ""context"": ""EXPANSION"", ""score"": ""AF35"", ""estimate"": ""STATE_ADJUSTED""}; TSV line 5; field=bootstrap_ci_high | Q0017: {""identity"": ""AUTHOR_CLONE_ID"", ""context"": ""PERSISTENCE"", ""score"": ""AF35"", ""estimate"": ""RAW""}; TSV line 8; field=mean_patient_effect | Q0018: {""identity"": ""AUTHOR_CLONE_ID"", ""context"": ""PERSISTENCE"", ""score"": ""AF35"", ""estimate"": ""STATE_ADJUSTED""}; TSV line 9; field=mean_patient_effect | Q0019: {""identity"": ""AUTHOR_CLONE_ID"", ""context"": ""PERSISTENCE"", ""score"": ""AF35"", ""estimate"": ""STATE_ADJUSTED""}; TSV line 9; field=bootstrap_ci_low | Q0020: {""identity"": ""AUTHOR_CLONE_ID"", ""context"": ""PERSISTENCE"", ""score"": ""AF35"", ""estimate"": ""STATE_ADJUSTED""}; TSV line 9; field=bootstrap_ci_high | Q0022: {""identity"": ""AUTHOR_CLONE_ID"", ""context"": ""LATER_OBSERVATION"", ""score"": ""AF35"", ""estimate"": ""RAW""}; TSV line 12; field=mean_patient_effect | Q0023: {""identity"": ""AUTHOR_CLONE_ID"", ""context"": ""LATER_OBSERVATION"", ""score"": ""AF35"", ""estimate"": ""STATE_ADJUSTED""}; TSV line 13; field=mean_patient_effect | Q0024: {""identity"": ""AUTHOR_CLONE_ID"", ""context"": ""LATER_OBSERVATION"", ""score"": ""AF35"", ""estimate"": ""STATE_ADJUSTED""}; TSV line 13; field=bootstrap_ci_low | Q0025: {""identity"": ""AUTHOR_CLONE_ID"", ""context"": ""LATER_OBSERVATION"", ""score"": ""AF35"", ""estimate"": ""STATE_ADJUSTED""}; TSV line 13; field=bootstrap_ci_high | Q0126: {""analysis_family"": ""PRIMARY_PATIENT_SUMMARY"", ""analysis_id"": ""blood_unadjusted""}; TSV line 2; field=estimate | Q0127: {""analysis_family"": ""PRIMARY_PATIENT_SUMMARY"", ""analysis_id"": ""blood_unadjusted""}; TSV line 2; field=ci_low | Q0128: {""analysis_family"": ""PRIMARY_PATIENT_SUMMARY"", ""analysis_id"": ""blood_unadjusted""}; TSV line 2; field=ci_high | Q0129: {""metric"": ""expanded_minus_singleton_ptpn22""}; TSV line 2; field=mean_patient_effect | Q0130: {""metric"": ""expanded_minus_singleton_ptpn22""}; TSV line 2; field=bootstrap_ci_low | Q0131: {""metric"": ""expanded_minus_singleton_ptpn22""}; TSV line 2; field=bootstrap_ci_high | Q0132: {""metric"": ""persistent_minus_nonpersistent_ptpn22""}; TSV line 6; field=mean_patient_effect | Q0133: {""metric"": ""persistent_minus_nonpersistent_ptpn22""}; TSV line 6; field=bootstrap_ci_low | Q0134: {""metric"": ""persistent_minus_nonpersistent_ptpn22""}; TSV line 6; field=bootstrap_ci_high"	GSE235863	COMPLETE
