analysis_id	main_or_supp	figure_table_panel	dataset	biological_unit	active_script	config_file	raw_or_source_input	derived_input	input_hash	primary_output	output_hash	source_table	source_table_hash	environment	notes
MAIN_1A	Main	Figure 1A	See source table and data/SOURCE_DATA_MANIFEST.tsv; panel-specific input contract unresolved	Patient/sample; cells/regions are nested observations where applicable	UNRESOLVED_NO_APPROVED_CURRENT_ENTRYPOINT	config/ANALYSIS_PARAMETER_MANIFEST.tsv	UNRESOLVED_PUBLIC_ACQUISITION_CONTRACT	NOT_REDISTRIBUTED_OR_UNRESOLVED		新绘图流程/FIGURE1_V6_MICROPOLISH/FIGURE1_V6_MICROPOLISH_AUTHOR_REVIEW.pdf	0f444f2740e2afa70438871bb99492e8765a305fa022ca49597d67320362d3a9	新绘图流程/FIGURE1_DISPLAY_SUPPORT_UMAP_AND_PROGRAM_ANALYSIS_V1/FIGURE1_DISPLAY_UMAP_COORDINATES_V1.tsv	3278bee103925ec4796d263d77a3568a168b3079e2fcf970576fbf6b13286f93	environment/; historical records only; complete locked environment unavailable	Whole-figure PDF hash identifies the frozen container, not a separately cropped panel. Support-table associations require exact panel-value and producer closure. Source-table paths are original-workspace-relative evidence identifiers, not shipped paths. Candidate code evidence in SOURCE_SCRIPT_EVIDENCE.tsv; display code is not a numerical producer.
MAIN_1B	Main	Figure 1B	See source table and data/SOURCE_DATA_MANIFEST.tsv; panel-specific input contract unresolved	Patient/sample; cells/regions are nested observations where applicable	UNRESOLVED_NO_APPROVED_CURRENT_ENTRYPOINT	config/ANALYSIS_PARAMETER_MANIFEST.tsv	UNRESOLVED_PUBLIC_ACQUISITION_CONTRACT	NOT_REDISTRIBUTED_OR_UNRESOLVED		新绘图流程/FIGURE1_V6_MICROPOLISH/FIGURE1_V6_MICROPOLISH_AUTHOR_REVIEW.pdf	0f444f2740e2afa70438871bb99492e8765a305fa022ca49597d67320362d3a9	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/recovered_sources/scRNA_candidate_state_replication_comparison.tsv	6f29f4393529a0ecc8200abaf92b0f82d80cc9831854f157fec12e9479eb0f01	environment/; historical records only; complete locked environment unavailable	Whole-figure PDF hash identifies the frozen container, not a separately cropped panel. Support-table associations require exact panel-value and producer closure. Source-table paths are original-workspace-relative evidence identifiers, not shipped paths. Candidate code evidence in SOURCE_SCRIPT_EVIDENCE.tsv; display code is not a numerical producer.
MAIN_1C	Main	Figure 1C	See source table and data/SOURCE_DATA_MANIFEST.tsv; panel-specific input contract unresolved	Patient/sample; cells/regions are nested observations where applicable	UNRESOLVED_NO_APPROVED_CURRENT_ENTRYPOINT	config/ANALYSIS_PARAMETER_MANIFEST.tsv	UNRESOLVED_PUBLIC_ACQUISITION_CONTRACT	NOT_REDISTRIBUTED_OR_UNRESOLVED		新绘图流程/FIGURE1_V6_MICROPOLISH/FIGURE1_V6_MICROPOLISH_AUTHOR_REVIEW.pdf	0f444f2740e2afa70438871bb99492e8765a305fa022ca49597d67320362d3a9	绘图视觉/FIGURE1_FINAL_DATA_DRIVEN_PRODUCTION_V1/figure_ready/C_PROGRAM_STATE.tsv | HCC_ICI_BIOLOGICAL_RESOLUTION_BR1_v1/data/FIGURE1_STATE_PROGRAM_ASSOCIATION_PLOT_READY.tsv	5c2e56f0ec741d901957e0bf13f059a246332308b3fef20641138ab6eff5270a | 5c2e56f0ec741d901957e0bf13f059a246332308b3fef20641138ab6eff5270a	environment/; historical records only; complete locked environment unavailable	Whole-figure PDF hash identifies the frozen container, not a separately cropped panel. Support-table associations require exact panel-value and producer closure. Program map vectors remain unresolved. Source-table paths are original-workspace-relative evidence identifiers, not shipped paths. Candidate code evidence in SOURCE_SCRIPT_EVIDENCE.tsv; display code is not a numerical producer.
MAIN_1D	Main	Figure 1D	See source table and data/SOURCE_DATA_MANIFEST.tsv; panel-specific input contract unresolved	Patient/sample; cells/regions are nested observations where applicable	UNRESOLVED_NO_APPROVED_CURRENT_ENTRYPOINT	config/ANALYSIS_PARAMETER_MANIFEST.tsv	UNRESOLVED_PUBLIC_ACQUISITION_CONTRACT	NOT_REDISTRIBUTED_OR_UNRESOLVED		新绘图流程/FIGURE1_V6_MICROPOLISH/FIGURE1_V6_MICROPOLISH_AUTHOR_REVIEW.pdf	0f444f2740e2afa70438871bb99492e8765a305fa022ca49597d67320362d3a9	HCC_ICI_project/05_results/tables/final_harmonization/PTPN22_FINAL_META_MODELS.tsv	51dc935060c676ea5b380abd4b92f322eb6bf0cb55b9164cc7b6c4b4da4b63f6	environment/; historical records only; complete locked environment unavailable	Whole-figure PDF hash identifies the frozen container, not a separately cropped panel. Support-table associations require exact panel-value and producer closure. Source-table paths are original-workspace-relative evidence identifiers, not shipped paths. Candidate code evidence in SOURCE_SCRIPT_EVIDENCE.tsv; display code is not a numerical producer.
MAIN_1E	Main	Figure 1E	See source table and data/SOURCE_DATA_MANIFEST.tsv; panel-specific input contract unresolved	Patient/sample; cells/regions are nested observations where applicable	UNRESOLVED_NO_APPROVED_CURRENT_ENTRYPOINT	config/ANALYSIS_PARAMETER_MANIFEST.tsv	UNRESOLVED_PUBLIC_ACQUISITION_CONTRACT	NOT_REDISTRIBUTED_OR_UNRESOLVED		新绘图流程/FIGURE1_V6_MICROPOLISH/FIGURE1_V6_MICROPOLISH_AUTHOR_REVIEW.pdf	0f444f2740e2afa70438871bb99492e8765a305fa022ca49597d67320362d3a9	PTPN22_AF35_COUPLING_ARCHITECTURE_v1/03_primary/PTPN22_AF35_PATIENT_COUPLING_DECOMPOSITION.tsv	9304e6c0e09e82113aec38e501cd673fbbbf0c7859fab6b44e82eea8ebeee620	environment/; historical records only; complete locked environment unavailable	Whole-figure PDF hash identifies the frozen container, not a separately cropped panel. Support-table associations require exact panel-value and producer closure. Source-table paths are original-workspace-relative evidence identifiers, not shipped paths. Candidate code evidence in SOURCE_SCRIPT_EVIDENCE.tsv; display code is not a numerical producer.
MAIN_1F	Main	Figure 1F	See source table and data/SOURCE_DATA_MANIFEST.tsv; panel-specific input contract unresolved	Patient/sample; cells/regions are nested observations where applicable	UNRESOLVED_NO_APPROVED_CURRENT_ENTRYPOINT	config/ANALYSIS_PARAMETER_MANIFEST.tsv	UNRESOLVED_PUBLIC_ACQUISITION_CONTRACT	NOT_REDISTRIBUTED_OR_UNRESOLVED		新绘图流程/FIGURE1_V6_MICROPOLISH/FIGURE1_V6_MICROPOLISH_AUTHOR_REVIEW.pdf	0f444f2740e2afa70438871bb99492e8765a305fa022ca49597d67320362d3a9	PTPN22_AF35_COUPLING_ARCHITECTURE_v1/07_robustness/PTPN22_AF35_TECHNICAL_SENSITIVITY.tsv | PTPN22_AF35_COUPLING_ARCHITECTURE_v1/07_robustness/PTPN22_AF35_RARE_STATE_SENSITIVITY.tsv	24eaecfa209ffb87ccababfbc9a308706eb8474b516977b001ff2643e1b8e4a1 | a0d986348735093695610e6254c3a5d47e49b909ba6bfb15f8e91a16ad6d04ff	environment/; historical records only; complete locked environment unavailable	Whole-figure PDF hash identifies the frozen container, not a separately cropped panel. Support-table associations require exact panel-value and producer closure. Source-table paths are original-workspace-relative evidence identifiers, not shipped paths. Candidate code evidence in SOURCE_SCRIPT_EVIDENCE.tsv; display code is not a numerical producer.
MAIN_1G	Main	Figure 1G	See source table and data/SOURCE_DATA_MANIFEST.tsv; panel-specific input contract unresolved	Patient/sample; cells/regions are nested observations where applicable	UNRESOLVED_NO_APPROVED_CURRENT_ENTRYPOINT	config/ANALYSIS_PARAMETER_MANIFEST.tsv	UNRESOLVED_PUBLIC_ACQUISITION_CONTRACT	NOT_REDISTRIBUTED_OR_UNRESOLVED		新绘图流程/FIGURE1_V6_MICROPOLISH/FIGURE1_V6_MICROPOLISH_AUTHOR_REVIEW.pdf	0f444f2740e2afa70438871bb99492e8765a305fa022ca49597d67320362d3a9	HCC_ICI_project/05_results/tables/phase17a_public_perturbation/PHASE17A_GSE314342_TARGET_QC.tsv | PTPN22_AF35_PROGRAM_PERTURBATION_PROJECTION_v1/PTPN22_AF35_GENE_LEVEL_FROZEN_EFFECTS.tsv	0bedd95fbccc9afb1aa96329778878ff4ffb7b6b64666a7c0362e607a798cb21 | 7b1499bf19586de4d4c9e7ce493f1a546da0ab0ea0a4f2d6e51607b56b4a38c4	environment/; historical records only; complete locked environment unavailable	Whole-figure PDF hash identifies the frozen container, not a separately cropped panel. Support-table associations require exact panel-value and producer closure. Source-table paths are original-workspace-relative evidence identifiers, not shipped paths. Candidate code evidence in SOURCE_SCRIPT_EVIDENCE.tsv; display code is not a numerical producer.
MAIN_1H	Main	Figure 1H	See source table and data/SOURCE_DATA_MANIFEST.tsv; panel-specific input contract unresolved	Patient/sample; cells/regions are nested observations where applicable	UNRESOLVED_NO_APPROVED_CURRENT_ENTRYPOINT	config/ANALYSIS_PARAMETER_MANIFEST.tsv	UNRESOLVED_PUBLIC_ACQUISITION_CONTRACT	NOT_REDISTRIBUTED_OR_UNRESOLVED		新绘图流程/FIGURE1_V6_MICROPOLISH/FIGURE1_V6_MICROPOLISH_AUTHOR_REVIEW.pdf	0f444f2740e2afa70438871bb99492e8765a305fa022ca49597d67320362d3a9	PTPN22_HUMAN_GENETIC_ACTIVATION_Phase1_v1/03_primary/GSE94859_AF35_GENOTYPE_INTERACTION.tsv	482e02e4822cf53b85acaee71eef94bade01bb01962f6ce5a6294c8a6739ccdc	environment/; historical records only; complete locked environment unavailable	Whole-figure PDF hash identifies the frozen container, not a separately cropped panel. Support-table associations require exact panel-value and producer closure. Source-table paths are original-workspace-relative evidence identifiers, not shipped paths. Candidate code evidence in SOURCE_SCRIPT_EVIDENCE.tsv; display code is not a numerical producer.
MAIN_2A	Main	Figure 2A	See source table and data/SOURCE_DATA_MANIFEST.tsv; panel-specific input contract unresolved	Patient/sample; cells/regions are nested observations where applicable	NOT_APPLICABLE_FIXED_DEFINITION	config/AF35_genes.txt	config/AF35_genes.txt	NOT_REDISTRIBUTED_OR_UNRESOLVED	f77262b6aee757fdacdb240eef4c5e820f92ecdfb087dfc354e5dee5f96c1835	新绘图流程/POST_EXTERNAL_REVIEW_BOUNDED_REVISION_V1/FIGURE2_POST_REVIEW_REVISION_AUTHOR_REVIEW.pdf	1f4d09f3d7cf7f1b7cb2a444aaeae01aa260c478173ad979b7a2893bcfb745aa	config/AF35_genes.txt	f77262b6aee757fdacdb240eef4c5e820f92ecdfb087dfc354e5dee5f96c1835	environment/; historical records only; complete locked environment unavailable	Whole-figure PDF hash identifies the frozen container, not a separately cropped panel. Support-table associations require exact panel-value and producer closure. Source-table paths are original-workspace-relative evidence identifiers, not shipped paths. Candidate code evidence in SOURCE_SCRIPT_EVIDENCE.tsv; display code is not a numerical producer.
MAIN_2B	Main	Figure 2B	See source table and data/SOURCE_DATA_MANIFEST.tsv; panel-specific input contract unresolved	Patient/sample; cells/regions are nested observations where applicable	UNRESOLVED_NO_APPROVED_CURRENT_ENTRYPOINT	config/ANALYSIS_PARAMETER_MANIFEST.tsv	UNRESOLVED_PUBLIC_ACQUISITION_CONTRACT	NOT_REDISTRIBUTED_OR_UNRESOLVED		新绘图流程/POST_EXTERNAL_REVIEW_BOUNDED_REVISION_V1/FIGURE2_POST_REVIEW_REVISION_AUTHOR_REVIEW.pdf	1f4d09f3d7cf7f1b7cb2a444aaeae01aa260c478173ad979b7a2893bcfb745aa	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/AF35_PLATFORM_SPECIFICATION.tsv	9e98004533cc0e15b33ee3dae27bb8012a9ec6e497c0117f1a027ff10fc31bc1	environment/; historical records only; complete locked environment unavailable	Whole-figure PDF hash identifies the frozen container, not a separately cropped panel. Support-table associations require exact panel-value and producer closure. Source-table paths are original-workspace-relative evidence identifiers, not shipped paths. Candidate code evidence in SOURCE_SCRIPT_EVIDENCE.tsv; display code is not a numerical producer.
