analysis_id	main_or_supp	figure_table_panel	status	source_table_identified	analysis_script_verified	fixed_input_verified	environment_verified	claim_supporting	missing_link
MAIN_1A	Main	Figure 1A	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_1B	Main	Figure 1B	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_1C	Main	Figure 1C	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_1D	Main	Figure 1D	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_1E	Main	Figure 1E	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_1F	Main	Figure 1F	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_1G	Main	Figure 1G	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_1H	Main	Figure 1H	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_2A	Main	Figure 2A	TRACE_COMPLETE	YES	NOT_APPLICABLE_FIXED_DEFINITION	YES	NOT_APPLICABLE_FIXED_DEFINITION	YES	
MAIN_2B	Main	Figure 2B	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_2C	Main	Figure 2C	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_2D	Main	Figure 2D	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_2E	Main	Figure 2E	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_2F	Main	Figure 2F	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_2G	Main	Figure 2G	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_2H	Main	Figure 2H	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_3A	Main	Figure 3A	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_3B	Main	Figure 3B	TRACE_INCOMPLETE	NO	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_3C	Main	Figure 3C	TRACE_INCOMPLETE	NO	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_3D	Main	Figure 3D	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_3E	Main	Figure 3E	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_3F	Main	Figure 3F	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_3G	Main	Figure 3G	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_3H	Main	Figure 3H	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_4A	Main	Figure 4A	TRACE_INCOMPLETE	NO	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
