file	target	status
derived_data/publication_source_tables/README.md	../../release/FINAL_SOURCE_TABLE_BINDINGS.tsv	PASS
derived_data/publication_source_tables/README.md	../../release/MAIN_TABLE_INDEX.tsv	PASS
derived_data/publication_source_tables/README.md	../../release/SUPPLEMENT_PROVENANCE_INDEX.tsv	PASS
docs/ANALYSIS_ORDER.md	RUNNING_ARCHIVED_SCRIPTS.md	PASS
docs/ANALYSIS_ORDER.md	REPRODUCIBILITY_SCOPE.md	PASS
docs/ANALYSIS_ORDER.md	../release/MAIN_FIGURE_PANEL_PROVENANCE.tsv	PASS
docs/REPRODUCIBILITY_NOTES.md	RUNNING_ARCHIVED_SCRIPTS.md	PASS
docs/REPRODUCIBILITY_NOTES.md	REPRODUCIBILITY_SCOPE.md	PASS
docs/REPRODUCIBILITY_NOTES.md	../release/MAIN_FIGURE_PANEL_PROVENANCE.tsv	PASS
PUBLIC_REPOSITORY_RELEASE_GATE.md	release/RC3_VALIDATION.tsv	PASS
PUBLIC_REPOSITORY_RELEASE_GATE.md	release/MAIN_FIGURE_PANEL_PROVENANCE.tsv	PASS
PUBLIC_REPOSITORY_RELEASE_GATE.md	release/MANUSCRIPT_RESULT_SOURCE_MAP.tsv	PASS
PUBLIC_REPOSITORY_RELEASE_GATE.md	docs/REPRODUCIBILITY_SCOPE.md	PASS
README.md	docs/REPRODUCIBILITY_SCOPE.md	PASS
README.md	config/AF35_genes.txt	PASS
README.md	docs/AF35_PROVENANCE.md	PASS
README.md	release/MAIN_FIGURE_PANEL_PROVENANCE.tsv	PASS
README.md	release/MANUSCRIPT_RESULT_SOURCE_MAP.tsv	PASS
README.md	data/SOURCE_DATA_MANIFEST.tsv	PASS
README.md	data/DOWNLOAD_INSTRUCTIONS.md	PASS
README.md	release/SCRIPT_ARCHIVE_INDEX.tsv	PASS
README.md	docs/RUNNING_ARCHIVED_SCRIPTS.md	PASS
README.md	derived_data/publication_source_tables/README.md	PASS
README.md	release/FINAL_SOURCE_TABLE_BINDINGS.tsv	PASS
README.md	release/SUPPLEMENT_PROVENANCE_INDEX.tsv	PASS
README.md	environment/README.md	PASS
README.md	PUBLIC_REPOSITORY_RELEASE_GATE.md	PASS
README.md	CITATION.cff	PASS
README.md	ZENODO_METADATA_DRAFT.md	PASS
README.md	LICENSE	PASS
scripts/current/01_anchor/README.md	../../../release/SCRIPT_ARCHIVE_INDEX.tsv	PASS
scripts/current/01_anchor/README.md	../../../release/MAIN_FIGURE_PANEL_PROVENANCE.tsv	PASS
scripts/current/01_anchor/README.md	../../../docs/RUNNING_ARCHIVED_SCRIPTS.md	PASS
scripts/current/02_state/README.md	../../../release/SCRIPT_ARCHIVE_INDEX.tsv	PASS
scripts/current/02_state/README.md	../../../release/MAIN_FIGURE_PANEL_PROVENANCE.tsv	PASS
scripts/current/02_state/README.md	../../../docs/RUNNING_ARCHIVED_SCRIPTS.md	PASS
scripts/current/03_AF35_measurement/README.md	../../../release/SCRIPT_ARCHIVE_INDEX.tsv	PASS
scripts/current/03_AF35_measurement/README.md	../../../release/MAIN_FIGURE_PANEL_PROVENANCE.tsv	PASS
scripts/current/03_AF35_measurement/README.md	../../../docs/RUNNING_ARCHIVED_SCRIPTS.md	PASS
scripts/current/04_clonotype/README.md	../../../release/SCRIPT_ARCHIVE_INDEX.tsv	PASS
scripts/current/04_clonotype/README.md	../../../release/MAIN_FIGURE_PANEL_PROVENANCE.tsv	PASS
scripts/current/04_clonotype/README.md	../../../docs/RUNNING_ARCHIVED_SCRIPTS.md	PASS
scripts/current/05_spatial/README.md	../../../release/SCRIPT_ARCHIVE_INDEX.tsv	PASS
scripts/current/05_spatial/README.md	../../../release/MAIN_FIGURE_PANEL_PROVENANCE.tsv	PASS
scripts/current/05_spatial/README.md	../../../docs/RUNNING_ARCHIVED_SCRIPTS.md	PASS
scripts/current/06_clinical/README.md	../../../release/SCRIPT_ARCHIVE_INDEX.tsv	PASS
scripts/current/06_clinical/README.md	../../../release/MAIN_FIGURE_PANEL_PROVENANCE.tsv	PASS
scripts/current/06_clinical/README.md	../../../docs/RUNNING_ARCHIVED_SCRIPTS.md	PASS
scripts/current/07_perturbation/README.md	../../../release/SCRIPT_ARCHIVE_INDEX.tsv	PASS
scripts/current/07_perturbation/README.md	../../../release/MAIN_FIGURE_PANEL_PROVENANCE.tsv	PASS
scripts/current/07_perturbation/README.md	../../../docs/RUNNING_ARCHIVED_SCRIPTS.md	PASS
scripts/frozen_originals/README.md	../../release/SCRIPT_ARCHIVE_INDEX.tsv	PASS
scripts/frozen_originals/README.md	../../docs/RUNNING_ARCHIVED_SCRIPTS.md	PASS
supplement/README.md	../release/SUPPLEMENT_PROVENANCE_INDEX.tsv	PASS
