item	source_table_available	source_table_path	analysis_script_available	script_path	dataset	status	notes
Table S1 part 1	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S01_01.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Datasets actually used and distinct analytical populations; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S1 part 2	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S01_02.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Historical screened and context-only datasets not used for current main conclusions; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S2 part 1	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S02_01.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Biological-anchor candidate evidence weighting; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S2 part 2	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S02_02.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Biological-anchor candidate evidence weighting; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S3 part 1	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S03_01.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	AF35 ordered gene definition and source chronology; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S3 part 2	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S03_02.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Documented AF35 source chronology; local-copy timestamps; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S3 part 3	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S03_03.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Recorded AF35 membership reuse evidence; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S3 part 4	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S03_04.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	AF35 platform specification and assay-specific scales; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S4 part 1	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S04_01.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Figure 1 single-cell state and functional-program support; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S4 part 2	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S04_02.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Figure 1 single-cell state and functional-program support; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S4 part 3	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S04_03.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Figure 1 single-cell state and functional-program support; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S4 part 4	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S04_04.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Figure 1 single-cell state and functional-program support; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S4 part 5	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S04_05.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Figure 1 single-cell state and functional-program support; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S5 part 1	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S05_01.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Figure 1 whole-tumor, perturbation and genetic estimates; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S5 part 2	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S05_02.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Figure 1 whole-tumor, perturbation and genetic estimates; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S5 part 3	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S05_03.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Figure 1 whole-tumor, perturbation and genetic estimates; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S5 part 4	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S05_04.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Figure 1 whole-tumor, perturbation and genetic estimates; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S5 part 5	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S05_05.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Figure 1 whole-tumor, perturbation and genetic estimates; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S5 part 6	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S05_06.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Figure 1 whole-tumor, perturbation and genetic estimates; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S5 part 7	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S05_07.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Figure 1 whole-tumor, perturbation and genetic estimates; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S5 part 8	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S05_08.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Figure 1 whole-tumor, perturbation and genetic estimates; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S5 part 9	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S05_09.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Figure 1 whole-tumor, perturbation and genetic estimates; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S5 part 10	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S05_10.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Figure 1 whole-tumor, perturbation and genetic estimates; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S5 part 11	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S05_11.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Figure 1 whole-tumor, perturbation and genetic estimates; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S5 part 12	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S05_12.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Figure 1 whole-tumor, perturbation and genetic estimates; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S5 part 13	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S05_13.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Figure 1 whole-tumor, perturbation and genetic estimates; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
