file	action	change	scientific_calculations	source_sha256	public_sha256
scripts/03_AF35_measurement/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/01_freeze.py	REDACTED	Absolute project root -> relative working directory; private/local resources -> unavailable relative dependency where present	Unchanged; guards retained	ff621312b0f8f874d3dda55b2a05cf381ac2d1899e76a34e6e6cf2f688c126b9	0cc3ac503b7e1c39b51a424c4124ae9e8a1571c4b7171bbb3ff8c21716225847
scripts/06_clinical/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/02_clinical_utf8.py	SAFE_PUBLIC	No absolute machine path	Unchanged	374e9a819b42ac4f35dd83e38aa77640d0f2753ab7ee9fb7430d75e86a64b0c6	374e9a819b42ac4f35dd83e38aa77640d0f2753ab7ee9fb7430d75e86a64b0c6
scripts/03_AF35_measurement/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/common.py	REDACTED	Absolute project root -> relative working directory; private/local resources -> unavailable relative dependency where present	Unchanged; guards retained	1f2c8c9d8d1f8872c25d625d7630b8f09ac4aab0feaa0ce696d4be15eed5d885	79b53526e23ad9c0445e5b71c54d33ef111176508125eb94cf2c403ce134f5a7
scripts/06_clinical/AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/00_initialize.py	REDACTED	Absolute project root -> relative working directory; private/local resources -> unavailable relative dependency where present	Unchanged; guards retained	fec77133d593f8739dba6dadb3edcc489ab9bbc17f5a156fb0b12f22891012e7	de42473cd52383c7d9788d251d01db13f34a815b09b846a3a1e59b2e28bf6b81
scripts/06_clinical/AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/03_join_and_analyze.py	SAFE_PUBLIC	No absolute machine path	Unchanged	04ba04e380b14da575493a8eb086c2f9ae3281c6045108e044268d9d72ac82a1	04ba04e380b14da575493a8eb086c2f9ae3281c6045108e044268d9d72ac82a1
scripts/06_clinical/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/02_join.py	SAFE_PUBLIC	No absolute machine path	Unchanged	55e2e29de46935f6278cee0c252c01eff8565c497568a191e4b8560ce2320f16	55e2e29de46935f6278cee0c252c01eff8565c497568a191e4b8560ce2320f16
scripts/06_clinical/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/03_clinical.py	SAFE_PUBLIC	No absolute machine path	Unchanged	50f887760f70592c0e67d8fa7a20621026d87284c2a451b40ffc6fb3006d1086	50f887760f70592c0e67d8fa7a20621026d87284c2a451b40ffc6fb3006d1086
scripts/06_clinical/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/common.py	REDACTED	Absolute project root -> relative working directory; private/local resources -> unavailable relative dependency where present	Unchanged; guards retained	5d07beb777ba2c36a3dedc90d0d0ded4ee78773eba969c1e79883f55eda04c2d	39cd44b0b3e3e9d6b7f671de36a682120c5965e0eb71d18c6a43be9abb8517f0
scripts/06_clinical/AF35_CLONOTYPE_NEUTRALIZED_STATE_OCCUPANCY_v1/scripts/02_clinical.py	SAFE_PUBLIC	No absolute machine path	Unchanged	353732d8a4db64b59a42497a388b8fb754e3fb7ee193be99a3de2a366c0c93f2	353732d8a4db64b59a42497a388b8fb754e3fb7ee193be99a3de2a366c0c93f2
scripts/04_clonotype/AF35_CLONOTYPE_NEUTRALIZED_STATE_OCCUPANCY_v1/scripts/common.py	REDACTED	Absolute project root -> relative working directory; private/local resources -> unavailable relative dependency where present	Unchanged; guards retained	b7acb8c8e10a95395fa995116ed4702b7912f32a7ee8c1046b8480bec32f11cd	32bf565f22f90f5b09debb7d19ea9ae74e6e03c581201485cd68e9c677bdf684
scripts/06_clinical/AF35_COMPONENT_ABLATION_ASSOCIATION_ROBUSTNESS_v1/01_freeze.py	REDACTED	Absolute project root -> relative working directory; private/local resources -> unavailable relative dependency where present	Unchanged; guards retained	48910047a97292685e28b1dd1ea3fd4bb458b576b060c6c11e813187c7534efc	95949958f90c7f6299565d982a7e4370cf0a9e8b843db7f1cb1556d789c4de27
scripts/06_clinical/AF35_COMPONENT_ABLATION_ASSOCIATION_ROBUSTNESS_v1/05_analyze.py	SAFE_PUBLIC	No absolute machine path	Unchanged	af73deddd131816a8969724dd3c4ba332f54c33b834ee9fc2cd14d179d2ffc93	af73deddd131816a8969724dd3c4ba332f54c33b834ee9fc2cd14d179d2ffc93
scripts/03_AF35_measurement/AF35_FUNCTIONAL_ROLE_STATE_ARCHITECTURE_v1/scripts/00_initialize.py	REDACTED	Absolute project root -> relative working directory; private/local resources -> unavailable relative dependency where present	Unchanged; guards retained	422b6d5346cbe36abacf5ce135a1c9b0db9f50003db9e10b48dde3910b773e10	87f8985cbf013bab197fc9c607d2ac057e937c2f21407eb78ac567c0a1110cc4
