file	line	match_class	status	assessment
docs/AF35_PROVENANCE.md	11	session	SAFE_PUBLIC	Scientific software/session record, local guard or documented policy; not a credential value
docs/REPRODUCIBILITY_NOTES.md	19	authorization	SAFE_PUBLIC	Scientific software/session record, local guard or documented policy; not a credential value
environment/Python_environment.txt	3	session	SAFE_PUBLIC	Scientific software/session record, local guard or documented policy; not a credential value
environment/R_environment.txt	2	session	SAFE_PUBLIC	Scientific software/session record, local guard or documented policy; not a credential value
environment/RECORDED_ENVIRONMENT_SOURCES.tsv	2	session	SAFE_PUBLIC	Scientific software/session record, local guard or documented policy; not a credential value
environment/RECORDED_ENVIRONMENT_SOURCES.tsv	2	session	SAFE_PUBLIC	Scientific software/session record, local guard or documented policy; not a credential value
environment/RECORDED_ENVIRONMENT_SOURCES.tsv	3	session	SAFE_PUBLIC	Scientific software/session record, local guard or documented policy; not a credential value
environment/RECORDED_ENVIRONMENT_SOURCES.tsv	4	session	SAFE_PUBLIC	Scientific software/session record, local guard or documented policy; not a credential value
environment/RECORDED_ENVIRONMENT_SOURCES.tsv	4	session	SAFE_PUBLIC	Scientific software/session record, local guard or documented policy; not a credential value
environment/RECORDED_ENVIRONMENT_SOURCES.tsv	5	session	SAFE_PUBLIC	Scientific software/session record, local guard or documented policy; not a credential value
environment/RECORDED_ENVIRONMENT_SOURCES.tsv	6	session	SAFE_PUBLIC	Scientific software/session record, local guard or documented policy; not a credential value
environment/RECORDED_ENVIRONMENT_SOURCES.tsv	6	session	SAFE_PUBLIC	Scientific software/session record, local guard or documented policy; not a credential value
environment/RECORDED_ENVIRONMENT_SOURCES.tsv	7	session	SAFE_PUBLIC	Scientific software/session record, local guard or documented policy; not a credential value
environment/RECORDED_ENVIRONMENT_SOURCES.tsv	7	session	SAFE_PUBLIC	Scientific software/session record, local guard or documented policy; not a credential value
environment/RECORDED_ENVIRONMENT_SOURCES.tsv	8	session	SAFE_PUBLIC	Scientific software/session record, local guard or documented policy; not a credential value
environment/RECORDED_ENVIRONMENT_SOURCES.tsv	8	session	SAFE_PUBLIC	Scientific software/session record, local guard or documented policy; not a credential value
environment/RECORDED_ENVIRONMENT_SOURCES.tsv	9	session	SAFE_PUBLIC	Scientific software/session record, local guard or documented policy; not a credential value
environment/RECORDED_ENVIRONMENT_SOURCES.tsv	9	session	SAFE_PUBLIC	Scientific software/session record, local guard or documented policy; not a credential value
environment/RECORDED_ENVIRONMENT_SOURCES.tsv	10	session	SAFE_PUBLIC	Scientific software/session record, local guard or documented policy; not a credential value
environment/RECORDED_ENVIRONMENT_SOURCES.tsv	10	session	SAFE_PUBLIC	Scientific software/session record, local guard or documented policy; not a credential value
environment/RECORDED_ENVIRONMENT_SOURCES.tsv	11	session	SAFE_PUBLIC	Scientific software/session record, local guard or documented policy; not a credential value
environment/RECORDED_ENVIRONMENT_SOURCES.tsv	11	session	SAFE_PUBLIC	Scientific software/session record, local guard or documented policy; not a credential value
environment/RECORDED_ENVIRONMENT_SOURCES.tsv	12	session	SAFE_PUBLIC	Scientific software/session record, local guard or documented policy; not a credential value
environment/RECORDED_ENVIRONMENT_SOURCES.tsv	12	session	SAFE_PUBLIC	Scientific software/session record, local guard or documented policy; not a credential value
environment/RECORDED_ENVIRONMENT_SOURCES.tsv	13	session	SAFE_PUBLIC	Scientific software/session record, local guard or documented policy; not a credential value
environment/RECORDED_ENVIRONMENT_SOURCES.tsv	13	session	SAFE_PUBLIC	Scientific software/session record, local guard or documented policy; not a credential value
provenance/AF35_ORIGIN_SUMMARY.md	3	session	SAFE_PUBLIC	Scientific software/session record, local guard or documented policy; not a credential value
provenance/CURRENT_ANALYSIS_ENTRYPOINTS.tsv	19	session	SAFE_PUBLIC	Scientific software/session record, local guard or documented policy; not a credential value
provenance/CURRENT_ANALYSIS_ENTRYPOINTS.tsv	19	session	SAFE_PUBLIC	Scientific software/session record, local guard or documented policy; not a credential value
provenance/CURRENT_ANALYSIS_ENTRYPOINTS.tsv	26	patient_id	SAFE_PUBLIC	Source-code schema/variable or aggregate metadata; no individual-level record distributed
provenance/CURRENT_ANALYSIS_ENTRYPOINTS.tsv	26	patient_id	SAFE_PUBLIC	Source-code schema/variable or aggregate metadata; no individual-level record distributed
provenance/CURRENT_ANALYSIS_ENTRYPOINTS.tsv	41	patient_id	SAFE_PUBLIC	Source-code schema/variable or aggregate metadata; no individual-level record distributed
provenance/CURRENT_ANALYSIS_ENTRYPOINTS.tsv	60	patient_id	SAFE_PUBLIC	Source-code schema/variable or aggregate metadata; no individual-level record distributed
provenance/CURRENT_ANALYSIS_ENTRYPOINTS.tsv	60	cell_id	SAFE_PUBLIC	Source-code schema/variable or aggregate metadata; no individual-level record distributed
provenance/DIRECT_IO_CONTRACT.tsv	16	patient_id	SAFE_PUBLIC	Source-code schema/variable or aggregate metadata; no individual-level record distributed
provenance/DIRECT_IO_CONTRACT.tsv	18	patient_id	SAFE_PUBLIC	Source-code schema/variable or aggregate metadata; no individual-level record distributed
provenance/DIRECT_IO_CONTRACT.tsv	38	patient_id	SAFE_PUBLIC	Source-code schema/variable or aggregate metadata; no individual-level record distributed
provenance/DIRECT_IO_CONTRACT.tsv	38	patient_id	SAFE_PUBLIC	Source-code schema/variable or aggregate metadata; no individual-level record distributed
provenance/DIRECT_IO_CONTRACT.tsv	39	patient_id	SAFE_PUBLIC	Source-code schema/variable or aggregate metadata; no individual-level record distributed
provenance/DIRECT_IO_CONTRACT.tsv	40	patient_id	SAFE_PUBLIC	Source-code schema/variable or aggregate metadata; no individual-level record distributed
