gene_rank	gene	primary_functional_role	secondary_functional_roles	molecular_layer	T_cell_relevance	interpretive_layers	annotation_evidence_source	evidence_identifier	PMIDs	evidence_url	evidence_codes	annotation_confidence	annotation_type	historical_construction_block
1	CD3D	TCR-CD3复合物信号传递亚基	参与受体组装与ITAM信号	膜受体复合物	与TCR复合物、信号传递或T细胞受体组织相关；不据转录量推断磷酸化活性。	TCR	UniProtKB reviewed human FUNCTION	UniProt:P04234	12215456;12507424;2470098	[local source path omitted]	ECO:0000269	HIGH_CURATED_GENERAL_FUNCTION;MODERATE_CONTEXT_SPECIFICITY	POST_HOC_BIOLOGICAL_INTERPRETATION	False
2	CD3E	TCR-CD3复合物信号传递亚基	参与受体组装与近端信号	膜受体复合物	与TCR复合物、信号传递或T细胞受体组织相关；不据转录量推断磷酸化活性。	TCR	UniProtKB reviewed human FUNCTION	UniProt:P07766	10384095;12110186;15294938;15546002;2470098;26507128;38614099;40592325;8490660	[local source path omitted]	ECO:0000250;ECO:0000269	HIGH_CURATED_GENERAL_FUNCTION;MODERATE_CONTEXT_SPECIFICITY	POST_HOC_BIOLOGICAL_INTERPRETATION	False
3	CD3G	TCR-CD3复合物信号传递亚基	参与受体组装与ITAM信号	膜受体复合物	与TCR复合物、信号传递或T细胞受体组织相关；不据转录量推断磷酸化活性。	TCR	UniProtKB reviewed human FUNCTION	UniProt:P09693	2470098;8187769;8636209	[local source path omitted]	ECO:0000269	HIGH_CURATED_GENERAL_FUNCTION;MODERATE_CONTEXT_SPECIFICITY	POST_HOC_BIOLOGICAL_INTERPRETATION	False
4	CD247	CD3ζ链ITAM信号传递	参与TCR及部分NK受体信号	膜受体复合物	与TCR复合物、信号传递或T细胞受体组织相关；不据转录量推断磷酸化活性。	TCR	UniProtKB reviewed human FUNCTION	UniProt:P20963	1384049;1385158;16027224;2470098;28465009;7509083	[local source path omitted]	ECO:0000250;ECO:0000269	HIGH_CURATED_GENERAL_FUNCTION;MODERATE_CONTEXT_SPECIFICITY	POST_HOC_BIOLOGICAL_INTERPRETATION	False
5	LCK	Src家族近端TCR酪氨酸激酶	与CD4/CD8共受体相关	胞内激酶	与TCR复合物、信号传递或T细胞受体组织相关；不据转录量推断磷酸化活性。	TCR	UniProtKB reviewed human FUNCTION	UniProt:P06239	16339550;16709819;20028775;20100835;20851766;21269457;22080863;2470098;27335501;38614099;40592325	[local source path omitted]	ECO:0000269	HIGH_CURATED_GENERAL_FUNCTION;MODERATE_CONTEXT_SPECIFICITY	POST_HOC_BIOLOGICAL_INTERPRETATION	False
6	FYN	Src家族受体相关酪氨酸激酶	参与PAG1/PDCD1负反馈及细胞骨架调节	胞内激酶	与TCR复合物、信号传递或T细胞受体组织相关；不据转录量推断磷酸化活性。	TCR;Negative	UniProtKB reviewed human FUNCTION	UniProt:P06241	11005864;11162638;11536198;12788081;14707117;14761972;15489916;15536091;15557120;15713798;16387660;16841086;17194753;18056706;18258597;19179337;19652227;20028775;20100835;22080863;32184441;7568038;7822789	[local source path omitted]	ECO:0000250;ECO:0000269;ECO:0000303	HIGH_CURATED_GENERAL_FUNCTION;MODERATE_CONTEXT_SPECIFICITY	POST_HOC_BIOLOGICAL_INTERPRETATION	False
7	ZAP70	TCR相关酪氨酸激酶	连接ITAM识别与下游衔接蛋白	胞内激酶	与TCR复合物、信号传递或T细胞受体组织相关；不据转录量推断磷酸化活性。	TCR	UniProtKB reviewed human FUNCTION	UniProt:P43403	11353765;12051764;1423621;20135127;26903241;38614099;7509083;8124727;8702662;9489702	[local source path omitted]	ECO:0000269	HIGH_CURATED_GENERAL_FUNCTION;MODERATE_CONTEXT_SPECIFICITY	POST_HOC_BIOLOGICAL_INTERPRETATION	False
8	LAT	近端免疫受体信号支架	募集PLCγ及衔接蛋白	膜相关支架	与TCR复合物、信号传递或T细胞受体组织相关；不据转录量推断磷酸化活性。	Scaffold;TCR	UniProtKB reviewed human FUNCTION	UniProt:O43561	10072481;23514740;25907557	[local source path omitted]	ECO:0000269	HIGH_CURATED_GENERAL_FUNCTION;MODERATE_CONTEXT_SPECIFICITY	POST_HOC_BIOLOGICAL_INTERPRETATION	False
9	LCP2	SLP-76信号衔接蛋白	整合TCR、细胞骨架及下游转录信号	胞质支架	与TCR复合物、信号传递或T细胞受体组织相关；不据转录量推断磷酸化活性。	Scaffold;TCR	UniProtKB reviewed human FUNCTION	UniProt:Q13094	11313406;33436632;8673706;8702662	[local source path omitted]	ECO:0000269	HIGH_CURATED_GENERAL_FUNCTION;MODERATE_CONTEXT_SPECIFICITY	POST_HOC_BIOLOGICAL_INTERPRETATION	False
10	TRAT1	维持TCR-CD3表面复合物稳定	参与受体相关信号复合物组织	膜相关衔接蛋白	与TCR复合物、信号传递或T细胞受体组织相关；不据转录量推断磷酸化活性。	Scaffold;TCR	UniProtKB reviewed human FUNCTION	UniProt:Q6PIZ9	11390434	[local source path omitted]	ECO:0000269	HIGH_CURATED_GENERAL_FUNCTION;MODERATE_CONTEXT_SPECIFICITY	POST_HOC_BIOLOGICAL_INTERPRETATION	False
11	NFKB1	NF-kB家族DNA结合与转录调节	p105/p50加工及二聚体依赖调节	转录因子与前体	参与淋巴细胞的转录、炎症输出或信号调节，也存在于其他细胞类型。	NFkB	UniProtKB reviewed human FUNCTION	UniProt:P19838	1423592;15485931;1740106;2203531;2234062;7830764	[local source path omitted]	ECO:0000269	HIGH_CURATED_GENERAL_FUNCTION;MODERATE_CONTEXT_SPECIFICITY	POST_HOC_BIOLOGICAL_INTERPRETATION	False
12	REL	c-Rel家族转录调节	参与淋巴细胞与炎症程序	转录因子	参与淋巴细胞的转录、炎症输出或信号调节，也存在于其他细胞类型。	NFkB	UniProtKB reviewed human FUNCTION	UniProt:Q04864		[local source path omitted]		MODERATE_CURATED_SUMMARY_NO_FUNCTION_LINKED_PMID	POST_HOC_BIOLOGICAL_INTERPRETATION	False
13	RELA	NF-kB p65转录调节	与其他Rel家族成员形成二聚体	转录因子	参与淋巴细胞的转录、炎症输出或信号调节，也存在于其他细胞类型。	NFkB	UniProtKB reviewed human FUNCTION	UniProt:Q04206	10928981;12748188;15790681;17000776;17620405;19058135;19103749;20547752;33440148;41747053	[local source path omitted]	ECO:0000269	HIGH_CURATED_GENERAL_FUNCTION;MODERATE_CONTEXT_SPECIFICITY	POST_HOC_BIOLOGICAL_INTERPRETATION	False
14	NFKBIA	IκBα抑制NF-kB核转位	刺激依赖降解及通路反馈调节	抑制性调节蛋白	参与淋巴细胞的转录、炎症输出或信号调节，也存在于其他细胞类型。	Negative;NFkB	UniProtKB reviewed human FUNCTION	UniProt:P25963	1493333;36651806;7479976;7628694;7796813;7878466	[local source path omitted]	ECO:0000269	HIGH_CURATED_GENERAL_FUNCTION;MODERATE_CONTEXT_SPECIFICITY	POST_HOC_BIOLOGICAL_INTERPRETATION	False
15	TNFAIP3	A20泛素依赖炎症信号终止	限制TNF/IL-1等诱导的NF-kB活动	泛素调节酶	参与淋巴细胞的转录、炎症输出或信号调节，也存在于其他细胞类型。	Negative;NFkB	UniProtKB reviewed human FUNCTION	UniProt:P21580	14748687;15258597;16684768;17961127;18164316;18952128;19494296;22099304;23827681;8692885;9299557;9882303	[local source path omitted]	ECO:0000269	HIGH_CURATED_GENERAL_FUNCTION;MODERATE_CONTEXT_SPECIFICITY	POST_HOC_BIOLOGICAL_INTERPRETATION	False
16	STAT1	干扰素信号转导与转录应答	整合多种细胞因子信号	转录因子	可表示T细胞中的干扰素/宿主防御背景；并非T细胞特异性或TCR专属通路。	IFN	UniProtKB reviewed human FUNCTION	UniProt:P42224	12764129;12855578;15322115;15526160;19088846;23940278;26479788;28753426;32209697;32814877;34508746;35568036;8156998;9724754	[local source path omitted]	ECO:0000250;ECO:0000269;ECO:0000303	HIGH_CURATED_GENERAL_FUNCTION;MODERATE_CONTEXT_SPECIFICITY	POST_HOC_BIOLOGICAL_INTERPRETATION	False
17	IRF1	干扰素及免疫相关转录调节	参与宿主防御与细胞应激程序	转录因子	可表示T细胞中的干扰素/宿主防御背景；并非T细胞特异性或TCR专属通路。	IFN	UniProtKB reviewed human FUNCTION	UniProt:P10914	11244049;11846971;11846974;15226432;15509808;16932750;17516545;17942705;18084608;18497060;18641303;19404407;19851330;20049431;21389130;22200613;22367195;32385160;36736301;7687740	[local source path omitted]	ECO:0000269;ECO:0000303	HIGH_CURATED_GENERAL_FUNCTION;MODERATE_CONTEXT_SPECIFICITY	POST_HOC_BIOLOGICAL_INTERPRETATION	False
18	IFIT1	干扰素诱导的抗病毒RNA识别	限制非自身RNA翻译	RNA结合效应蛋白	可表示T细胞中的干扰素/宿主防御背景；并非T细胞特异性或TCR专属通路。	IFN	UniProtKB reviewed human FUNCTION	UniProt:P09914	19008854;21642987;21976647;23334420;28251928;36285486;39009378	[local source path omitted]	ECO:0000269	HIGH_CURATED_GENERAL_FUNCTION;MODERATE_CONTEXT_SPECIFICITY	POST_HOC_BIOLOGICAL_INTERPRETATION	False
19	IFIT2	干扰素诱导的抗病毒RNA调节	可参与凋亡调节	RNA结合效应蛋白	可表示T细胞中的干扰素/宿主防御背景；并非T细胞特异性或TCR专属通路。	IFN	UniProtKB reviewed human FUNCTION	UniProt:P09913	21190939	[local source path omitted]	ECO:0000269	HIGH_CURATED_GENERAL_FUNCTION;MODERATE_CONTEXT_SPECIFICITY	POST_HOC_BIOLOGICAL_INTERPRETATION	False
20	IFIT3	干扰素诱导的抗病毒复合物调节	参与先天免疫信号衔接	抗病毒调节蛋白	可表示T细胞中的干扰素/宿主防御背景；并非T细胞特异性或TCR专属通路。	IFN	UniProtKB reviewed human FUNCTION	UniProt:O14879	17050680;20686046;21190939;21642987;21813773	[local source path omitted]	ECO:0000269	HIGH_CURATED_GENERAL_FUNCTION;MODERATE_CONTEXT_SPECIFICITY	POST_HOC_BIOLOGICAL_INTERPRETATION	False
21	ISG15	泛素样ISGylation修饰	游离或分泌形式参与免疫细胞因子调节	蛋白修饰因子与可分泌蛋白	可表示T细胞中的干扰素/宿主防御背景；并非T细胞特异性或TCR专属通路。	IFN;Output	UniProtKB reviewed human FUNCTION	UniProt:P05161	1373138;16009940;16112642;16428300;16434471;16872604;18305167;19270716;19357168;2005397;20133869;20308324;20639253;21543490;22693631;22859821;23229543;27564865;29100055;33727702;39465252;7526157;8550581	[local source path omitted]	ECO:0000269	HIGH_CURATED_GENERAL_FUNCTION;MODERATE_CONTEXT_SPECIFICITY	POST_HOC_BIOLOGICAL_INTERPRETATION	False
22	MX1	干扰素诱导的抗病毒GTP酶	限制病毒复制过程	抗病毒酶	可表示T细胞中的干扰素/宿主防御背景；并非T细胞特异性或TCR专属通路。	IFN	UniProtKB reviewed human FUNCTION	UniProt:P20591	11880649;14687945;14752052;15047845;15355513;15757897;16202617;16413306;17374778;18668195;19109387;21900240;21992152	[local source path omitted]	ECO:0000269	HIGH_CURATED_GENERAL_FUNCTION;MODERATE_CONTEXT_SPECIFICITY	POST_HOC_BIOLOGICAL_INTERPRETATION	False
23	OAS1	双链RNA依赖的2-5A合成	通过RNase L相关过程限制RNA	抗病毒酶	可表示T细胞中的干扰素/宿主防御背景；并非T细胞特异性或TCR专属通路。	IFN	UniProtKB reviewed human FUNCTION	UniProt:P00973	12799444;18931074;19923450;23319625;34145065;34581622;40010341	[local source path omitted]	ECO:0000269	HIGH_CURATED_GENERAL_FUNCTION;MODERATE_CONTEXT_SPECIFICITY	POST_HOC_BIOLOGICAL_INTERPRETATION	False
24	CXCL9	CXCR3相关趋化配体	募集活化T细胞；并非T细胞特异产物	分泌趋化因子	与活化T细胞募集环境相关；T细胞内转录检测不能证明其是主要分泌来源。	Output	UniProtKB reviewed human FUNCTION	UniProt:Q07325		[local source path omitted]		MODERATE_CURATED_SUMMARY_NO_FUNCTION_LINKED_PMID	POST_HOC_BIOLOGICAL_INTERPRETATION	False
25	CXCL10	CXCR3相关炎性趋化配体	参与免疫细胞迁移与活化环境	分泌趋化因子	与活化T细胞募集环境相关；T细胞内转录检测不能证明其是主要分泌来源。	Output	UniProtKB reviewed human FUNCTION	UniProt:P02778	11157474;12663757;12750173;19151743;22652417;7540647	[local source path omitted]	ECO:0000250;ECO:0000269	HIGH_CURATED_GENERAL_FUNCTION;MODERATE_CONTEXT_SPECIFICITY	POST_HOC_BIOLOGICAL_INTERPRETATION	False
26	IFNG	II型干扰素免疫效应输出	作用于JAK-STAT及抗原呈递环境	分泌细胞因子	参与淋巴细胞的转录、炎症输出或信号调节，也存在于其他细胞类型。	Output;IFN	UniProtKB reviewed human FUNCTION	UniProt:P01579	11112687;16914093;7729559;8163024;8349687;8666937	[local source path omitted]	ECO:0000250;ECO:0000269	HIGH_CURATED_GENERAL_FUNCTION;MODERATE_CONTEXT_SPECIFICITY	POST_HOC_BIOLOGICAL_INTERPRETATION	False
